rag had 73 rag was 41
ran our 55 ran get 46
ran his 61 ran new 1686
ran san 153 rang see 40
rang any 45 rang din 364
rang say 72 rang joy 46
ran and 726 ran his 263
ran and 1196 ran her 163
ran his 808 ran his 54
ran and 123 ran his 54
ran and 923 ran her 488
ran and 1769 ran her 1901
ran and 68 ran her 105
ran and 43 ran and 122
ran her 156 ran was 53
rat fig 201 rat and 54
raw with 116 raw one 60
ray has 150 ray dew 101
ray eye 47 read and 151
read new 44 read things 417
read this 109 read things 688
read all 44 read use 42
read her 42 read them 120
read all 133 read all 1186
read all 45 read all 40
read them 133 read all 112
read his 64 read all 48
read and 130 read for 42
read with 349 read few 221
read old 47 read poem 326
read two 99 read him 47
read and 41 read for 169
read with 75 read his 61
read that 95 read new 62
read old 99 read she 41
read they 465 read you 46
read age 98 read all 1432
read any 82 read his 88
read that 151 read this 86
read age 70 read her 221
read his 516 read this 53
read using 151 read not 221
read was 83 read they 212
read you 58 read all 207
read any 1939 read both 1309
read each 50 read her 276
read his 883 read its 65
read one 937 read our 665
read six 81 read that 580
read them 155 read this 955
read two 442 read not 1312
read now 89 read one 225
read that 49 read and 156
read was 108 read with 491
read own 61 read all 490
read her 42 read his 98
read are 54 read had 107
read not 420 read who 358
read she 62 read that 2096
read they 534 read you 50
read new 135 read old 44
read thai 96 read way 154
read all 209 read and 154
read any 214 read both 92
read each 51 read get 53
read his 54 read that 194
read them 268 read this 145
read his 93 read all 617
read job 81 read all 92
read his 54 read this 56
read end 499 read her 44
read hot 56 read her 55
read was 48 read his 48
read they 41 read our 41
read his 53 read his 52
read his 101 read her 72
read his 43 read art 58
read all 40 read his 47
read all 145 read any 533
read her 41 read him 42
read any 82 read his 90
read year 139 read had 43
read death 134 read you 81
read had 57 read his 65
read one 91 read that 127
read each 243 read her 1007
read him 383 read his 436
read one 123 read you 229
read had 42 read was 45
read was 76 read our 61
read its 41 read you 60
read his 107 read his 91
read her 52 read you 245
read all 47 real one 41
real him 46 real him 48
real any 48 real that 44
real that 44 real him 93
real them 121 real our 120
real her 51 real him 89
real not 88 real our 98
real this 43 real was 86
real did 41 real had 78
real can 52 real them 70
real not 72 reap our 50
reap has 91 reap sow 99
rear aid 86 rear each 161
red its 54 red one 42
red red 102 red not 95
red not 49 red red 151
red her 93 red two 40
red all 71 red her 221
red his 68 red that 71
red her 315 red his 123
red our 43 red his 87
red red 148 red her 44
red ash 99 red his 61
red head 44 red men 40
red that 69 rem rem 2568
res pay 146 rid its 41
rid her 61 rid him 117
rid them 88 rid all 430
rid any 95 rid old 82
rid that 58 rid this 201
rid all 65 rid his 169
rid this 57 ringing din 80
rings fig 442 riot and 218
rob his 49 rob his 86
rob was 77 rob his 71
rob you 52 rod each 47
rod god 100 rod his 42
rod her 41 rod fig 153
rod had 161 rod was 94
rod was 60 rod beat 285
rot set 47 row our 170
rpm fig 92 rub arm 42
rub each 59 rub and 48
rub this 42 rub his 156
rub and 107 rub our 80
rue all 81 rug out 46
rum his 64 rum our 62
run earth 50 run with 668
run cap 54 run each 47
run long 87 run being 47
run all 58 run being 45
run fig 598 run day 168
run end 181 run his 40
run new 2417 run san 282
run this 243 run for 53
run this 91 run out 71
run and 68 run and 136
run his 68 run and 208
run and 404 run her 147
run death 80 run way 40
run any 58 run end 101
run two 59 run see 45
run way 59 run them 369
