race issue 45 race mouse 45
rain piece 53 range green 67
range period 66 range power 94
range value 55 range period 121
range period 40 range limit 50
range white 52 rank slave 80
rare voice 147 rare catch 42
rate blood 97 rate level 95
rate period 86 rate period 234
rate change 60 rate class 66
rate group 55 rate level 230
rate period 436 rate power 123
rate price 54 rate value 98
rate adult 45 rate group 53
rate period 837 rate period 1032
rate while 88 rate could 45
ratio value 42 ratio level 53
ratio period 55 ratio value 135
reading about 186 reading people 52
reading class 48 reading while 40
reading group 146 ready about 42
ready mayor 49 ready meeting 45
ready after 56 ready start 2096
ready opening 143 ready laugh 41
ready change 153 ready shoot 204
ready change 115 ready start 181
ready evening 75 ready chair 107
ready sleep 45 ready again 45
ready where 46 ready story 44
ready reply 45 ready about 42
rent period 42 rent which 41
rent period 57 rent period 124
rent house 120 rest start 415
rest period 234 rest space 198
rest while 45 rest period 282
rest period 658 rest space 266
rest while 1149 rest after 642
rest beneath 91 rest first 58
rest longer 193 rest under 324
rest until 412 rest pause 54
rest group 41 rest voice 43
ribs elbow 72 rice green 54
rice salad 364 rice mixed 49
rice piece 82 rich skunk 44
rich nation 48 riding space 93
rind knife 176 ripe change 59
rise period 46 rise period 131
rise while 42 rise equal 50
risk level 1747 risk period 46
risk period 209 risk period 99
risk might 46 risk would 54
risk might 128 risk would 98
risk might 109 road river 44
road stream 41 road miles 47
road period 46 road while 150
road stream 83 road sword 92
road horse 45 road limit 172
roar crash 57 robe cross 62
rock league 44 rock which 90
rock stone 41 role period 46
role period 65 role period 73
roll knife 67 roof floor 62
roof porch 49 roof pitch 54
roof pitch 52 roof lower 49
room alley 47 room table 47
room where 65 room sitting 50
room study 41 room table 49
room period 428 room visit 43
room floor 124 room people 115
room check 120 room start 96
room fleet 40 room group 53
room party 49 room table 57
room period 94 room large 40
room change 69 room smoke 47
room start 99 room period 761
room space 44 room while 886
room group 80 room table 201
room feeling 58 room after 136
room longer 153 room until 127
room world 68 room table 53
room smell 151 room table 62
room table 60 room floor 183
room ceiling 107 room space 43
room floor 54 room place 67
room glass 98 room round 252
room stone 85 room stove 41
room table 1047 room white 42
room place 76 room where 180
room which 91 room place 53
room table 238 room rather 65
room round 65 room sitting 40
room stage 102 room table 344
room spread 50 room ceiling 254
room floor 44 room floor 235
room smile 183 room paper 47
room floor 151 room ceiling 266
room others 57 room people 52
room sword 148 room sense 43
room smile 100 room space 91
room ceiling 58 room front 119
room sense 40 room smile 62
room curse 42 room bible 63
room glass 91 room group 45
room plate 70 room round 105
room stone 152 room stove 61
room table 982 room white 69
room ceiling 139 room ceiling 48
room table 69 room floor 68
room floor 56 room chair 49
room table 368 room floor 40
room floor 55 room floor 48
room glass 119 room ceiling 309
room floor 75 room group 117
room opening 54 room stage 107
room table 415 room bench 58
room floor 1367 room light 127
room smell 58 room couch 52
room large 49 room clock 49
room floor 300 room floor 72
room ceiling 62 room woman 53
room whose 54 root motor 107
root knife 74 rope packing 45
rope noose 815 rose period 43
rose which 40 rose which 62
rows drill 44 rule period 266
rule period 148 rule period 235
rule tumor 183 rule class 43
rule never 50 rule could 41
rule under 137 rule action 41
rule loses 42 rule could 83
rule seeking 79 rule could 147
rule court 88 rule could 132
rule never 75 ruling class 54
ruling could 190 runs period 100
runs period 294 runs equal 40
