ran and got there first 67
ran and his feet moved 106
ran for his life until 56
rang for her maid again 67
rang out his finger raced 45
ran off her like water 52
ran off him like water 142
ran off with great speed 68
ran off with some woman 43
ran off with their money 66
ran off with their tails 45
ran off with their women 65
ran off with your father 49
ran out and gave chase 118
ran out for their morning 51
ran out with their hands 61
ran red with their blood 970
ran with all their might 989
ran with her tall spars 49
ran with his best speed 76
ran with his full force 76
rap them with their walking 56
rat ran out from under 66
raw meat cut into small 272
ray does not take place 41
read all this soap opera 91
read all you want about 63
read and had been alone 52
read and hear more about 65
read and hear much about 230
read and read over again 400
read did not make sense 88
read does not make sense 189
read his new york times 47
read his own book again 42
read his own work aloud 70
read how her fond smile 41
read how they break noses 165
read than any other author 97
read that day three months 119
read that for most people 73
read them all from cover 103
read them all many times 66
read them all over again 305
read them and take notes 43
read them and talk about 50
read them and think about 228
read them one must begin 76
read them with care every 45
read this and other books 127
read this and think about 94
read this day three months 56
read this poem many times 41
read you all over again 45
real and all else unreal 72
real and its ideal power 271
real gdp has been growing 43
real run for their money 265
real run for your money 60
real that has been given 48
real things are those which 41
rear its head once again 61
red and her eyes bulging 42
red and her eyes shining 47
red and his eyes bulging 61
red and his eyes shone 57
red and raw from rubbing 42
red and then pale again 61
red and then very white 74
red bow was seen gaily 49
red heat for some hours 81
red heat for three hours 53
red man and some others 46
red man has great heroes 55
red men and their white 48
red men for their pipes 42
red men who once lived 52
red than any other color 60
red than for blue light 89
rim with his great round 50
riot did not take place 72
riot does not take place 88
rod and lay down again 124
row that was made about 52
row with all their might 628
row with all your might 224
rub them with your fingers 45
rue and all other kinds 120
run and get some water 93
run and not feel tired 41
run and put your hands 99
run east and west rather 126
run for his life after 119
run for his life while 99
run had not been short 54
run his head into danger 71
run hot and cold water 47
run its own risk since 54
run off him like water 136
run off them like water 114
run off with great speed 91
run off with miss nancy 108
run off with other women 43
run off with some woman 59
run off with their money 54
run off with their tails 52
run off with their women 61
run off with your money 155
run red with their blood 112
run see saw seen shake 143
run with all their might 393
run with all your might 307
run with you five miles 81
