races by making labor more 62
races of dogs which have 72
raining the next morning when 145
raise at those times when 57
raise no more money from 71
raise the feed water from 49
raise the lord throws down 264
raise the mind above those 98
raising an army would have 51
raising the open right hand 45
ranged in most cases from 42
ranges in most cases from 127
ranks of life might have 58
ranks of those strong ones 72
ranks of those whose life 44
ranks of those whose work 58
raped at some point during 52
rated at some point along 49
rates in areas where there 47
rates in some urban areas 46
rates in these cases were 40
rates of drug abuse among 58
rates of duty under your 57
rates of duty which were 67
rates of these taxes were 59
rates of these tones will 129
rates of toll which were 55
rates on bank loans were 123
rates on such loans were 40
rates on these lines from 55
rates on these loans were 136
rather at some point along 103
rather at what seems like 82
rather be some place else 58
rather be what plato used 49
rather in your favor live 46
rather the same words were 50
rather to have loved what 132
rather to have sprung from 187
rather to have taken from 51
rather to throw light upon 111
reaching the high water mark 46
reaching the spot where their 50
reader of less skill seem 97
reader of such works must 53
reader of these books will 50
reader of these lines will 193
reader of these notes will 59
reader of these pages ever 157
reader of these pages must 163
reader of these pages need 47
reader of these pages will 1649
reader of these words will 50
reader to move easily from 110
reader to think about some 47
reader to think about these 108
reader to think about what 368
really do care about suzy 92
really do care about their 167
really do care about what 97
really do care about your 61
really in love would have 49
really in other lands arts 85
really is nothing quite like 67
really no good issue came 49
really of much later date 70
really of only about nine 43
really of their class will 320
really to have power over 56
really to keep major davy 42
really to rise above those 62
really to think about what 54
reaped no other fruit from 143
reason is fast driving from 44
reason of some which have 47
reason of such passing such 93
reason of their falling into 130
reason of their large size 141
reason of their small size 331
reason or other known only 49
reason so many people fail 149
reason so many people feel 62
reason so many people find 63
reason so many people have 243
reason so many people want 58
reason so many people were 85
reason so many women have 66
reason to care about their 67
reason to care about what 329
reason to care about your 61
reason to cast doubt upon 79
reason to hide anything from 140
reason to hold anything back 235
reason to hope would have 106
reason to keep anything from 41
reason to know right from 86
reason to speak still more 114
reason to think about what 55
reason to think anything else 222
reason to think either more 63
reason to think might have 138
reason to think would have 262
reason we have never been 63
reason we have taken these 60
reason we will never know 42
rebel at port royal felt 57
reefing of three sails meant 42
refer to male human beings 46
refer to these notes during 44
refer to these notes when 41
refer to those times when 82
refer to those which have 249
refer to those which were 86
refer to what might have 46
refer to what others have 72
refer to what people think 59
region of fine rural seats 95
region of great slave lake 180
region of high blood flow 40
reign of good queen anne 405
reign of good queen bess 489
reign of only eight years 90
reign of only seven days 60
reign of only seven years 73
reign of over fifty years 103
reign of over forty years 202
reign of over sixty years 65
reign of over thirty years 115
reign of pope urban viii 86
reign of some forty years 50
reign of some thirty years 53
reign we have never even 43
