rag he had in his 53
rag to one of his 46
ran as far as her 55
ran as far as his 45
ran as far as she 135
ran as far as they 128
ran as long as her 97
ran as long as she 40
ran at him in his 67
rang in his ear and 58
rang on and on and 71
rang to ask if she 65
rang to ask if you 42
rang to say he had 146
rang to say he was 211
rang to say it was 43
rang to see if you 74
ran it all the way 231
ran it out of his 59
ran my eye up and 60
ran on and on and 750
ran on and on for 221
ran on and on with 86
ran on top of dos 120
ran the beam of his 59
ran the bow of his 49
ran the day to day 137
ran the end of his 65
ran the end of our 71
ran the fox to earth 46
ran the one he was 87
ran the pad of her 65
ran the pad of his 290
ran the tip of her 2665
ran the tip of his 2058
ran the tip of one 133
ran the way of our 57
ran to each of them 52
ran to get it and 137
ran to get it for 44
ran to get the car 52
ran to her as she 115
ran to her to see 41
ran to him in his 48
ran to him to ask 44
ran to him to see 69
ran to one of his 105
ran to one of them 57
ran to put it out 212
ran to put on her 126
ran to put on his 83
ran to see an old 43
ran to see if she 71
ran up all the way 52
rat the cat the dog 145
rat to rat by rat 57
ray of art is being 40
read as far as that 121
read as far as they 45
read as far as this 538
read as far as you 68
read as long as any 72
read as long as his 52
read as long as men 144
read as long as she 55
read as long as they 445
read as long as you 316
read at all or read 64
read at his or her 117
read at one of its 287
read at one of our 203
read by all of them 125
read by any of his 63
read by any of our 46
read by any of them 40
read by each of them 79
read by him at this 70
read by him in his 93
read by him or her 40
read by him to his 82
read by men of all 86
read by men or not 134
read by one of her 55
read by one of his 383
read by one of its 45
read by one of our 217
read by one of them 259
read by one of this 44
read by one or two 300
read by them on earth 265
read by they do not 48
read if they do not 244
read if you do not 568
read in all of them 230
read in all the ten 111
read in any of his 113
read in any of our 63
read in any of them 46
read in his or her 110
read in one of her 793
read in one of his 2232
read in one of its 80
read in one of our 572
read in one of them 250
read in one of two 266
read in one or two 223
read in this or any 49
read in this or that 98
read is not at all 50
read is not the one 107
read it all at one 210
read it all if you 43
read it all in her 168
read it all in his 168
read it all in one 322
read it all the way 3599
read it all to them 50
read it all to you 166
read it and do not 686
read it and he did 60
read it and he was 75
read it and if they 50
read it and if you 257
read it and it did 44
read it and it had 147
read it and it has 134
read it and it was 819
read it and no one 144
read it and to let 97
read it bit by bit 137
read it but do not 73
read it but it was 203
read it but my ears 115
read it day by day 135
read it for me and 110
read it for my own 42
read it not at all 41
read it now if you 66
read it off to her 59
