rag and bone shop of 890
ran and dove into the 74
ran and fell into the 61
ran and flew over the 94
ran and laid hold of 59
ran and slid down the 62
ran and threw open the 45
ran and took hold of 66
ran due north from the 57
ran due south from the 56
ran due west from the 97
ran far away from the 42
ran far back into the 317
ran far less risk of 40
ran for five years in 139
ran for four days in 40
ran for four years in 97
ran for four years on 59
ran for many years in 124
ran for many years on 116
ran for some time in 146
ran for some time on 192
ran for three days in 50
ran for three years in 177
ran for three years on 77
rang out from among the 116
rang out from down the 60
rang out from time to 172
rang out very loud to 76
ran her bows into the 75
ran her down into the 105
ran her eyes along the 158
ran her eyes down the 406
ran her eyes over it 141
ran her eyes over me 65
ran her eyes over my 46
ran her eyes over the 1302
ran her finger along it 43
ran her finger along my 52
ran her finger along the 2180
ran her finger down the 2424
ran her finger down to 40
ran her finger over it 120
ran her finger over the 1823
ran her gaze down the 46
ran her gaze over the 253
ran her hand along it 105
ran her hand along my 68
ran her hand along the 3019
ran her hand down it 67
ran her hand down my 158
ran her hand down the 1339
ran her hand down to 95
ran her hand into the 69
ran her hand over it 348
ran her hand over my 271
ran her hand over the 5576
ran her mind over the 49
ran her nose into the 90
ran her palm along the 65
ran her palm down the 46
ran her palm over the 230
ran her thumb along the 247
ran her thumb down the 110
ran her thumb over it 44
ran her thumb over the 438
ran his boat into the 62
ran his eyes along the 572
ran his eyes down it 74
ran his eyes down the 821
ran his eyes from the 53
ran his eyes over it 549
ran his eyes over me 116
ran his eyes over my 109
ran his eyes over the 4197
ran his eyes over us 86
ran his finger along it 107
ran his finger along my 42
ran his finger along the 3783
ran his finger down it 150
ran his finger down my 100
ran his finger down the 4554
ran his finger down to 87
ran his finger over it 162
ran his finger over the 2402
ran his free hand up 122
ran his gaze along the 90
ran his gaze down the 76
ran his gaze over the 660
ran his hand along it 140
ran his hand along my 99
ran his hand along the 4755
ran his hand down it 46
ran his hand down my 246
ran his hand down the 2324
ran his hand down to 112
ran his hand from the 65
ran his hand into the 209
ran his hand over it 633
ran his hand over my 375
ran his hand over the 8409
ran his left hand up 48
ran his lips along the 83
ran his lips over the 98
ran his mind over the 157
ran his mouth along the 53
ran his nose along the 42
ran his nose into the 48
ran his nose over the 43
ran his other hand up 100
ran his palm along the 108
ran his palm down the 103
ran his palm over the 280
ran his ship into the 95
ran his ship upon the 70
ran his thumb along the 1037
ran his thumb down the 261
ran his thumb over it 109
ran his thumb over the 1244
ran one finger along the 264
ran one finger down the 264
ran one finger over the 148
ran one hand along the 155
ran one hand down the 160
ran one hand over the 366
ran out from among the 162
