radiant bubble that she was 138
ragged mantle and one shoe 48
rained heavily all day and 41
raised higher than his head 49
raised issues that had not 44
raises issues that are not 160
raises issues that can not 86
random events that can not 57
ranked number one and two 98
rankings simply does not lie 191
rarely happen that any one 137
rarely indeed does any one 40
rarely realize that they are 63
rarely worked out that way 102
reached across and put her 166
reached across and put his 182
reached across her lap and 99
reached around and put his 50
reached around her and put 107
reached around her with his 83
reached behind her and put 44
reached behind her for her 157
reached behind her head and 363
reached behind her seat and 65
reached behind her with both 54
reached behind her with her 67
reached behind her with one 58
reached behind him and got 52
reached behind him and put 65
reached behind him for her 40
reached behind him for his 267
reached behind him with his 176
reached behind him with one 58
reached behind his head and 272
reached behind his seat and 219
reached behind his seat for 85
reached europe and our own 41
reached inside her bag and 78
reached inside her bag for 79
reached inside his bag and 51
reached levels that had not 42
reached middle age and had 72
reached middle age and was 67
reached nimbly out and got 41
reached toward her and she 82
reached toward her with his 44
reaches middle age can bear 54
readers forget that they are 91
readers should fear they are 53
readers something they did not 51
readily accept that they are 69
readily admits that she has 96
readily agreed that they had 48
readily agreed that this was 170
readily agreed with him that 184
readily points out any that 43
readily showed that she was 215
reality follow and fit them 51
reality unites him with all 152
realize better than any one 40
realize through that sin his 44
reasoning behind this being that 82
reasoning behind this was that 1388
reasoning enough for kings and 42
reasoning powers are not yet 48
reasons behind them are not 49
reasons behind this are not 88
reasons behind this are that 97
recent fiscal year and any 132
recent fiscal year and for 56
recent fiscal year end and 304
recent origin and are not 72
recent origin and did not 59
recent origin and does not 53
recent origin and has not 118
recent origin and was not 50
record showed that she had 109
record showed that she was 82
record showed that they had 74
record simply how this one 73
record states that she was 95
reduce output and lay off 75
regard anyone who does not 95
regard neither god nor man 50
reject anyone who does not 42
remain afloat with any two 65
remain hidden and are not 40
remain intact and are not 141
remain intact and can not 56
remain silent and can not 78
remain silent and did not 58
remain silent and let him 80
remain silent and that any 296
remain silent and that they 41
remain silent for fear that 88
remark showed that she had 43
remind myself and you that 42
remind myself that god has 46
remind myself that she had 125
remind myself that she was 207
remind myself that they are 147
remind myself that this was 571
remind myself that you are 145
remind readers that they are 114
repeating without end our own 95
report points out that for 51
report points out that this 300
report reached him that his 53
report reaches him that his 42
report showed that she had 71
report showed that they had 56
report stated that she had 102
report stated that she was 47
report stated that they had 182
report stated that this was 92
report states that she was 93
report states that this was 55
resist pointing out that his 45
resist pointing out that this 62
rested before her eye has 47
result proved that she had 43
result proved that she was 67
result proved that they had 177
result reached but not with 86
result showed that they had 94
result showed that this was 54
retail prices for meat and 48
retire earlier than they had 76
return called him her dear 82
return values that are not 48
review before him and his 101
revolt sooner than they had 53
reward enough for all his 105
reward enough for any man 163
reward indeed for all her 62
reward system that does not 139
ribbon around her head and 47
richly attiring them with men 47
richly merits all that can 120
richly tinted with red and 51
ridden toward them with his 47
rights before god and man 80
rinsed inside and out with 49
ripped through her and she 123
risked almost all she had 40
rivers around you are all 55
rounding diamond head and you 130
rubbed inside and out with 133
rubber gloves and put them 51
ruffian called out for his 46
ruffian should yet hang for 54
rugged ascent and not let 162
rushed amidst them with his 96
rushed through her and she 145
rusted chains and this dog 69
rustic retreat for old men 76
