ram to break through the 54
ran an open letter to 42
ran at once through the 48
rang the bell before he 50
rang the bell beside the 299
ran in full career at 71
ran my eyes around the 49
ran my finger across the 213
ran my finger around the 153
ran my finger through the 75
ran my hand across my 180
ran my hand across the 383
ran my hand around the 69
ran my hand through my 703
ran my hand through the 171
ran my thumb across the 42
ran on down through the 43
ran so fast through the 55
ran the best chance of 55
ran the boat ashore on 87
ran the brig inside the 53
ran the card through the 105
ran the comb through my 45
ran the comb through the 50
ran the film through the 44
ran the five blocks to 53
ran the four blocks to 74
ran the full course of 65
ran the full height of 186
ran the last couple of 61
ran the line through the 94
ran the main street of 49
ran the name through the 60
ran the other through the 51
ran the post office at 48
ran the post office in 114
ran the rope through the 57
ran the same course as 379
ran the same number of 70
ran the ship ashore on 61
ran the three blocks to 162
ran to give notice to 46
ran to hide behind the 261
ran to hide myself in 334
ran to look through the 59
ran to take refuge in 185
ran to their houses to 147
rat is heard behind the 78
rat is left buried in 57
rat is more likely to 96
ray is bent toward the 838
ray of hope across the 60
ray of hope amidst the 50
ray of hope beyond the 53
ray of hope darted on 74
ray of hope dawned in 46
ray of hope dawned on 90
ray of hope lighting up 58
ray of hope seemed to 362
ray of hope through the 106
ray to pass through the 203
read an early version of 3586
read an open letter to 95
read as many novels as 174
read as many papers as 123
read by some courts to 54
read by some member of 82
read by some priest or 45
read in full before the 47
read in great detail in 53
read in high school or 87
read in like manner the 54
read in many places in 46
read in many places of 91
read in more detail in 167
read in part before the 147
read in such luxury of 102
read in their bibles the 53
read in their papers of 117
read in these events the 118
read in your letter of 109
read in your letter the 88
read in your letter to 55
read is more likely to 155
read it from twenty to 77
read it well enough to 191
read it will forget the 73
read my hand almost as 40
read my last letter to 108
read my name whether he 53
read of such scenes as 67
read of these events in 57
read of were placed in 104
read or even listen to 48
read or even looked at 61
read or have access to 297
read or heard something of 45
read or just starting to 62
read or scan through the 280
read or take copies of 48
read or will desire the 41
read so many novels as 63
read so much better at 89
read so very little of 59
read the back azimuth of 49
read the back issues of 91
read the best authors in 220
read the best authors of 59
read the best authors on 59
read the best authors to 102
read the bill through to 45
read the book before he 119
read the book before it 247
read the book before the 359
read the book called the 172
read the book instead of 53
read the book should be 46
read the book through at 94
read the book through in 158
read the book through the 121
read the book through to 110
read the book without the 63
read the data stored in 168
read the data stored on 125
read the early drafts of 409
read the early edition of 111
read the early version of 68
read the early writings of 60
read the fading record of 41
read the fifth section of 99
read the fifth volume of 90
read the full edition of 47
read the full record of 60
read the full report of 150
read the full version of 61
read the great authors of 111
read the great gatsby in 47
read the great novels of 64
read the great speech of 40
read the korea herald to 293
read the last clause of 56
read the last couple of 259
read the last edition of 56
read the last letter of 176
read the last number of 425
read the last portion of 94
read the last proofs of 45
read the last report of 90
read the last scenes of 147
read the last section in 115
read the last section of 565
read the last speech of 40
read the last stanza of 206
read the last verses of 95
read the last volume of 325
read the many drafts of 103
read the meaning behind the 65
read the most famous of 41
read the name signed to 106
read the next couple of 119
read the next portion of 74
read the next record in 269
read the next section in 97
read the next section of 615
read the next section on 328
read the next section to 377
read the note pinned to 49
read the open secret of 70
read the page proofs of 117
read the part touching the 40
read the past through the 137
read the play before it 51
read the play before the 74
read the same amount as 46
read the same amount of 227
read the same before the 50
read the same lesson in 113
read the same number of 422
read the same portion of 97
read the same section of 88
read the same speech in 83
read the same thought in 104
read the same version of 53
read the sign posted on 59
read the sixth volume of 40
read the text before it 46
read the text before the 72
read the text through the 208
read the text without the 97
read the third edition of 73
read the third section of 177
read the third volume of 772
read the true nature of 47
read the vast amount of 81
read the very bottom of 55
read the very letter in 42
read to give effect to 100
read to have something to 43
read to keep abreast of 82
read to some circle of 61
read to some extent as 52
read to some extent in 76
real by giving reality to 41
real or true nature of 67
reap as much profit as 79
reap the best fruits of 66
reap the full fruits of 1144
reap the full measure of 223
reap the full profit of 56
reap the full result of 55
reap the full reward of 685
reap the good fruits of 137
reap the high renown of 75
reap the just fruits of 180
reap the just reward in 45
reap the just reward of 178
reap the rich fruits of 124
reap the rich reward of 217
rear the loud uproar of 60
red or blue stripe on 56
red or gold clouds in 46
red or stop signal or 75
rid of some portion of 95
rid of their burden of 40
rid of their excess of 57
rid of their feelings of 221
rid of these feelings of 60
rid of what seemed so 239
rid of what seemed to 55
rid of your feelings of 80
rim of bone around the 42
rim of gold around the 51
rim of land around the 43
rim or edge around it 192
ringing of those plates on 88
ringing or other noises in 107
ringing the bell before the 41
rings of hard rubber to 44
rod in hand before he 48
rod is laid across the 47
rod is used instead of 65
rod to pass through it 65
rod to pass through the 70
rot in hell before he 102
rot in jail before he 315
rot is most common in 48
rot is most likely to 51
rot of corn caused by 131
rot of rice caused by 109
rot of wheat caused by 111
row of cars parked at 40
row of cars parked in 75
row of cars parked on 62
row of dots across the 107
row of dots around the 67
row of from twenty to 70
row of moving blades at 47
row of moving blades in 64
row of moving blades is 100
row of moving blades or 45
row of seats around the 45
row of seats behind the 228
row of seats should be 185
row of seats toward the 40
row of what seemed to 43
row or comb formed of 106
row or left column of 47
row the boat across the 336
rub my hand across the 42
rub the last grains of 43
run at high speeds in 48
run at high speeds the 41
run at high speeds to 68
run be much cheaper to 111
run by their owners or 51
rung the bell before the 40
rung to give notice of 81
rung to give notice to 81
run in debt beyond the 46
run in debt without the 193
run in many places on 100
run in your family or 44
run is more likely to 216
run is very likely to 40
run it back through the 80
run it down through the 51
run my finger across the 64
run my finger around the 69
run my hand across my 60
run my hand across the 104
run my hand around the 139
