rapidly laid out a little 43
rational plan for a partial 43
rational soul using a mortal 108
realized more than a million 41
realized there was a better 126
realized there was a chance 170
realized there was a little 51
realized there was a market 111
realized there was a person 45
realized there was a second 89
realized there was a serious 109
receive from god a special 67
receive from her a letter 113
receive from him a letter 147
receive from him a report 44
receive from them a formal 43
receive from you a letter 126
receive less than a dollar 53
receive more than a million 163
receiving from her a letter 62
receiving from him a letter 85
receiving from you a letter 43
receiving more than a million 116
records show that a number 143
records there are a number 49
reflect even for a moment 48
reflect here for a moment 42
reflect more than a little 47
reflect more than a simple 69
reflect only for a moment 75
rejoice more than i should 67
relation gave him a parcel 47
relation left you a legacy 262
relaxed even for a moment 83
released more than a decade 45
religion made her a church 57
religion there was a marked 47
remaining there for a little 52
remaining there for a moment 50
remaining there for a number 76
remains even for a moment 44
remains more than a little 107
remains nothing but a fearful 61
remains nothing but a simple 45
remains only that i should 251
remains there for a moment 88
remorse acts with a strength 43
remorse even for a moment 79
removed along with a portion 174
removed even for a moment 44
renewed hope for a better 118
replied ethel with a little 41
reprove only with a desire 41
request from you a lesson 52
require less than a minute 122
require more than a casual 125
require more than a couple 139
require more than a decade 164
require more than a doubling 58
require more than a glance 54
require more than a little 244
require more than a mention 99
require more than a merely 49
require more than a million 464
require more than a minute 279
require more than a moment 68
require more than a normal 41
require more than a simple 1265
require more than a slight 74
require more than a volume 67
require only that a person 53
requiring less than a minute 91
requiring more than a simple 274
research more than a decade 122
research there are a number 345
resided here for a number 65
resided there for a number 134
respect there are a number 101
respect there was a marked 167
respect there was a striking 147
results from this a system 50
results show that a greater 53
results show that a higher 247
results show that a larger 61
results show that a number 114
results show that a simple 69
retired list with a pension 57
retreating back for a moment 94
returning home with a broken 41
returning home with a friend 57
returning home with a little 56
revealed more than a little 57
revealed nothing but a circle 66
rounded ends and a slight 40
ruinous barn with a rotten 50
