race death 50 race sit 51
racing and 64 radio earth 41
rain sun 112 rain any 69
rain any 133 rain that 43
rain this 43 rain any 79
rain its 67 rain them 66
rain this 66 range fig 137
range can 343 range can 367
range may 229 range was 164
range end 95 range mean 141
range real 40 range two 123
range are 128 range can 490
rank that 48 rare had 67
rare can 110 rare does 106
rare has 171 rare may 67
rare was 185 rare two 129
rare can 106 rare not 48
rash had 43 rate that 254
rate fig 122 rate death 101
rate that 120 rate act 108
rate old 45 rate net 89
rate all 117 rays eye 618
reach far 48 reading art 54
reading not 125 reading one 54
reading his 40 reads goes 477
ready man 61 ready had 63
ready are 88 ready any 63
rent then 45 rent that 102
rest had 89 rest day 349
rest idea 48 rest are 40
rich this 44 rise has 49
rise war 139 rise had 73
rise has 114 rise end 57
rise six 143 rise foes 51
rising old 41 rising six 48
risk all 156 risk run 107
road met 41 road two 48
road long 54 road lead 108
road head 95 road they 53
roar earth 49 rock had 59
rock lay 45 rock sit 93
rock had 122 rock had 44
rock bed 92 rock ten 46
rode one 47 role our 84
role ask 75 roof was 40
roof had 76 roof fig 414
roof had 117 roof hath 56
roof was 131 roof lay 48
roof are 45 roof had 43
roof but 56 room ten 77
room had 45 room with 69
room with 42 room ten 72
root fig 102 rose had 69
rose war 90 rose six 599
rose two 51 rude two 64
ruin that 50 rule all 45
rule all 307 rule any 476
rule had 45 rule was 54
rule had 43 rule was 92
rule are 62 rule how 147
rule that 189 rule use 88
rule all 42 rule all 274
rule any 165 rule them 75
ruling not 45 ruling all 43
