rang again and she answered 60
rang twice and was answered 53
raw score mean and standard 161
read about and see pictures 94
real action for its recovery 66
real change that has occurred 57
real costs and real benefits 65
real event and did actually 54
real event that had happened 46
real people and real happenings 53
real people and real problems 229
real people that are intended 40
real people with real concerns 64
real people with real problems 898
real reason for her presence 70
real reason for his attitude 61
real reason for his execution 51
real reason for his expulsion 79
real reason for his interest 101
real reason for his objection 57
real reason for his presence 181
real reason for his rejection 94
real reason for our exclusion 44
real reason for this apparent 45
real reason for this attitude 58
real reason why our energies 40
real speed and real slowness 74
real value than that involved 49
real value than they borrowed 90
real wages and real interest 146
real wages had not increased 44
real wages that has occurred 42
real world and its problems 254
real world with real problems 74
red cells are not affected 79
red cells are not uncommon 43
red cells that are produced 45
red cross and red crescent 234
red flags that may indicate 64
red herring for his breakfast 57
run about with you directly 63
run after her and frighten 80
run below for his revolver 83
run under him and cemented 62
