readily assent will save many 252
readily raised from seed sown 145
reality proved much more moving 82
recent changes have been made 257
recent claims have been made 50
recent events have done much 120
recent events have made clear 60
record should have been made 148
reduce metals from their ores 63
reducing agents have been used 358
reducing metals from their ores 143
refuse matter there were many 50
regard should have been paid 275
release energy from their food 141
remain absent even from those 45
remain stable over many years 110
remain stable over time even 45
remark should have been made 62
remove sorrow from your heart 41
remove toxins from your body 42
report should have been made 252
retiring billow only bore back 45
return should have been made 269
return without having been able 219
rights should have been made 43
rivers turned from their beds 56
rustic should have been able 48
