raiders from across the north 95
railway from dublin to cork 48
railway from harbin to port 79
railway from london to york 177
ranches vary greatly in size 48
rapidly during periods of high 62
rapidly from future to past 40
rational part should be other 54
rattler ever killed in those 64
reactions were always the same 114
realized early enough in south 55
realized save through the means 90
reappears from behind the moon 99
recalls very little of what 42
receive free grants of land 103
receive from drinking it once 52
receive more injury in their 50
receive nothing except it have 63
receive some portion of their 124
receive some return on their 72
receive such salary or other 51
receive such training as will 116
receive their offers of peace 54
receive their orders or form 59
receive will depend on your 105
receive your letter in time 55
receive your letter of july 107
receive your letter of june 143
receiving four instead of three 40
receiving many offers of help 41
receiving room before he left 46
receiving their advice in such 51
receiving your letter of july 60
receiving your letter of june 68
reckons nothing better or more 49
records were extant in those 165
recover some portion of their 107
rectify their errors by means 42
reduced during periods of high 87
reduced from eleven to five 176
reduced from eleven to nine 72
reduced from twelve to five 91
reduced from twelve to four 173
reduced from twelve to nine 475
reduced from twelve to three 89
reduced from twenty to five 47
reduced from twenty to nine 49
reduced their clothes to rags 86
reduced their number to five 86
reduced their number to four 97
reduced their number to less 57
reduced their number to three 150
reduced their profit to nothing 100
reduces food intake in rats 43
reflect great credit on their 160
reflect great credit on those 91
reflect more deeply on their 162
reflect more deeply on what 242
reflect much credit on their 95
reflect much credit on those 65
reflect some aspect of their 47
reflect such charms as were 40
reflect their points of view 55
reflect these changes as well 41
reflect these changes in their 56
reforming their habits of living 49
reforms meant simply the taking 75
reforms were needed to make 43
refrain from applying the same 105
refrain from applying the term 154
refrain from avowal of their 46
refrain from behaving in ways 308
refrain from breaching the peace 46
refrain from injury to living 49
refrain from insult as much 62
refrain from laughing at their 103
refrain from repeating it here 46
refrain from replying to your 47
refrain from saluting the flag 77
refrain from violating the laws 49
refrain from visiting the sick 106
refresh your memory by reading 131
refresh your memory of some 47
refresh your memory of these 118
refresh your memory of what 243
refresh your memory on some 112
refresh your memory on these 132
refresh your memory on what 294
refused their assent to laws 40
refused their assent to these 62
refused their offers of help 46
regaining some measure of self 112
regarding some aspect of their 49
regarding what should be done 970
regards pure effect in open 42
regards their nature or their 139
regards their origin or their 127
regards what should be done 43
reigned three myriads of years 46
released from duties on these 74
released from prison as part 59
released from prison as soon 73
released from prison he went 71
released from prison in early 80
released from prison in india 42
released from prison in july 257
released from prison in june 260
released from prison in late 133
released from prison in rome 54
released from prison in south 134
released from prison in time 48
released from prison on bail 375
released from prison on july 94
released from prison on june 103
released from prison or from 70
released from prison or jail 80
released from prison the next 57
released from prison to find 41
released from prison to join 79
released from prison to make 43
released from prison to take 73
released from school or from 66
reliance upon marvin to reach 47
religion also stands in need 40
religion down through the ages 46
religion must always be much 59
religion must surely be clear 132
religion upon almost the same 46
religion were exulting in their 81
remaining five closed the gate 58
remaining three inform us only 42
remaining time before the next 43
remaining wealth appears to have 113
remains have turned to dust 175
remarks tend neither to make 60
remarks were enough to make 42
remedial work should be done 43
remnant left enough to make 161
removal from office by said 87
removal from office of such 459
removal from office of those 195
removal from office or from 56
removal from office or other 56
removal tool should be used 53
removal will damage the bearing 66
removed from around the base 83
removed from around the neck 45
removed from before the eyes 66
removed from before the lord 48
removed from london to york 58
removed from memory to make 44
removed from office as from 88
removed from office as soon 64
removed from office as such 175
removed from office at once 50
removed from office by means 53
removed from office by said 131
removed from office by some 173
removed from office by their 70
removed from office by vote 139
removed from office in july 71
removed from office in june 97
removed from office in late 66
removed from office in like 679
removed from office in such 93
removed from office to make 72
removed from preaching in their 42
removed from school at once 54
removed from school to work 44
removed some pieces of bark 62
removed such stores as were 40
removed their badges of rank 42
renewed their attack on fort 40
renewed their offers of peace 57
renewed their session in form 117
renewed those doubts of mine 54
repairs were likely to take 61
repairs were needed to make 68
repeated down through the ages 45
repeated down through the years 118
repeated here except to note 70
replacing such damage or loss 523
replied three voices at once 71
replies were always the same 81
reporting date through the date 135
reports from behind the iron 108
reports from pilots or other 44
reports have failed to find 52
reports have failed to show 71
reports have reached me from 53
reports have reached us from 70
reports were always the same 51
reports what should be done 94
request were enough to make 94
require great caution in their 78
require high levels of care 51
require less energy in their 43
require more effort on your 75
require more effort to make 42
require more energy to break 54
require more energy to move 90
require much effort to show 40
require much reasoning to show 48
require some amount of time 70
require some changes in your 62
require some degree of self 187
require some effort of mind 45
require some effort on your 225
require some portion of self 83
require such person to give 191
require such person to make 413
require such person to show 325
require such person to take 124
require vast periods of time 123
requiring great extent of view 84
requiring such person to cease 968
requiring such person to show 52
requiring such person to take 59
requiring these checks is open 49
research have failed to find 55
research will result in more 131
research work should be done 319
reserve most freely in time 58
reserving their powers to some 52
resigns from office the other 45
resolve these issues as early 58
resolve what course to take 50
resolve what should be done 72
resolving their doubts in some 72
resound from beyond the alps 74
respect have stated it wrong 89
respect must always be paid 47
respect other points of view 265
respect their points of view 75
respect their rights as much 43
respond more readily to some 53
respond more readily to such 55
respond more readily to their 58
respond more readily to your 41
restore some degree of youth 123
restore some measure of calm 45
restore such person to such 56
restore their lovers to peace 49
restore these exiles to their 40
restore these states to their 40
restore your sister to your 45
restoring some degree of youth 48
resulting from changes in land 309
resulting from changes in other 43
resulting from changes in soil 40
resulting from changes in their 148
resulting from changes in these 66
resulting from dividing the bits 44
resulting from ingestion of food 94
resulting from injury at birth 47
resulting from injury or from 84
resulting from lesions of these 48
resulting from trauma or from 53
results from applying the rule 109
results from changes in heating 57
results from ingestion of eggs 42
results from ingestion of food 179
results from yielding to such 96
results good instead of evil 41
results have failed to show 61
results have tended to show 52
results three novels of three 75
results were almost as good 149
results were almost the same 380
results were always the same 1680
results were closer to those 48
results were likely to come 147
results were likely to have 52
results when measuring the same 90
results will depend in part 74
results will depend on what 141
results will depend on your 117
results will remain the same 93
resumed their places in line 45
retaining many traces of their 67
retaining some portion of their 48
retired from before the city 78
retired from before the town 86
retired from office in july 57
retired from office in june 70
retired till dinner if well 46
returning from england on their 50
returning from quebec to their 70
returning from whence he came 60
returning from whence it came 55
returning home across the hill 81
returning their cheers by waving 122
returns back whence it came 40
returns from abroad to find 104
returns from whence he came 180
returns from whence it came 512
revealed most clearly in their 93
revealed nothing beyond the fact 41
revealed very little of what 46
revenue from talent as well 42
revenue must always be less 93
revenue will always be less 125
reverse flow through the pump 97
revised some sheets of lord 80
rewards will accrue to those 49
righted when injury is done 94
rightly been called the most 341
routine work should be done 40
ruffians seen through an open 225
runners must return to their 52
