ravaged their country and cut 48
reactions were carried out and 43
reactions were carried out for 244
reactions were carried out using 505
reactions were carried out with 696
realized very quickly that she 67
realized very quickly that they 94
realized very quickly that this 67
reassure your partner that you 53
rebukes dost chasten man for 336
rebukes dost correct man for 410
receive five dollars for each 98
receive five dollars per day 244
receive five shillings per day 65
receive four dollars per day 236
receive full payment for his 49
receive more support than they 71
receive three dollars each per 97
receive three dollars for each 53
receive three dollars per day 381
receiving three dollars per day 40
recover more quickly and are 47
recover more quickly and with 74
reduced more rapidly than that 59
refined only because they are 53
reflect nothing besides its own 63
reflect upon himself and his 174
reforms were carried out and 223
reforms were carried out that 52
reforms were carried out with 202
refrain from believing that they 105
refrain from competing with each 185
refrain from competing with his 44
refrain from competing with one 68
refrain from informing him that 51
refrain from lamenting his own 114
refrain from marriage who can 164
refrain from mentioning his dear 161
refrain from observing that this 42
refrain from remarking that this 58
refrain from reminding him that 154
refrain from reminding you that 96
refrain from troubling you with 149
refugee from germany who had 98
regular army officer who had 250
regular army officer who was 92
related only because they are 138
religion have pointed out that 113
religion more ancient than that 48
religion more perfect than any 109
religion will absolve any man 51
remains much smaller than that 196
removed from affirming any one 45
removed from contact with any 66
removed from contact with his 76
removed from contact with its 49
removed from everything that was 62
removed from history and now 43
removed from natural gas and 50
removed from society and its 47
repairs were carried out and 259
repairs were carried out with 64
repeated here because they are 103
repenting hand abolish his own 222
replace your luggage and its 80
replied more sharply than she 43
reports from persons who are 59
reports good results with this 51
reports have pointed out that 448
request those members who are 155
require more ballast than men 45
require more capital than can 55
require more capital than they 46
require more courage than she 48
require some apology for being 45
requiring more imports than can 112
research also pointed out that 107
research have pointed out that 149
research will provide you with 118
research work carried out for 205
research work carried out with 66
respect just because they are 125
respect more altered than sam 45
respond more quickly and with 126
respond more rapidly and with 48
restore peace between him and 47
restore peace between men and 46
restore peace between them and 53
resulting from contact with hot 52
resulting from natural and man 46
results also suggest that both 62
results also suggest that for 165
results also suggest that one 43
results also suggest that this 129
results from factors that are 46
results from studies that use 73
results have pointed out that 60
results more quickly and with 127
results more quickly than any 84
results were carried out using 42
results were carried out with 48
results were similar for all 171
results were similar for both 318
results were similar for each 51
results when carried out with 66
results will provide you with 73
resumed their journey and had 40
retired army colonel who had 138
retired army general who had 59
retired army officer and his 62
retired army officer who had 496
retired army officer who has 43
retired army officer who was 128
retired from congress and was 53
retired from service and was 72
returning from congress not being 50
reuniting great britain and her 43
reviews have pointed out that 58
reviled their general for his 70
revolts most against his being 136
rewards more precious are than 88
rewards were offered for any 69
rewards were offered for his 436
rewards were offered for them 51
rightly been pointed out that 2056
rightly rule himself and his 97
