raising children 40 raising children 61
ranges diffused 141 rapid historic 54
rapid transfer 77 rapid expected 124
rates compared 45 rates possible 65
rates combined 61 rates increased 76
rates expected 44 rates vendible 73
rates relative 53 rates slightly 52
rates achieved 41 rather forwards 152
rather anywhere 42 rather children 40
rather lengthwise 77 rather evidence 40
rather personal 50 rather specific 67
rather criterion 46 rather positive 40
rather possible 178 rather explicit 98
rather directly 63 rather directly 71
rather directly 60 rather purposes 225
rather external 54 rather academic 40
rather artistic 109 rather children 46
rather contents 71 rather economic 51
rather grandeur 50 rather immediate 59
rather inherent 103 rather literary 146
rather military 63 rather original 57
rather personal 119 rather physical 58
rather potential 120 rather religious 99
rather specific 71 rather business 42
rather infantry 53 rather delicate 71
rather presence 124 rather children 69
rather enslaved 44 rather children 104
rather families 48 rather attention 57
rather severity 60 rather kindness 119
rather children 278 rather possible 44
rather students 52 rather absolute 72
rather children 173 rather families 214
rather husbands 98 rather immediate 74
rather officers 76 rather physical 76
rather specific 51 rather actually 46
rather precedes 86 rather accepted 47
rather ignorant 52 reacting materials 60
reader suspecting 86 reader prepared 52
reader extracts 50 reader exposure 63
reader prepared 67 reader informed 53
reader finished 72 reader followed 103
reader ontology 77 readings possible 42
really happened 48 really happened 53
really yourself 62 really anywhere 190
really possible 80 really children 87
really possible 122 really intention 48
really prepared 64 really attention 54
really attention 182 really attention 163
really practice 50 really attention 302
really happened 55 reason interest 97
reason distinct 121 reason ordinary 42
reason problems 65 reason questions 82
reason inserted 70 reason business 163
reason politics 47 reason interest 41
reason recourse 79 reason progress 41
reason children 202 reason mentioned 45
reason progress 52 reason reception 160
reason interest 100 reason direction 55
reason movement 40 reason provision 42
reason probably 136 reason response 82
reason progress 218 reason probably 56
reason regarded 314 reason included 41
reason mentioned 44 reason regarded 43
reason advanced 105 reason assigned 159
reason somewhat 50 reason summoned 43
reason advanced 230 reason assigned 135
reason mentioned 116 reason proposed 48
reason absorbed 142 reason received 78
reason designed 49 reason intended 50
reason supposed 93 reason education 49
reason yourself 191 reason referred 85
reason summoned 40 reason inserted 42
reason remained 63 reason survived 78
reason attacked 40 reason included 44
reason received 47 reason selected 74
reefs subsided 43 region explored 72
region observed 47 region reported 49
region occupied 53 region distinct 48
reign numerous 58 repay coldness 77
repay kindness 304 repay patience 46
repay services 51 repay goodness 108
repay kindness 1457 repay services 69
repeal effected 67 repeal obsolete 56
repeat whatever 57 reply received 214
reply received 411 reply received 228
reply recorded 100 reply received 68
reply received 554 reply satisfying 76
reply received 47 ridge slightly 63
right bronchial 68 right extended 175
right shoulder 177 right replaced 51
right disclose 41 right extended 106
right shoulder 44 right shoulder 42
right yourself 41 right continue 76
right business 70 right acquired 51
right children 72 rigid observed 67
rigor executed 45 risen constant 56
risks families 68 rites observed 74
rival contending 71 river distance 63
river branches 55 river explored 40
roads purposes 91 robbing murdered 80
rocks maintain 58 rocks foremost 54
roles assigned 108 roles expected 46
roles assigned 62 rooms occupied 46
rooms allotted 58 rooms assigned 95
rooms occupied 316 rooms prepared 246
rooms reserved 80 roots accepted 55
roots sunshine 373 round christian 167
round suspicion 45 round velocity 40
round yourself 80 round bandaged 45
route distance 49 route followed 163
route surveyed 44 route followed 113
route selected 65 royal prepared 97
royal ennobled 52 ruled possible 45
ruled entitled 136 rules explicit 40
rules practice 97 rules complied 45
rules followed 63 rules observed 86
rules complied 255 rules specific 177
rules proposed 53 rules mastered 134
rules yourself 62 running parallel 272
