racial groups does not prevent 48
raise moneys for that purpose 103
raise troops for his service 42
rally around him and support 116
rapid career and cut asunder 53
rapid changes that are occurring 354
rather afraid that this country 274
rather better than her husband 48
rather better than our present 55
rather better than two hundred 48
rather choose for her husband 62
rather expire with than survive 60
rather greater than that between 46
rather suffer death than consent 51
rather suffer them than commend 46
reader deduce his own verdict 52
reader should not let himself 63
really better fun than following 46
really needed for this purpose 54
really thought that our national 101
really wanted was not liberty 100
reaped little but this nominal 44
reared before them its rounded 58
reason carrying its own warrant 45
rebel armies that are arrayed 66
rebel masses and all foreign 147
rebel morton was not inferior 57
relay station for all sensory 176
renal damage and its relation 72
resting wholly for its support 54
right answer for each question 141
right moment had not arrived 83
right person and get married 40
right person for each position 53
right person for that position 43
right person for this position 91
right policy for this country 62
right standing with god because 95
risen indeed and has appeared 82
risen indeed and hath appeared 136
risen through his own efforts 91
rises before you with startling 251
rival groups and thus between 85
rival groups and thus endanger 103
river farther than any previous 41
river forces its way between 113
river shakes out her powdery 127
roots served him for rafters 42
rough coercion did not disturb 69
round bullet head and coughed 44
round england for its eternal 67
round waists that are slender 72
royal banner and all quality 148
royal choice was yet unknown 72
royal closet for that purpose 135
royal family and its retinue 43
royal family had met together 51
royal palace was being painted 46
royal person and dear country 54
rules framed for this purpose 69
rumor reached him that congress 66
running around with her friends 41
running around with his friends 73
