received data signals into user 89
received free medical care from 45
received from america some time 69
received from johnson last week 43
received great pleasure from your 46
received great pleasure were miss 52
received less support from their 94
received many letters from home 85
received many letters from other 42
received many letters from those 53
received many letters from young 103
received more support from their 162
received much benefit from their 42
received much pleasure from your 40
received much support from other 52
received much support from their 62
received some support from other 139
received some support from their 103
received such comfort some days 41
received their medical care from 63
received their present name from 66
received three letters from home 123
received three letters from your 40
received wide support from many 40
received wide support from other 44
receives great increase from many 52
receives some support from other 50
receives some support from these 43
receives some support from what 46
recently been brought back from 70
recently been brought back into 110
recently been brought into their 55
recently been divided into three 85
recently been released from jail 392
recently been removed from their 62
recently good results have been 43
recently great strides have been 40
recently have efforts been made 297
recently have studies been made 52
recently some efforts have been 55
recently these results have been 64
recently these studies have been 86
redirect their efforts away from 41
regulating these matters have been 46
regulating these matters were very 67
relapsed into silence once more 170
relations were spitted like those 149
reported side effects have been 49
resemble very closely those seen 44
resembling their parents from their 46
resisted were ejected from their 70
resolved upon acquiring fame from 79
restored their estates upon their 48
retained full control over their 47
retained some control over their 145
retained their dominion over part 55
returned from germany bringing peace 84
revenues were divided into three 44
