ram lamb was born in 54
ran along each side of 677
ran along one edge of 104
ran along one side of 2839
ran along one wall of 198
ran along that side of 94
ran along this side of 87
ran away and came to 637
ran away and fled to 66
ran away and left it 64
ran away and left me 649
ran away and left my 62
ran away and left the 657
ran away and left us 234
ran away and threw me 65
ran away and threw the 52
ran away and told the 90
ran away and took the 78
ran away and took to 61
ran away and went on 179
ran away and went to 1136
ran away for want of 41
ran away they were to 45
ran away with most of 103
ran away with some of 63
ran back and forth as 316
ran back and forth at 112
ran back and forth in 1081
ran back and forth on 1285
ran back and forth the 66
ran back and forth to 819
ran back and gave the 81
ran back and into the 56
ran back and said to 75
ran back and told the 240
ran back and took the 41
ran back out into the 413
ran back out onto the 161
ran crying out into the 46
ran down and into the 47
ran down and sank the 103
ran down and told the 54
ran down each side of 476
ran down her back as 280
ran down her back in 40
ran down her back to 104
ran down her chin as 40
ran down her face as 1355
ran down her face at 40
ran down her face in 197
ran down her face to 41
ran down his back as 317
ran down his back at 61
ran down his back in 78
ran down his body in 68
ran down his chin as 86
ran down his face as 1460
ran down his face at 135
ran down his face in 494
ran down his face to 81
ran down his list of 79
ran down his neck in 49
ran down his neck to 54
ran down one side of 1093
ran down that side of 43
ran from each side of 55
ran from her eyes as 103
ran from her lips to 42
ran from her neck to 88
ran from her nose to 99
ran from her room to 77
ran from him crying in 63
ran from him down the 56
ran from him into the 201
ran from him when he 46
ran from his eyes in 51
ran from his home to 44
ran from his left ear 113
ran from his mouth as 69
ran from his mouth on 61
ran from his mouth to 105
ran from his neck to 83
ran from his nose to 289
ran from new york to 919
ran from one door to 53
ran from one hole to 42
ran from one part of 192
ran from one room to 434
ran from one side of 1092
ran from one side to 826
ran from one spot to 56
ran from one tree to 132
ran from one wall to 62
ran from them into the 98
ran from this finger to 45
rang clear and true in 56
rang from his lips as 47
rang from one side of 43
rang loud and clear as 119
rang loud and clear in 291
rang over and over in 222
ran half way down the 105
ran hard and fast on 141
ran here and there as 47
ran here and there in 378
ran here and there on 169
ran here and there to 196
ran high all over the 80
ran home and gave the 69
ran home and said to 71
ran home and told my 667
ran home and told the 93
ran home and went to 77
ran into and sank the 141
ran into and upon the 40
ran into any kind of 65
ran into each other as 397
ran into each other at 2453
ran into each other by 210
ran into each other in 2508
ran into each other on 1099
ran into each other so 47
ran into each other the 64
ran into her room to 338
ran into him just as 130
ran into him once in 76
ran into him when he 118
ran into him when we 44
ran into his arms as 108
ran into his eyes as 96
ran into his room to 112
ran into that kind of 69
ran into this kind of 97
ran into this sort of 45
ran like mad down the 61
ran like mad over the 48
ran more and more in 69
ran more and more to 66
ran more than half the 42
ran neck and neck in 240
ran north and south as 51
ran north and south at 56
ran north and south in 226
ran north and south of 86
ran north and south on 126
ran north and south or 63
ran north and south the 41
ran north and south to 113
ran over and gave me 157
ran over and over in 293
ran over and over the 72
ran over and threw my 40
ran over and told me 47
ran over and took the 107
ran over each other in 93
ran over her body as 46
ran over her face as 71
ran over her skin as 45
ran over him when he 45
ran over his nose in 63
ran part way down the 70
ran past her down the 40
ran past her into the 363
ran past him down the 191
ran past him into the 402
ran past our line of 42
ran past them into the 123
ran some way into the 41
ran till she came to 77
ran till they came to 136
ran very far into the 41
ran west and north in 62
