satisfactions derived therefrom 141
satisfactory account concerning 63
satisfactory answers concerning 99
satisfactory behavior patterns 74
satisfactory content validity 73
satisfactory dynamic response 108
satisfactory foreign relations 48
satisfactory general accounts 46
satisfactory general analysis 64
satisfactory general anesthesia 132
satisfactory general approach 42
satisfactory general condition 213
satisfactory general criterion 44
satisfactory general education 169
satisfactory general progress 45
satisfactory general standard 92
satisfactory general treatment 139
satisfactory genetic identity 162
satisfactory marital relations 158
satisfactory material condition 54
satisfactory medical attention 51
satisfactory medical evidence 211
satisfactory medical services 57
satisfactory medical treatment 423
satisfactory minimum standard 389
satisfactory operating condition 920
satisfactory overall treatment 45
satisfactory patient outcomes 46
satisfactory primary standard 265
satisfactory results achieved 334
satisfactory results attained 143
satisfactory results compared 122
satisfactory results concerning 91
satisfactory results consists 63
satisfactory results followed 126
satisfactory results obtained 2386
satisfactory results possible 73
satisfactory results produced 46
satisfactory results provided 399
satisfactory results reported 91
satisfactory results requires 41
satisfactory results whenever 47
satisfactory service delivery 59
satisfactory service provided 55
satisfactory service rendered 193
satisfactory solution concerning 66
satisfactory solution consists 48
satisfactory solution involves 43
satisfactory solution possible 97
satisfactory solution requires 181
satisfactory student progress 45
satisfactory surface drainage 61
satisfactory written evidence 331
schizophrenia becomes manifest 127
schizophrenia following prenatal 366
schizophrenia include delusions 140
schizophrenia patient outcomes 174
scholarships awarded annually 435
scholarships offered annually 123
schoolmaster bradley headstone 86
schoolmaster timidly flatters 51
scintillation counter assembly 53
scintillation counter consisting 49
scintillation counter consists 376
scintillation counter designed 135
scintillation counter detector 60
scintillation counter equipped 206
scintillation crystal detector 246
scintillation mixture containing 95
scintillation solution containing 155
screenwriter raymond chandler 42
scrupulously avoided discussing 134
scrupulously avoided expressing 40
scrupulously avoided personal 41
scrupulously avoided politics 43
scrupulously correct attitude 88
scrupulously neutral attitude 46
semantically related clusters 48
semantically related concepts 314
semantically related elements 95
semantically related pictures 55
semantically similar concepts 106
semiconducting material containing 49
semiconducting organic materials 114
