sabbatical research leave 129
sabbatical support from 74
saccharine solution will 53
sacerdotal control over 65
sacerdotal offices were 123
sacerdotal tyranny into 42
sacraments depends upon 207
sacraments derived from 42
sacraments produce their 130
sacraments receive their 61
sacraments rightly used 41
sacredness derived from 91
sacredness derives from 45
sacrificed against their 86
sacrificed animals were 1012
sacrificed because their 47
sacrificed because there 85
sacrificed control over 101
sacrificed depends upon 47
sacrificed everything else 3450
sacrificed everything will 254
sacrificed herself upon 45
sacrificed himself like 128
sacrificed himself once 267
sacrificed himself upon 188
sacrificed himself when 46
sacrificed millions upon 69
sacrificed precious time 91
sacrificed present gain 40
sacrificed several days 42
sacrificed several years 98
sacrificed victims were 267
sacrifices because their 44
sacrifices because there 51
sacrifices control over 42
sacrifices derived from 72
sacrifices everything else 882
sacrifices exacted from 311
sacrifices existed among 59
sacrifices himself when 91
sacrifices imposed upon 718
sacrifices offered during 153
sacrifices offered from 49
sacrifices offered there 630
sacrifices offered upon 535
sacrifices offered were 94
sacrifices offered when 50
sacrifices parents make 297
sacrifices pleasure when 81
sacrifices resulting from 221
sacrifices together will 123
sacrifices willingly made 285
sacrificial animals among 48
sacrificial animals during 63
sacrificial animals from 199
sacrificial animals have 86
sacrificial animals into 65
sacrificial animals like 43
sacrificial animals must 125
sacrificial animals such 45
sacrificial animals used 54
sacrificial animals were 1398
sacrificial essence went 192
sacrificial language used 56
sacrificial objects were 61
sacrificial offerings during 56
sacrificial offerings from 219
sacrificial offerings have 113
sacrificial offerings into 75
sacrificial offerings made 299
sacrificial offerings such 52
sacrificial offerings were 933
sacrificial offerings will 51
sacrificial priests were 53
sacrificial rituals such 54
sacrificial rituals were 269
sacrificial service from 41
sacrificial service were 49
sacrificial service will 48
sacrificial vessels been 85
sacrificial vessels made 40
sacrificial vessels used 95
sacrificial vessels were 228
sacrificial victims from 253
sacrificial victims have 152
sacrificial victims into 65
sacrificial victims must 64
sacrificial victims were 2319
sacrificial worship must 51
sacrificial worship there 44
sacrificial worship were 102
safeguarding against fire 70
safeguarding against loss 49
safeguarding against such 231
safeguarding against their 44
safeguarding against these 40
safeguarding european peace 100
safeguarding herself from 50
safeguarding himself from 157
safeguarding mankind from 50
safeguarding society from 97
safeguarding workers from 56
safeguards against acts 48
safeguards against anti 179
safeguards against cold 65
safeguards against data 48
safeguards against even 85
safeguards against evil 398
safeguards against fire 1389
safeguards against harm 50
safeguards against having 40
safeguards against health 54
safeguards against high 43
safeguards against jury 42
safeguards against loss 528
safeguards against making 56
safeguards against many 91
safeguards against most 44
safeguards against other 76
safeguards against over 794
safeguards against poor 66
safeguards against rash 43
safeguards against risk 151
safeguards against self 551
safeguards against soil 50
safeguards against some 207
safeguards against such 10518
safeguards against taking 50
safeguards against theft 503
safeguards against their 1424
safeguards against these 1620
