sachems near providence 45
sachets and potpourris 391
saddening and discouraging 66
saddening and disheartening 95
saddled with antiquated 66
saddled with burdensome 112
saddled with cumbersome 48
saddled with exorbitant 81
saddled with government 230
saddled with impossible 72
saddled with inadequate 133
saddled with liabilities 123
saddled with obligations 398
saddled with relatively 61
saddled with reparations 163
saddled with substantial 202
saddled with traditional 48
saddled with tremendous 77
saddled with unrealistic 76
saddles and caparisons 58
saddles and equipments 250
saddles and saddlebags 180
sadists and masochists 5150
sadists and psychopaths 149
sadness and abstraction 342
sadness and acceptance 270
sadness and bereavement 720
sadness and bitterness 3470
sadness and boisterous 55
sadness and brightness 68
sadness and celebration 180
sadness and complexity 51
sadness and consolation 41
sadness and constraint 237
sadness and degradation 48
sadness and depressive 294
sadness and deprivation 222
sadness and desperation 1107
sadness and destruction 181
sadness and detachment 82
sadness and devastation 53
sadness and difficulty 392
sadness and diminished 85
sadness and discomfort 284
sadness and discontent 1464
sadness and disillusion 445
sadness and displeasure 111
sadness and distraction 51
sadness and earnestness 145
sadness and excitement 543
sadness and expectation 61
sadness and experience 83
sadness and expressions 40
sadness and fearfulness 107
sadness and frustration 4395
sadness and gentleness 105
sadness and gloominess 144
sadness and impatience 202
sadness and inadequacy 184
sadness and indignation 927
sadness and insecurity 270
sadness and lamentation 359
sadness and loneliness 17763
sadness and malcontent 52
sadness and melancholia 178
sadness and melancholy 8010
sadness and misfortune 1378
sadness and moroseness 165
sadness and narrowness 46
sadness and overwhelming 135
sadness and perplexity 1452
sadness and prostration 95
sadness and puzzlement 82
sadness and reluctance 432
sadness and renunciation 330
sadness and repentance 294
sadness and resentment 910
sadness and resignation 4187
sadness and sensuality 40
sadness and seriousness 660
sadness and solicitude 46
sadness and strangeness 561
sadness and subjugation 62
sadness and sullenness 41
sadness and tearfulness 260
sadness and tenderness 2704
sadness and transience 42
sadness and trepidation 75
sadness and tribulation 157
sadness are appropriate 47
sadness are considered 43
sadness had disappeared 145
sadness than bitterness 97
sadness that constantly 51
sadness that inevitably 64
sadness that overwhelms 115
sadness that surrounded 161
sadness was compounded 77
sadness was dissipated 49
sadness was overwhelming 359
saffron and sandalwood 567
saffron was cultivated 126
saffron was introduced 43
sailors all volunteers 50
sailors and artificers 123
sailors and attendants 49
sailors and boatswains 132
sailors and buccaneers 69
sailors and carpenters 175
sailors and colonizers 58
sailors and combatants 43
sailors and commanders 140
sailors and eventually 46
sailors and foreigners 148
sailors and geographers 142
sailors and husbandmen 101
sailors and immigrants 181
sailors and midshipmen 51
sailors and navigators 977
sailors and politicians 67
sailors and portuguese 93
sailors and privateers 66
sailors and scientists 370
sailors and servicemen 93
sailors and shipowners 267
sailors and spectators 67
sailors and stevedores 923
sailors and technicians 77
sailors and townspeople 203
sailors and volunteers 247
sailors and waterfront 127
sailors are accustomed 300
sailors are considered 62
sailors are constantly 50
sailors are discovered 48
sailors are frequently 67
sailors are notoriously 57
sailors for assistants 42
sailors for generations 55
sailors got tranquilly 50
sailors had contracted 44
sailors had difficulty 43
sailors had disappeared 153
sailors had discharged 50
sailors had discovered 213
sailors had introduced 56
sailors had surrounded 59
sailors that zarathustra 48
sailors was considered 68
sailors who discovered 127
sailors who frequented 332
sailors who frequently 43
sailors who maintained 55
sailors who understood 82
sailors with spirituous 53
sainted ann hutchinson 507
saintly and benevolent 96
saintly and charitable 54
saintly and chivalrous 47
saintly and illustrious 269
saintly and influential 89
saintly and rabelaisian 84
salable and profitable 122
salient and accessible 297
salient and appropriate 73
salient and attractive 158
salient and consistent 171
salient and contentious 64
salient and distinguishing 405
salient and emotionally 59
salient and expressive 44
salient and frequently 101
salient and impressive 56
salient and individual 89
salient and influential 259
salient and legitimate 65
salient and observable 41
salient and persistent 167
salient and potentially 127
salient and pronounced 92
salient and relatively 51
salient and remarkable 53
salient and substantial 100
salient and suggestive 78
salient but irrelevant 136
salient for particular 98
salient had disappeared 58
salient than individual 47
salient was discovered 48
salient was eliminated 210
sallied and skirmished 71
sallied out frequently 99
sallied out immediately 78
sallies and sententious 107
sallies and skirmishes 1449
sallies and unexpected 161
sallies and witticisms 126
saloons and apartments 123
saloons and businesses 44
saloons and disorderly 109
saloons and drugstores 44
saloons and flophouses 204
saloons and limousines 66
saloons and nightclubs 86
saloons and roadhouses 55
saloons and staterooms 389
saloons and vaudeville 51
saloons and warehouses 51
saloons that flourished 46
saluted and apologized 52
saluted and astonished 50
saluted and disappeared 1035
saluted and immediately 81
saluted and introduced 227
saluted and proclaimed 108
saluted and recognized 59
saluted and surrounded 236
saluted both fortresses 141
saluted her courteously 202
saluted him cheerfully 186
saluted him courteously 695
saluted him doubtfully 49
saluted him profoundly 50
saluted him reverently 102
saluted him vehemently 50
saluted his excellency 220
saluted his grandfather 48
saluted his lieutenant 61
saluted them auxiliaries 64
saluted them courteously 296
saluted them everywhere 111
saluted them mournfully 55
saluted with discharges 56
saluted with enthusiastic 65
saluted with reiterated 87
salutes and ceremonies 107
salutes and civilities 155
salutes and courtesies 157
salutes and handshakes 145
salutes and invitations 54
salutes and reverences 56
salutes for courtesies 72
salvage and assistance 540
salvage and firefighting 51
salvage and reclamation 634
salvage and restoration 642
salvage for meritorious 84
salvage his investment 117
salvage his presidency 114
salvage its investment 88
salvage our friendship 112
salvage was impossible 90
salvage was successful 42
salvage was undertaken 43
sampans and houseboats 42
sampans with indications 49
sampled and chemically 48
sampled and classified 173
sampled and continuous 238
sampled and identified 214
sampled and integrated 63
sampled and quantified 94
sampled and synthesized 336
sampled for comparison 119
sampled for examination 93
sampled for geochemical 103
sampled for laboratory 854
sampled for measurement 217
sampled for radiocarbon 486
sampled for subsequent 172
sampled was calculated 48
sampled was determined 91
sampled with sufficient 115
sampler and metropolis 159
sampler was determined 42
samples and accompanying 94
samples and analytical 222
samples and application 63
samples and appropriate 196
samples and assessment 138
samples and attributed 40
samples and background 125
samples and calculated 471
samples and calculates 50
samples and calculation 60
samples and calibration 260
samples and centrifuge 124
samples and collections 59
samples and comparison 268
samples and components 73
samples and considered 43
samples and containers 71
samples and continuous 89
samples and correlated 61
samples and correlation 61
samples and definitions 84
samples and deliveries 63
samples and determined 223
samples and determines 53
samples and discovered 96
samples and discussions 77
samples and distribute 53
samples and establishing 52
samples and eventually 56
samples and examination 97
samples and fingerprints 307
samples and frequently 65
samples and geophysical 91
samples and guidelines 62
samples and identified 174
samples and immediately 62
samples and inadequate 93
samples and incomplete 41
samples and individual 167
samples and information 2412
samples and interpreting 76
samples and interviews 80
samples and laboratory 742
samples and literature 696
samples and measurement 317
samples and methodology 195
samples and observation 179
samples and parameters 155
samples and populations 1833
samples and preparation 161
samples and procedures 263
samples and promotional 210
samples and prototypes 260
samples and references 234
samples and relatively 155
samples and replicates 134
samples and represents 75
samples and scientific 76
samples and simulations 365
samples and situational 75
samples and statistics 125
samples and stratified 211
samples and subsequent 383
samples and sufficient 52
samples and suggestions 122
samples and systematic 62
samples and techniques 146
samples and terrestrial 42
samples and transporting 113
samples are absolutely 48
samples are acceptable 267
samples are accurately 55
samples are adequately 129
samples are aggregated 133
samples are apparently 107
samples are applicable 78
samples are appropriate 262
samples are attributed 107
samples are calculated 615
samples are chemically 196
samples are classified 944
samples are comparable 802
samples are compatible 109
samples are completely 594
samples are compressed 137
samples are conditioned 177
samples are considered 2281
samples are consistent 630
samples are constantly 89
