sable simplicity that 407
sadly acquainted with 46
sadly admonished for 44
sadly appropriate for 50
sadly appropriate that 91
sadly bedraggled and 48
sadly behindhand with 109
sadly bewildered and 48
sadly celebrated for 44
sadly complained that 271
sadly consistent with 70
sadly contrasted with 214
sadly degenerate and 43
sadly diminished and 201
sadly diminished his 42
sadly discovered that 627
sadly disfigured and 139
sadly disfigured with 121
sadly distressed and 53
sadly distressed for 195
sadly distressed that 215
sadly encumbered with 127
sadly frightened and 48
sadly inaccurate and 41
sadly inadequate and 225
sadly inadequate for 283
sadly incomplete and 224
sadly incongruous with 42
sadly indefinite and 101
sadly inevitable that 114
sadly interfered with 1991
sadly interferes with 317
sadly interrupts both 42
sadly mismanaged and 43
sadly mismanaged his 47
sadly overlooked and 75
sadly overworked and 184
sadly preoccupied with 46
sadly recognized that 404
sadly recognizes that 150
sadly remembered how 47
sadly remembered that 225
sadly unprepared for 167
safer antibiotics are 66
safer arrangement than 65
safer atmosphere for 54
safer conference with 75
safer conveyance than 85
safer corrections than 66
safer dependence than 81
safer depository for 77
safer employment than 65
safer experience for 43
safer facilities for 41
safer foundations for 41
safer instrument than 71
safer investment and 81
safer investment for 207
safer investment than 1218
safer pesticides and 101
safer procedures for 99
safer proposition for 60
safer proposition than 133
safer repository for 103
safer speculation than 49
safer substitute for 253
safer techniques are 45
safer techniques for 91
safer workplaces and 99
sages acquainted with 126
sages approached him 67
sages conversant with 127
sages determined that 88
sages discovered that 192
sages maintained that 355
sages recognized that 223
sages understood that 239
sages understood this 65
sagging attendance and 41
sagging mattresses and 57
sagging popularity and 64
sailing adventures and 54
sailing dangerously near 118
sailing expeditions and 101
sailing experience and 650
sailing experience but 41
sailing experience had 61
sailing experience than 47
sailing experience was 166
sailing experience with 42
sailing immediately for 518
sailing instruction and 207
sailing instruction for 92
sailing instructor and 99
sailing perilously near 123
sailing privateers and 45
sailing regulations and 44
sailing techniques and 282
sailing technology and 140
sails emblazoned with 180
sails immediately for 234
saint identified with 53
saint prophesied that 62
saint valentines day 152
salad preparation and 47
salad preparation area 147
salad sandwiches and 2376
salad sandwiches are 75
salad sandwiches cut 43
salad sandwiches for 538
salad sandwiches that 61
salad sandwiches with 442
salad vegetables and 1223
salad vegetables are 632
salad vegetables can 52
salad vegetables for 125
salad vegetables may 47
salad vegetables that 128
salad vegetables with 130
sales accurately and 56
sales activities and 2780
sales activities are 2278
sales activities but 110
sales activities can 339
sales activities for 998
sales activities had 43
sales activities may 129
sales activities than 105
sales activities that 1890
sales activities was 55
sales activities with 631
sales adjustment and 51
sales agreements and 1382
