saccharine solutions which 65
sacerdotal authority which 40
sacerdotal functions which 110
sacerdotal garments which 42
sacerdotal movement which 63
sacrificed american lives 292
sacrificed captives taken 94
sacrificed economic growth 131
sacrifices involved would 56
sacrifices mentioned above 348
sacrifices required under 46
sacrificial ceremony which 86
sacrificial electron donor 513
safeguarding american lives 156
safeguards accorded under 47
safeguards detailed above 175
safeguards mentioned above 430
safeguards outlined above 68
safeguards provided under 585
safeguards required under 101
safeguards surround either 150
salespeople complain about 44
sanctified prudence might 49
sandstones containing plant 107
sandstones mentioned above 44
satellites launched after 74
satellites launched since 115
satellites mentioned above 109
satellites stationed above 42
scandalous anecdote about 47
scandalous apostasy could 119
scandalous articles about 62
scandalous directly after 70
scandalous excesses which 50
scandalous failures which 53
scandalous personal lives 43
scandalous proceeding which 47
scandalous situation which 87
scandalous treatment meted 58
scandalous treatment which 52
schismatic movement which 85
schismatic movement within 77
scholastic accuracy which 41
scholastic aptitude score 482
scholastic aptitude testing 205
scholastic aptitude tests 9958
scholastic aptitude which 72
scholastic aptitude would 73
scholastic argument about 59
scholastic argument which 62
scholastic disputes about 92
scholastic disputes which 53
scholastic divinity would 57
scholastic doctrine which 130
scholastic education which 111
scholastic erudition which 130
scholastic festival opening 54
scholastic movement which 91
scholastic pedantry which 73
scholastic precepts which 47
scholastic problems which 40
scholastic subtlety which 59
scholastic theologians would 51
scholastic tradition which 280
scientific accounts might 40
scientific accounts which 50
scientific accuracy could 153
scientific accuracy shall 61
scientific accuracy which 507
scientific accuracy would 152
scientific activity after 97
scientific activity aimed 54
scientific activity based 57
scientific activity began 99
scientific activity could 135
scientific activity might 74
scientific activity never 42
scientific activity since 96
scientific activity takes 138
scientific activity today 57
scientific activity under 111
scientific activity until 68
scientific activity where 65
scientific activity which 1280
scientific activity while 44
scientific activity within 299
scientific activity would 310
scientific advances could 178
scientific advances might 77
scientific advances occur 107
scientific advances often 139
scientific advances since 159
scientific advances which 1015
scientific advances within 75
scientific advances would 363
scientific advisers would 46
scientific advisory board 2719
scientific advisory group 501
scientific advisory panel 1100
scientific advisory staff 46
scientific agencies which 75
scientific analysis alone 132
scientific analysis based 173
scientific analysis could 309
scientific analysis gives 42
scientific analysis makes 46
scientific analysis might 85
scientific analysis often 47
scientific analysis rather 140
scientific analysis seems 46
scientific analysis shows 326
scientific analysis takes 43
scientific analysis which 662
scientific analysis within 42
scientific analysis would 412
scientific approach aimed 44
scientific approach alone 51
scientific approach based 428
scientific approach began 83
scientific approach could 432
scientific approach first 41
scientific approach helps 70
scientific approach makes 97
scientific approach might 146
scientific approach often 52
scientific approach rather 132
scientific approach seems 84
scientific approach taken 93
scientific approach tends 75
scientific approach where 67
scientific approach which 1463
scientific approach while 48
scientific approach within 67
scientific approach would 907
scientific argument about 194
scientific argument based 64
scientific argument could 50
scientific argument which 155
scientific argument would 48
scientific articles about 439
scientific articles based 51
scientific articles cited 72
scientific articles which 442
scientific articles would 44
scientific attention given 83
scientific attention since 107
