balls of your frigate have 57
bands of wild warriors along 42
based on case studies from 198
based on data derived from 5949
based on data entered into 48
based on data gathered during 434
based on data gathered from 1569
based on data gathered over 264
based on data resulting from 68
based on data secured from 190
based on ideas derived from 227
based on laws derived from 73
based on less reliable data 54
based on life history data 44
based on male control over 44
based on many factors other 87
based on many factors such 172
based on more limited data 81
based on more precise data 40
based on more reliable data 113
based on news reports from 41
based on open systems theory 54
based on other criteria such 213
based on other factors such 462
based on other grounds such 60
based on other grounds will 108
based on risk factors such 61
based on some criteria other 48
based on some criteria such 111
based on some insight into 46
based on such limited data 75
based on such samples will 100
based on test results from 158
based on test results have 122
based on their behavior during 65
based on their control over 247
based on their descent from 134
based on their deviation from 77
based on their previous work 155
based on their research into 131
based on these criteria have 47
based on these criteria were 50
based on these factors will 50
based on these limited data 86
based on these results have 45
based on these results will 49
based on these studies have 83
based on three natural laws 51
based on time averaging over 168
based on very limited data 655
based on what happens during 55
based on what happens when 127
based on what matters most 43
based on your results from 52
bases of these columns were 51
basis in your genuine soul 43
basis of data derived from 672
basis of data gathered during 62
basis of data gathered from 328
basis of data secured from 102
basis of ideas derived from 49
basis of more reliable data 48
basis of most european laws 41
basis of other criteria such 81
basis of other factors such 110
basis of race violated their 95
basis of such limited data 133
basis of such returns made 193
basis of test results from 44
basis of test results were 48
basis of their behavior during 58
basis of their behavior when 53
basis of their control over 96
basis of their decision making 110
basis of their descent from 77
basis of their deviation from 69
basis of their division into 59
basis of their effects upon 52
basis of their freedom from 41
basis of their logical form 45
basis of their national life 103
basis of their nucleic acid 62
basis of their previous work 82
basis of their research into 93
basis of their returns from 48
basis of these figures there 61
basis of these limited data 157
basis of these reports from 50
basis of these results there 44
basis of very limited data 153
basis of your results from 48
basking in great numbers along 43
bearer of some message from 59
beasts of poor quality were 41
beauty of their country there 43
beauty of their natural form 73
began at five minutes past 311
began in early colonial days 47
began in early tertiary time 50
began in great britain during 109
began my young marriage days 50
began the most unhappy part 109
began the slow descent into 43
began the slow journey back 54
began to band together into 107
began to blow squally from 97
began to blow steadily from 90
began to blow strongly from 101
began to come forward from 46
began to come steadily down 215
began to come together into 72
began to come together when 52
began to drag himself along 60
began to draw circles upon 68
began to draw lessons from 40
began to draw support from 83
began to draw together into 234
began to fall rapidly from 45
began to fall rapidly into 46
began to fall sharply from 45
began to feel distant from 40
began to feel himself more 158
began to feel intense pain 41
began to find himself hanging 136
began to find himself more 155
began to find himself much 48
began to flit forward into 42
began to form general ideas 109
began to free herself from 123
began to free himself from 322
began to gain control over 499
began to gain insight into 178
began to gain support among 74
began to gain support from 94
began to give herself airs 139
began to give himself airs 440
began to grow rapidly during 221
began to grow rapidly from 96
began to grow rapidly when 91
began to have trouble making 83
began to hope against hope 86
began to join together into 54
began to live happily ever 67
began to look askance upon 66
began to look closely into 51
began to look exactly like 123
began to look forward more 130
began to look himself over 116
began to look outside their 55
began to lose control over 1529
began to lose support among 96
began to lose support from 60
began to love freedom from 68
began to make attacks upon 46
began to make demands upon 199
began to make friends among 288
began to make himself felt 244
began to make himself heard 75
began to make himself more 169
began to make himself ready 82
began to make himself very 63
began to make inroads among 136
began to make inroads into 2018
began to make inroads upon 239
began to make remarks upon 53
began to move against hers 89
began to move eastward from 74
began to move forward along 71
began to move forward down 115
began to move forward from 193
began to move forward into 164
began to move forward once 178
began to move forward over 45
began to move forward very 44
began to move forward when 47
began to move outward from 70
began to move quickly away 43
began to move quietly away 50
began to move rapidly away 59
began to move towards more 116
began to move towards their 155
began to open himself more 116
began to part company from 43
began to play virginia reel 40
began to pull himself along 78
began to pull himself back 56
began to push forward from 41
