bag ladies and released mental 43
bbl barrel btu british thermal 47
being agreed that western should 84
being barred and windows grated 44
being endued with limited powers 100
being engaged with company abroad 63
being filled with smaller stones 101
being fitted with contact lenses 60
being inlaid with precious stones 103
being played off against another 94
being seized and brought before 47
being served with divorce papers 90
being served with written notice 65
being treated for gunshot wounds 66
being treated for venereal disease 130
being treated with radiation therapy 98
big enough and capable enough 43
big enough and complex enough 65
big enough and diverse enough 124
both active and passive forces 63
both active and passive methods 98
both active and passive powers 56
both active and passive senses 65
both active and passive states 60
both active and passive voices 129
both active and reserve forces 100
both allies and central powers 44
both analog and digital clocks 55
both analog and digital inputs 98
both analog and digital methods 50
both analog and digital signal 191
both anionic and cationic groups 95
both aqueous and organic phases 90
both buyers and sellers should 92
both convex and concave lenses 144
both defend all enemies abroad 113
both detect and correct errors 59
both doctor and patient should 45
both dorsal and ventral regions 45
both eastern and southern africa 145
both eastern and western africa 147
both eastern and western canada 337
both eastern and western coasts 166
both eastern and western europe 3648
both eastern and western flanks 43
both eastern and western fronts 353
both eastern and western methods 40
both eastern and western nations 136
both eastern and western nigeria 49
both eastern and western peoples 62
both eastern and western powers 53
both eastern and western regions 128
both eastern and western shores 102
both eastern and western slopes 74
both eastern and western states 74
both eastern and western thought 702
both eastern and western united 136
both eastern and western worlds 70
both emitting and absorbing radiant 43
both energy and protein intake 108
both england and america should 43
both england and holland seemed 44
both factor and product prices 44
both formal and thematic levels 41
both france and germany whether 102
both french and british armies 64
both french and british forces 79
both french and british troops 144
both gender and marital status 49
both gifted and control groups 102
both global and national levels 216
both global and national trends 63
both global and regional levels 290
both global and regional scales 140
both ground and excited states 603
both ground and surface waters 215
both groups are equally likely 47
both groups had similar levels 61
both hessian and british troops 91
both hindus and muslims joined 43
both hindus and muslims should 82
both horror and science fiction 67
both indoor and outdoor courts 88
both indoor and outdoor lighting 59
both indoor and outdoor meetings 84
both indoor and outdoor plants 77
both indoor and outdoor relief 159
both indoor and outdoor scenes 110
both indoor and outdoor settings 162
both indoor and outdoor spaces 110
both indoor and outdoor sports 150
both indoor and outdoor swimming 153
both indoor and outdoor tables 62
both indoor and outdoor tennis 43
both inland and coastal regions 41
both inland and coastal waters 128
both inside and outside africa 377
both inside and outside algeria 157
both inside and outside austria 42
both inside and outside brazil 103
both inside and outside canada 199
both inside and outside church 54
both inside and outside cities 43
both inside and outside england 78
both inside and outside europe 617
both inside and outside forces 55
both inside and outside formal 157
both inside and outside france 577
both inside and outside gender 56
both inside and outside greece 112
both inside and outside higher 67
both inside and outside houses 106
both inside and outside hungary 179
both inside and outside itself 171
both inside and outside london 122
both inside and outside mexico 143
both inside and outside myself 56
both inside and outside nigeria 184
both inside and outside poland 97
both inside and outside prison 341
both inside and outside public 143
both inside and outside quebec 232
both inside and outside school 1673
both inside and outside sweden 60
both inside and outside therapy 73
both inside and outside turkey 123
both intake and exhaust valves 1141
both inward and outward direct 122
both inward and outward strength 77
both israeli and egyptian forces 40
both larger and smaller groups 50
both larger and smaller scales 105
both larger and smaller values 100
both learned and natural reasons 111
both menials and maidens placed 54
both muscle and adipose tissue 105
both muscle and elastic tissue 45
both native and foreign authors 42
both native and foreign origin 85
both nature and nurture affect 46
both nature and religion mourns 63
both nature and religion taught 142
both normal and diseased states 154
both normal and diseased tissue 62
both normal and reverse faults 112
both plants and animals depend 41
both police and judicial powers 46
both prewar and postwar periods 62
both public and official opinion 287
both public and private actions 225
both public and private actors 754
both public and private agency 66
both public and private agents 121
both public and private arenas 208
both public and private bodies 417
both public and private building 163
both public and private causes 74
both public and private claims 52
both public and private credit 394
both public and private debate 40
both public and private duties 61
both public and private effort 53
both public and private employ 42
both public and private events 169
both public and private fields 73
both public and private forces 55
both public and private forest 151
both public and private forums 97
both public and private grants 44
both public and private groups 263
both public and private higher 374
both public and private holdings 62
both public and private houses 75
both public and private issues 67
both public and private leaders 47
both public and private levels 223
both public and private lighting 103
both public and private meetings 87
both public and private mental 141
both public and private methods 50
both public and private monies 47
both public and private morals 180
both public and private nature 47
both public and private opinion 60
both public and private owners 144
both public and private payers 133
both public and private pension 279
both public and private places 280
both public and private planning 70
both public and private plants 60
both public and private points 518
both public and private police 92
both public and private policy 165
both public and private prayer 131
both public and private reasons 143
both public and private relief 399
both public and private rights 303
both public and private school 1545
both public and private sector 13808
both public and private settings 620
both public and private should 46
both public and private spaces 509
both public and private speech 45
both public and private spending 247
both public and private training 79
both public and private values 58
both public and private venues 64
both public and private virtue 239
both public and private worlds 116
both public and private writings 46
both rodent and primate models 51
both sacred and profane authors 81
both sacred and profane writings 57
both sacred and secular settings 55
both sacred and secular thought 55
both sacred and secular writings 43
both school and college levels 80
both sexual and asexual methods 112
both sexual and asexual phases 140
both sexual and asexual spores 157
both sexual and asexual stages 148
both simple and complex models 58
both simple and complex partial 45
both simple and complex reaction 45
both simple and complex shapes 68
both slowly and rapidly adapting 61
both soviet and chinese leaders 54
both soviet and foreign authors 40
both spoken and written english 1452
both spoken and written french 65
both spoken and written speech 66
both static and dynamic forces 111
both static and dynamic images 46
both static and dynamic loadings 53
both static and dynamic methods 121
both static and dynamic models 179
both static and dynamic states 50
both static and dynamic strain 56
both strength and agility always 48
both sudden and gradual changes 50
both teacher and student should 100
both treated and control groups 206
both treated and placebo groups 49
both typhus and typhoid fevers 55
both venous and arterial disease 46
both whales had dropped astern 58
both wicked and unhappy without 58
boy pascal who evolved euclid 60
boy pounding his smaller brother 41
bring england and america closer 49
bring france and germany closer 43
bring hindus and muslims closer 121
but accuse and condemn another 67
but always with increasing strength 41
but another year elapsed before 45
but behind his massive figure 45
but called his refusal mutiny 41
but fashion and company should 41
but instead are rotated toward 56
but little for several nights 40
but little now remains except 47
but simple and artless nature 45
but vanity and worldly policy 51
but without any decided result 68
but without any material effect 74
but without any material result 86
but without any tangible result 138
but without any visible effect 194
but without any visible result 48
