baby grows inside the mother 196
baby sleep through the night 883
baby slept through the night 237
back again across the river 80
back again before he could 171
back again before the house 42
back again before we could 100
back again sooner or later 88
back again through the valve 41
back again through the veins 130
back again through the whole 113
back again toward the house 47
back every couple of weeks 63
back every minute to fetch 40
back still further to finding 55
bald issue whether the nation 68
ball passing through the right 63
ball rolling across the floor 248
ball swept across the table 41
ball which seemed to light 45
bank after crossing the river 41
bank fails before the check 65
bank notes issued by banks 88
bank notes issued by state 413
bank which issued the notes 56
bare facts before the court 42
bare walls seemed to close 58
bark large enough to carry 254
base broad enough to stand 103
base large enough to allow 89
base pairs before the start 87
base units listed in table 63
basing point system of pricing 731
bays which indent the coast 154
beams passing around the inner 62
beams running across the ceiling 324
beard growing through the stone 41
beard grown through the stone 41
bearing within itself the seeds 167
bears within itself the cause 59
bears within itself the germs 486
bears within itself the marks 51
bears within itself the power 202
bears within itself the seeds 1298
beast never smoked at table 41
beating until batter is smooth 55
been about twenty or thirty 72
been added thereto or mixed 196
been amusing myself by looking 48
been aptly termed by milne 47
been asked dozens of times 119
been asked scores of times 65
been asked whether he could 114
been asked whether he liked 53
been asked whether he would 383
been asked whether it would 214
been asked whether the dukes 52
been asked whether we could 50
been awake through the night 53
been beaten instead of getting 54
been black instead of white 61
been borne across the river 159
been borne across the world 91
been brave enough to admit 58
been brave enough to enter 51
been brave enough to stand 99
been brave enough to write 46
been broad enough to allow 48
been broad enough to cover 101
been built across the brook 54
been built across the front 117
been built across the gorge 41
been built across the river 638
been built across the stream 141
been built around the falls 80
been built around the notion 96
been built around the world 280
been built before the civil 482
been built before the first 177
been built before the gates 75
been built before the reign 69
been burning bricks in egypt 70
been busying myself in drawing 47
been close enough to catch 76
been close enough to smell 106
been close enough to touch 199
been cunning enough to enact 65
been cunning enough to offer 94
been drawn across the river 120
been drawn across the trail 69
been drawn through the first 42
been drawn through the point 130
been drawn through the words 61
been either before or after 158
been either before or since 156
been either better or worse 86
been either earlier or later 70
been either higher or lower 64
been either killed or badly 56
been either killed or taken 307
been fitly called the father 70
been found amidst the ruins 80
been found amongst the ruins 190
been found around the world 477
been found carved in stone 53
been found guilty by court 76
been found guilty in court 273
been found guilty of abuse 59
been found guilty of abusing 49
been found guilty of anything 239
been found guilty of armed 40
been found guilty of breaking 461
been found guilty of causing 73
been found guilty of child 131
been found guilty of crime 119
been found guilty of driving 50
been found guilty of dumping 54
been found guilty of engaging 70
been found guilty of failing 64
been found guilty of false 42
been found guilty of first 186
been found guilty of forging 103
been found guilty of fraud 309
been found guilty of grand 46
been found guilty of grave 53
been found guilty of gross 164
been found guilty of killing 326
been found guilty of libel 55
been found guilty of minor 65
been found guilty of passing 54
been found guilty of petty 62
been found guilty of price 54
been found guilty of racial 45
been found guilty of robbing 136
been found guilty of running 67
been found guilty of selling 393
been found guilty of setting 54
been found guilty of stealing 480
been found scanty at saint 47
been found useful by others 60
been found useful in acute 54
been found useful in asthma 101
been found useful in calming 94
been found useful in cases 271
been found useful in helping 182
been found useful in keeping 70
been found useful in solving 51
been found useful in teaching 229
been found useful in testing 97
been found useful in treating 495
been found useful in working 49
been found useful to adopt 44
been found useful to apply 56
been found washed on shore 55
been found without an owner 47
been frank enough to admit 160
been gaining ground in italy 48
been getting better or worse 113
been given before or after 64
been given before or since 102
been given before the passing 146
been given notice in writing 123
been given notice to appear 75
been given orders to shoot 139
been given plenty of warning 128
been given something to drink 54
been given something to fight 43
been haled before the court 59
been heated almost to boiling 82
been heated enough to burst 52
been known around the world 100
been known before or since 339
been known through the calling 113
been large enough to admit 76
been large enough to allow 269
been large enough to carry 83
been large enough to cause 214
been large enough to cover 189
been large enough to create 44
been large enough to house 85
been large enough to lodge 61
been large enough to serve 61
been large enough to yield 52
been looking through the books 61
been looking through the files 40
been looking through the glass 71
been lucky enough to avoid 320
been lucky enough to catch 502
been lucky enough to cross 47
been lucky enough to enjoy 230
been lucky enough to light 52
been lucky enough to marry 141
been lucky enough to please 69
been lucky enough to raise 45
been lucky enough to score 42
been lucky enough to share 92
been lucky enough to shoot 76
been lucky enough to spend 148
been lucky enough to study 51
been lucky enough to taste 53
been lucky enough to visit 177
been lucky enough to watch 81
been moved across the river 119
been moved around the world 71
been night instead of morning 61
been often before my fancy 95
been often quoted to prove 58
been often termed the nexus 66
been passing through an acute 44
been passing through the hands 44
been passing through the minds 57
been passing through the press 1517
been pending before the court 40
been playing around the edges 41
been pouring floods of water 43
been quick enough to avoid 65
been quick enough to catch 207
been quick enough to seize 50
been quite beside the point 49
been quite beyond the power 48
been quite enough to cause 50
been quite enough to raise 47
been quite unable to agree 57
been quite unable to avoid 46
been quite unable to carry 62
been quite unable to grasp 63
been quite unable to sleep 64
been quite unable to trace 123
been quite unable to write 220
been rather minute in drawing 178
been rather minute in stating 64
been rough around the edges 40
been running around the house 99
been running around the world 74
been running through my brain 48
been running through the minds 52
been running through the whole 43
been running through the woods 127
been sailing around the world 46
been sawed across the grain 68
been seated across the table 45
been seated around the table 56
been seated before the shock 63
been sharp enough to catch 46
been shown around the world 150
been since before the civil 109
been sitting across the aisle 108
been sitting across the table 169
been sitting around the house 194
been sitting around the table 128
been sitting behind the stove 82
been sitting behind the wheel 93
been small enough to allow 50
been smart enough to avoid 133
been smart enough to build 40
