babe she lost in infancy 153
baby and gave it aspirin 85
baby was born by caesarean 63
baby was born by cesarean 112
baby was born in january 114
baby was born in october 89
baby was born on january 72
baby was born on october 60
baby was born the following 119
baby who died in infancy 55
back all over the country 40
back and came up against 53
back and felt the counter 45
back and fill in details 42
back and fill the pitcher 54
back and forth as desired 85
back and forth as occasion 119
back and forth as quickly 291
back and forth as rapidly 176
back and forth as swiftly 83
back and forth at regular 160
back and forth by herself 47
back and forth by himself 55
back and forth in between 404
back and forth in cadence 109
back and forth in circles 74
back and forth in delight 66
back and forth in despair 76
back and forth in disgust 63
back and forth in ecstasy 119
back and forth in endless 140
back and forth in everything 51
back and forth in exactly 40
back and forth in frantic 50
back and forth in grooves 102
back and forth in harmony 42
back and forth in history 154
back and forth in negation 49
back and forth in nervous 62
back and forth in perfect 628
back and forth in pursuit 80
back and forth in regular 191
back and forth in relation 493
back and forth in rhythmic 153
back and forth in several 118
back and forth in shallow 175
back and forth in silence 889
back and forth in spanish 216
back and forth in support 46
back and forth in sympathy 51
back and forth in traffic 42
back and forth in zigzags 44
back and forth is usually 40
back and forth of symbols 94
back and forth on errands 98
back and forth on regular 41
back and forth on several 54
back and forth on streets 42
back and forth or rotated 47
back and forth so quickly 223
back and forth so rapidly 575
back and forth the question 47
back and forth the several 49
back and forth to achieve 291
back and forth to agitate 43
back and forth to america 417
back and forth to atlanta 149
back and forth to attract 111
back and forth to balance 63
back and forth to chicago 228
back and forth to classes 185
back and forth to collect 144
back and forth to college 282
back and forth to comfort 143
back and forth to compare 147
back and forth to confirm 55
back and forth to confuse 62
back and forth to consult 40
back and forth to control 107
back and forth to deliver 51
back and forth to detroit 71
back and forth to distant 54
back and forth to doctors 99
back and forth to enlarge 42
back and forth to examine 95
back and forth to exchange 47
back and forth to florida 334
back and forth to friends 55
back and forth to germany 166
back and forth to himself 41
back and forth to houston 154
back and forth to imitate 51
back and forth to increase 114
back and forth to ireland 90
back and forth to montreal 88
back and forth to observe 52
back and forth to operate 47
back and forth to pasture 61
back and forth to perform 48
back and forth to prevent 385
back and forth to produce 929
back and forth to protect 62
back and forth to provide 312
back and forth to relieve 89
back and forth to restore 49
back and forth to stretch 75
back and forth to toronto 58
back and forth to vietnam 51
back and forth to virginia 52
back and gave the command 121
back and give an account 90
back and held in position 119
back and held it against 42
back and held the canteen 143
back and hold it against 40
back and into the kitchen 150
back and look at everything 110
back and look at herself 44
back and look at himself 83
back and made no attempt 100
back and pull the trigger 101
back and risk my liberty 42
back and said the emperor 55
back and said to himself 147
back and snap the elastic 101
back and stop the machine 40
back and take an overall 77
back and take my chances 41
back and take the tickets 94
back and tell me everything 257
back and tell me exactly 47
back and tell my friends 53
back and tell the captain 59
back and tell the general 41
back and tell the muskrat 65
back and treat the company 44
back each other up against 43
back far into the history 109
back for just an instant 191
back for lack of support 73
back for such an occasion 55
back for want of support 46
back his host of friends 48
back long hair to prevent 77
back now from the vantage 125
back out from the kitchen 59
back out into the bedroom 219
back out into the channel 169
back out into the country 252
back out into the current 285
back out into the hallway 3092
back out into the kitchen 649
back out into the passage 93
back out into the streets 787
back out into the traffic 241
back out onto the balcony 623
back out onto the highway 958
back out onto the streets 268
back out onto the terrace 167
back out onto the veranda 79
back row were so furtive 55
back she said to herself 63
back two years or forward 53
back way into the kitchen 51
bade each other an eternal 84
bade him give an account 73
bade him hold it upright 59
bade him quit the secular 138
bags and leave the country 83
bags and left the country 62
bags are used to collect 51
bail and fled the country 140
bail and leave the country 44
bail and left the country 48
bait had upon the spirits 70
bait this boar to purpose 78
ball and flung it against 151
ball and threw it against 52
ball and throw it against 53
ball and wrap in plastic 150
ball has left the pitcher 107
ball one foot in diameter 129
ball one inch in diameter 239
ball six feet in diameter 48
ball two feet in diameter 67
band and blew the suffering 90
band gap from the valence 101
bane and pest of society 50
banging and flying in ribbons 204
bank and amid the shallow 70
bank and into the current 89
bank and into the shallow 49
bank and made an insulting 48
bank and open an account 197
bank and tell the manager 58
bank has been so omitted 260
bank has been the subject 41
bank has made an advance 56
bank has made to control 64
bank may treat the payment 66
bank was able to increase 40
bare him into an orchard 105
bark and into the sapwood 69
bark and yelp by himself 52
barn you deem it brought 40
bars all over the country 243
bars and into the streets 75
bars are held in position 62
bars are used to connect 58
bars are used to display 54
bars are used to support 58
bars they blur the gracious 199
base and along the margins 54
base its faith on judaism 49
base this mass of stunted 67
baths may also be helpful 48
bays and among the islands 98
bays not till he worries 98
beach and take the citadel 49
beach one ocean to explore 75
beams and rays of majesty 62
beams are used to produce 51
beams are used to support 127
beans and rice on mondays 55
beans and stir to combine 43
beans are high in protein 96
beans are rich in protein 111
bearing and rearing of offspring 50
bearing him from the interior 73
bearing his name or impress 66
