backed him through thick and 44
baffle and unmake what all 46
baited with rolled oats and 99
ballad that croaks from his 53
balsas and report what they 94
banner nor pennon among them 71
barely had enough food for 53
barely had enough room for 72
barely had enough time for 40
barons may choose five and 45
battle had already been won 412
battle had cleared away and 83
battle had lasted less than 173
battle had lasted more than 129
battle has already been won 457
battle has cleared away and 159
battle has rarely been won 83
battle hath passed over him 66
battle that lasted less than 94
battle that lasted more than 115
battle was already half won 385
battle was already lost and 70
battle was forced upon him 70
battle was forced upon them 40
battle was fought more than 40
battle was fought over this 63
battle was little more than 183
battle you should find one 43
became each moment more and 51
became his friend when they 41
became his second home and 49
became his second wife and 241
become and remain free and 46
become and remain less than 116
become but another name for 43
become but little more than 92
become his chosen ally and 47
become his second wife and 132
become too bogged down with 46
before and behind upon his 119
before and behind upon them 46
before and behind whom are 46
before and gotten away with 199
before any further move was 61
before any further step can 66
before any further step was 144
before any further work can 47
before any further work was 66
before any profit from them 69
before any serious harm was 62
before any useful work can 84
before being called upon for 73
before being handed over for 125
before being passed into law 67
before being signed into law 60
before being stored away for 49
before doing something like that 107
before doing something like this 45
before god breathed into his 97
before god created adam and 48
before going further into this 232
before had darted fire and 157
before her little girl was 44
before her pretty eyes had 52
before her strength gave out 208
before his boyish years are 145
before his career took off 106
before his pupils what they 41
before his return from his 126
before his second term was 133
before his senses left him 64
before his shrine when dead 62
before his spirit took its 43
before his strength gave out 472
before his tragic early death 49
before his troops were all 44
before jim should lose one 46
before one another when they 45
before one million years ago 118
before she calmed down and 53
before she changed into her 47
before she enters upon her 58
before she looked away and 48
before she looked down and 41
before she looked into his 53
before she looked upon him 51
before she parted from her 59
before she passed away and 66
before she passed away she 128
before she passed away that 42
before she pulled away and 109
before she reached home she 58
before she reached into her 49
before she reached over and 45
before she rolled over and 97
before she turned away and 810
before she turned away her 85
before she turned back and 55
before she turned from him 51
before she walked into his 47
before sir robert peel had 40
before that august body and 68
before they arrive into his 40
before they attain full age 101
before they became what they 97
before they become hard and 60
before they become ripe for 45
before they become their own 83
before they become worn out 49
before they bedded down for 44
before they calmed down and 42
before they decide what they 101
before they forced their way 77
before they formed their own 68
before they learned what had 85
before they opened their own 61
before they parted from him 74
before they parted gave him 42
before they reached their new 138
before they reached their own 247
before they reached their peak 81
before they realize what has 291
before they realize what they 125
before they settle down and 158
before they settle down for 113
before they settle down with 91
before they should have any 41
before they should have had 61
before they should know who 48
before they turned away and 44
before they turned away she 50
before they turned from that 40
before they worked their way 84
before this mighty host set 84
before this wedded pair bring 67
before thou earnest forth out 1062
before two million years ago 115
before war should break out 49
before was little more than 112
before was neither good nor 110
before you agreed upon any 46
before you decide upon any 48
before you decide upon this 41
before you decide what you 617
before you depart from this 53
before you embark upon this 42
before you finish reading this 278
before you finish your poem 43
before you forget what you 67
before you forget your own 53
before you invest time and 282
before you realize what has 152
before you realize what you 295
before you select your dog 41
before you settle down and 44
before you settle down for 69
before you settle down with 57
before you should have had 48
before you tackle your own 99
beggar and little more than 87
beggar had dawned upon him 47
begins his attack upon them 46
begins its flight only with 119
begins with little more than 58
begins with something other than 60
beheld not merely fish and 91
beheld with dismay these new 81
behind her closed door and 49
behind her closed eyes and 63
behind her closed eyes she 51
behind her closed lids and 43
behind him bumped into him 51
behind him without taking his 77
behind his friend into his 85
behind his shield when his 70
behind she panted into his 45
behind that placid brow and 40
behind them little more than 83
behold him watching over him 86
behold with envious eyes our 47
belief goes something like this 53
belief had always been that 194
belief has always been that 1080
belief that blacks were not 92
belief that christ died for 413
belief that effort will lead 100
belief that joliet went but 58
belief that joseph smith was 47
belief that negroes were not 41
belief that someone else has 77
belief that someone other than 54
belief that something more than 135
belief that something other than 78
belief was widely held that 808
beside her master during his 54
beside his sleeping wife and 51
bestow her blessing upon him 42
bestow his blessing upon his 63
bestow his blessing upon them 84
better and better from year 42
better and better means for 55
better and cheaper there than 47
better and cheaper work than 45
better and faster when they 114
better and fuller life and 51
better and fuller life for 374
better and nobler beings than 154
better and richer life for 313
better let sleeping dogs lie 150
better not decide upon her 58
better not remain here too 46
better off shutting down and 52
better off starting your own 41
better off without making any 1016
better than anyone else all 77
better than anyone else and 5474
better than anyone else are 46
better than anyone else but 455
better than anyone else can 2801
better than anyone else did 794
better than anyone else does 3221
better than anyone else for 131
better than anyone else had 651
better than anyone else has 594
better than anyone else his 104
better than anyone else how 5403
better than anyone else its 40
better than anyone else now 59
better than anyone else out 89
better than anyone else she 132
better than anyone else that 6062
better than anyone else they 97
better than anyone else this 53
better than anyone else was 228
better than anyone else who 1158
better than anyone else why 94
better than anyone else with 321
better than anyone else you 112
better than anyone ever did 61
better than anyone ever had 241
better than anyone ever has 423
better than anyone just how 141
better than anyone other than 75
better than anyone what she 65
better than anyone what that 40
better than anyone what they 49
better than anyone what this 64
better than anyone what was 168
better than anyone what you 90
better than bright hues and 65
better than earlier ones for 100
better than impart among them 119
better than public good and 45
better than simple peace and 86
better than someone else and 75
better than someone else can 44
better than someone else who 84
better than spending time with 77
better than twelve years ago 97
better than twenty years ago 344
better you should know all 46
better you should know that 41
better you should know this 127
beyond all measure daring and 53
beyond and behind what one 189
beyond its normal length and 45
beyond its normal range and 41
beyond this defile there was 42
beyond was something other than 40
bigger and better lamp and 46
bigger and bigger bite out 50
bigger and bigger from day 55
bigger and bigger till they 40
billet them myself upon this 87
billion and employ more than 81
bishop was absent from his 41
bishop with something more than 71
blacks and indians were not 47
blacks and whites during this 40
blacks and whites from all 70
blacks and whites have had 58
blacks and whites have not 99
blacks and whites into one 51
blacks and whites think and 83
blacks and whites were not 440
blacks and whites when they 43
blacks and whites will not 54
blamed sir robert peel for 48
blamed that should keep his 59
bleeding and clotting time and 62
bleeding for twelve years and 40
bleeding that occurs more than 52
blessing and reward upon his 41
blight had fallen upon her 58
blight had fallen upon his 73
blonde who looked like she 147
blouse was tucked into her 42
boards may always call for 45
boards six inches wide and 58
bodies are becoming more and 56
bodies are little more than 107
bodies had melted into earth 40
bodies near verona were not 52
bodies with proper diet and 50
bodily and mental health and 829
bodily and mental health are 514
bodily and mental health than 106
bodily and mental pain and 120
bodily and mental pain has 57
bodily and mental pain that 56
bodily nor mental pain for 47
boiled with nitric acid and 106
boiled with slaked lime and 54
bombings that killed more than 65
bonnet had fallen from her 121
bonnet was formed into that 85
bonnet was pulled over his 47
borrow its motive from this 381
bottle and return home with 48
bottom and remain there for 52
bottom and worked their way 172
boughs and shared their meal 72
boughs each floral bell that 193
bought for little more than 163
bought his climbing very dear 44
branch was fairly held out 43
branch with blooming gold and 52
brandy was poured down his 96
breathed his spirit into him 75
breathed his spirit into man 58
breathed with relief when they 173
breathes and creeps upon this 51
breeding you stupid lads and 89
breeze that curled your own 46
bricks and mortar rising and 54
bricks and stones laid thus 53
bridge that joined bank with 50
bridge was broken down and 55
bridge was washed away and 74
bridle and saddle from his 54
briers and bushes tore her 62
bright and cheery hour she 44
bright and laughing maze for 164
bright day passes into her 40
broken and dashed from her 73
broken and driven back with 60
broken and groaning tale had 71
broken his collar bone and 46
bronze was freely used for 44
brooding and gloating over his 49
brooding hen should look for 68
brooks and rivers over all 58
brother all rolled into one 109
brother and another young man 42
brother and sister came out 108
brother and sister from one 108
brother and sister from this 59
brother and sister hans and 78
brother and sister have not 65
brother and sister knew not 118
brother and sister knew that 49
brother and sister left for 49
brother and sister love each 49
brother and sister more than 51
brother and sister must not 66
brother and sister there was 134
brother and sister took each 45
brother and sister upon this 251
brother and sister used out 40
brother and sister went off 108
brother and sister went out 137
brother and sister were all 319
brother and sister were being 45
brother and sister were both 573
brother and sister were dead 48
brother and sister were doing 47
brother and sister were going 82
brother and sister were not 718
