bar and dare not vindicate 92
bear him sons and daughters 65
bear his loss with fortitude 184
bear his name are naturally 54
bear this trial with fortitude 111
beat them till they separated 136
beat with none but political 76
beg you will not entertain 43
beg you will not interfere 96
beg you will not interrupt 40
being and nothing are identical 64
being both safe and effective 55
being but just and reasonable 96
being cut down and destroyed 68
being not less than seventeen 52
being set upon and tormented 89
being then rude and impatient 46
being too cool and calculating 121
being too full for utterance 49
being too soon with everybody 53
being two from each community 94
bet you have not forgotten 40
big for their own utterance 72
big war means her abdication 61
big with young are abandoned 48
bit and tore and swallowed 45
bit her lips and swallowed 89
both bed load and suspended 225
both dry land and irrigated 43
both each other and themselves 75
both for food and ammunition 60
both for food and industrial 45
both for form and substance 52
both for health and fertility 97
both for jews and christians 91
both for life and godliness 184
both for piano and orchestra 53
both for radio and television 108
both for sons and daughters 43
both for their own advantage 104
both for their own amendment 137
both for their own enjoyment 68
both for their own happiness 59
both for their own interests 145
both for their own intrinsic 212
both for their own protection 383
both for your own happiness 40
both for your own protection 61
both her sons and daughters 142
both his duty and privilege 41
both his name and character 45
both his sons and daughters 335
both its form and decoration 42
both its form and substance 82
both long life and happiness 57
both new york and baltimore 133
both new york and california 657
both new york and cleveland 54
both new york and hollywood 164
both new york and liverpool 43
both new york and wisconsin 103
both our duty and privilege 63
both our sons and daughters 52
both real mode and protected 73
both with jews and christians 45
both with news and happiness 166
box that lets you customize 71
boy and girl they described 93
boy had upon him precisely 43
boy has wild and fantastic 42
bring her here this afternoon 40
bring her home for christmas 46
bring him home for christmas 81
bring him over and introduce 52
bring his wife and daughters 128
bring off their men victorious 72
bring out your own knowledge 73
bring them arms and ammunition 67
bring them here and slaughter 94
bring them peace and happiness 88
bring you food and medicines 49
bring you health and happiness 97
bring you nothing but happiness 52
bring you over and introduce 90
bring you peace and happiness 156
bring you some hot chocolate 44
but all these are surpassed 42
but all those who attempted 46
but all three are necessary 42
but are dealt with elsewhere 47
but are heavy and expensive 54
but are only dead carcasses 65
but are used for different 80
but are used with different 44
but beg peace for themselves 51
but both here and elsewhere 76
but bring your own equipment 50
but did unto him whatsoever 194
but each time with different 50
but far from being satisfied 69
but few data are available 739
but few have any knowledge 58
but for arms and ammunition 55
but for fame and influence 43
but for only one restraint 56
but for over two centuries 66
but for their own advantage 198
but for their own amusement 100
but for their own enjoyment 64
but for their own existence 52
but for their own interests 127
but for their own intrinsic 207
but for their own political 64
but for their own protection 171
but for thine own obstinacy 88
but for those who appreciate 59
but for those who preferred 48
but for those who recognize 54
but for what they represent 609
but for what they themselves 54
but for your own happiness 56
but for your own protection 105
but god keep all christians 45
but had been long separated 57
but had left his companions 43
but had left his furniture 49
but had lost you altogether 52
but has been and continues 40
but has been for centuries 58
but her arms and shoulders 42
but her birth was purchased 66
but her case was dismissed 51
but her face was contorted 54
but her face was distorted 44
but her face was exceedingly 43
but her face was impassive 125
but her face was perfectly 82
but her face was unreadable 42
but her heart was elsewhere 57
but her mark and impression 54
but her mind was disturbed 48
but her mind was elsewhere 755
but her mind was evidently 126
but her mind was perfectly 44
but her mind was somewhere 131
but her soft and enchanted 99
but her sons and daughters 54
but her youth and sweetness 43
but him whom you venerated 68
but his anger was momentary 94
but his arms and shoulders 73
but his army was destroyed 105
but his bill was dismissed 57
but his body was afterward 57
but his body was recovered 96
but his book was published 89
but his calm and dignified 45
but his case was dismissed 125
but his coat had faithfully 51
but his cold and collected 73
but his dark and motionless 42
but his dream was dispelled 46
but his early death prevented 261
but his face was contorted 100
but his face was different 71
but his face was distorted 56
but his face was impassive 393
but his face was perfectly 124
but his face was unreadable 116
but his face was untouched 95
but his health was precarious 51
but his health was shattered 88
but his heart was deposited 54
but his heart was elsewhere 187
but his heart was evidently 44
but his heart was overflowing 200
but his heart was untouched 65
but his home was elsewhere 98
but his life and character 79
but his life was forfeited 61
but his life was preserved 116
but his mind and character 91
but his mind has developed 51
but his mind was disturbed 62
but his mind was elsewhere 1399
but his mind was evidently 205
but his mind was naturally 51
but his mind was perfectly 90
but his mind was somewhere 208
but his name and character 55
but his name and influence 40
but his name and reputation 78
but his pace was quickened 47
but his reading was desultory 98
but his sons and daughters 127
but his sons and grandsons 190
but his suit was dismissed 50
but his tomb was destroyed 45
but his tone was different 40
but his trial was postponed 99
but his wife and daughters 388
but his work and influence 128
but his work was certainly 44
but his work was completed 57
but his work was continued 296
but his work was forgotten 42
but his work was published 67
but his wrath was mitigated 54
but its form and machinery 224
but its form and structure 106
but its form and substance 53
but let your own discretion 1183
but may make its appearance 67
but may show that permission 132
but may vary for different 51
but may vary with different 56
but not from being convinced 117
but not from its production 262
but not from real necessity 56
but not just for ourselves 50
but not less than quarterly 95
but not more than necessary 243
but not more than seventeen 46
but not only for ourselves 118
but not till its virulence 69
but not when one considers 98
but now there are additional 41
but now there are pavements 52
but one book was expressly 52
but one great and important 63
but one longing and utterance 89
but one soul and substance 63
but one step that separates 73
but our case was desperate 62
but our love and happiness 74
but our only two volunteer 43
but our sons and daughters 63
but our will and character 218
but she heard his footsteps 63
but she held her composure 60
but she kept her composure 306
but she kept her expression 217
but she knew his character 85
but she knew his reputation 44
but she knew how difficult 45
but she knew how important 122
but she knew that sometimes 61
but she knew that somewhere 62
but she knew with certainty 46
but she left them untouched 44
but she made her advantage 111
but she made her appearance 65
but she must not foolishly 41
but she said she preferred 248
but she used her influence 43
but she will not sacrifice 45
but that case was overruled 50
but that even our conception 43
but that even this prodigious 396
but that hope was staggered 90
but that kind not perfectly 48
but that need not interfere 114
but that plan was abandoned 102
but that there are additional 58
but that there are conditions 85
but that there are different 466
but that there are exceptions 213
but that there are important 491
but that there are instances 173
but that there was certainly 57
but that these are different 68
but that time was necessary 95
but that were not available 45
but that what they pretended 44
but that what was important 59
but that when two different 42
but that will not guarantee 67
but that will not interfere 159
but they also are associated 56
but they also are concerned 169
but they also are important 93
but they also had different 76
but they also had important 70
but they also saw themselves 114
but they also see themselves 119
but they also use different 47
but they break out sometimes 89
but they give off important 46
but they have for centuries 40
but they have had different 46
but they have not abandoned 260
but they have not abolished 72
but they have not addressed 123
but they have not altogether 114
but they have not attempted 272
but they have not attracted 115
but they have not benefited 46
but they have not challenged 47
but they have not clarified 47
but they have not committed 84
but they have not conquered 46
but they have not continued 49
but they have not converted 44
but they have not convinced 80
but they have not correctly 90
but they have not delivered 56
but they have not described 53
but they have not destroyed 196
but they have not developed 623
but they have not discussed 101
but they have not displaced 64
but they have not disturbed 51
but they have not exercised 51
but they have not explained 181
but they have not forgotten 546
but they have not fulfilled 45
but they have not generally 352
but they have not generated 85
but they have not hesitated 105
but they have not indicated 74
but they have not materially 59
but they have not neglected 58
but they have not organized 58
but they have not overthrown 51
but they have not performed 65
but they have not permitted 42
but they have not presented 75
but they have not preserved 51
but they have not prevailed 217
but they have not prevented 332
but they have not previously 88
but they have not prospered 52
but they have not published 122
but they have not recovered 41
but they have not reflected 42
but they have not responded 131
but they have not satisfied 60
but they have not succeeded 1724
but they have not suggested 62
but they have not themselves 68
but they have not typically 45
but they have not undergone 59
but they have now abandoned 90
but they have one advantage 95
but they have one important 221
but they have this advantage 179
but they have two different 41
but they have two drawbacks 53
but they have two important 79
but they know his conditions 49
but they make its sublimity 61
but they make them artificial 150
but they must ask themselves 42
but they must not interfere 238
but they need not interfere 44
but they said they preferred 42
but they shew its necessity 44
but they show its existence 56
but they show its necessity 87
but they speak for themselves 95
but they think they themselves 46
but they were all abandoned 97
but they were all acquitted 114
but they were all americans 41
but they were all committed 50
but they were all compelled 54
but they were all concerned 129
but they were all connected 52
but they were all convinced 197
but they were all delighted 48
but they were all destroyed 484
but they were all different 180
but they were all dismissed 57
but they were all dispersed 52
but they were all exhausted 43
but they were all extremely 146
but they were all forgotten 41
but they were all fruitless 49
but they were all haughtily 67
but they were all important 61
but they were all interesting 47
but they were all massacred 51
but they were all necessary 70
but they were all negatived 43
but they were all overruled 75
but they were all perfectly 105
but they were all persuaded 40
but they were all recovered 52
but they were all scattered 120
but they were all surpassed 126
but they were all surprised 43
but they were all thoroughly 93
but they were all unanimous 55
but they were all uniformly 47
but they were both extremely 44
but they were both perfectly 47
but they were both prisoners 69
but they were but insulated 42
but they were far surpassed 54
but they were not abandoned 121
but they were not abolished 73
but they were not addressed 142
but they were not altogether 685
but they were not americans 76
but they were not appointed 100
but they were not associated 214
but they were not attracted 119
but they were not authorized 303
but they were not available 1015
but they were not barbarians 43
but they were not challenged 77
but they were not christians 90
but they were not collected 203
but they were not commercial 47
but they were not committed 236
but they were not compelled 284
but they were not competent 116
but they were not complaining 64
but they were not completed 274
but they were not conceived 113
but they were not concerned 515
but they were not concluded 40
but they were not condemned 53
but they were not conducive 60
but they were not confident 125
but they were not confirmed 121
but they were not connected 369
but they were not conquered 79
but they were not consulted 244
but they were not contented 78
but they were not continued 70
but they were not converted 142
but they were not convicted 74
but they were not convinced 1453
but they were not criminals 85
but they were not defective 44
but they were not delivered 184
but they were not democrats 56
but they were not dependent 133
but they were not described 133
but they were not destitute 72
but they were not destroyed 213
but they were not developed 269
but they were not different 163
but they were not difficult 77
but they were not discussed 137
but they were not disturbed 218
but they were not effective 469
but they were not effectual 70
but they were not efficient 82
but they were not empowered 159
but they were not encouraging 106
but they were not especially 366
but they were not excessive 57
but they were not exclusive 80
but they were not explained 56
but they were not exploited 48
but they were not expressed 65
but they were not extensive 111
but they were not flourishing 44
but they were not forbidden 107
but they were not forgotten 382
but they were not fortunate 94
but they were not fulfilled 152
but they were not furnished 53
but they were not generally 777
but they were not gentlemen 82
but they were not identical 409
but they were not important 553
but they were not impressed 417
but they were not interesting 104
but they were not invariably 45
but they were not justified 147
but they were not mandatory 52
but they were not motivated 95
