befit a document which may 110
began a campaign which was 76
began a conflict which has 43
began a conflict which was 62
began a diligent search for 150
began a diversion which they 42
began a feverish search for 139
began a frenzied search for 87
began a movement which has 109
began a movement which was 149
began a practice which has 100
began a practice which was 53
began a struggle which was 69
began a tradition which has 61
began a tradition which was 58
began a vigorous search for 124
below a critical level and 167
below a critical level for 114
below a critical level that 43
below a critical value and 135
below a critical value for 87
below a critical value that 42
board a schooner bound for 167
board a steamboat bound for 142
board a steamship bound for 111
breathe a somewhat freer air 46
build a beautiful house for 81
build a business model that 46
build a computer model that 100
build a military force that 134
build a positive image for 128
build a separate house and 54
build a separate house for 284
build a socialist state with 63
build a suitable house for 158
built a beautiful house and 47
built a beautiful house for 98
built a beautiful house with 45
built a handsome house and 48
built a handsome house for 65
built a handsome house near 44
built a powerful fleet and 43
built a separate house for 240
built a splendid house for 52
