backed by big business and 51
backed up and restored using 64
backed up his argument with 88
backed up his rhetoric with 43
backed up this assertion with 45
backed up with evidence and 65
banner of each regiment was 55
barely in her fifteenth year 68
barrel of his revolver and 58
barrel of oil produced and 114
barren of any evidence that 284
basket on his shoulder and 143
batted in any direction with 88
battle he was captured and 59
battle of san pasquale was 46
battle of this campaign was 59
beaches in that vicinity being 48
bearers of his communion with 52
became an apt metaphor for 42
became an art director for 65
became as one inspired with 115
became in all respects one 47
became so far advanced that 58
became the art director for 42
became the key criterion for 44
became the new frontier for 60
became the new minister for 54
became the new standard for 182
became the raw materials for 103
become an apt metaphor for 45
become at all intimate with 121
become of our religious and 110
become on his desertion and 71
become so far advanced that 381
become the new frontier for 81
become the new paradigm for 79
become the new puritans and 46
become the new standard for 343
become the raw materials for 267
becoming as men inspired with 41
becoming at all intimate with 47
becoming in all apparent being 41
becoming the new standard for 111
before an old password can 55
before he can commence his 98
before he can complete his 481
before he can conclude that 128
before he can consider his 42
before he can continue his 104
before he can continue with 60
before he can contract any 58
before he can discover his 49
before he can discover that 51
before he can exercise any 62
before he can exercise his 238
before he can exercise that 42
before he can maintain his 67
before he can overcome his 54
before he can possibly get 44
before he can practice his 57
before he got anywhere near 367
before he got involved with 238
before he had achieved any 171
before he had achieved his 279
before he had achieved that 52
before he had acquired any 390
before he had acquired his 155
before he had acquired that 75
before he had actually met 46
before he had advanced far 205
before he had attained any 72
before he had attained his 2218
before he had attained that 91
before he had believed that 90
before he had bestowed his 47
before he had complied with 49
before he had composed his 44
before he had declared his 125
before he had declared that 378
before he had departed for 106
before he had effected any 48
before he had effected his 149
before he had examined them 238
before he had executed his 121
before he had finished all 108
before he had finished and 191
before he had finished eating 114
before he had finished his 6139
before he had finished one 93
before he had finished she 75
before he had finished that 133
before he had finished them 133
before he had finished this 195
before he had finished with 507
before he had hammered out 96
before he had informed his 57
before he had insisted that 141
before he had invented his 43
before he had launched his 54
before he had mastered his 86
before he had observed that 43
before he had obtained any 159
before he had obtained his 284
before he had prepared his 110
before he had presided one 46
before he had produced any 78
before he had produced his 85
before he had proposed that 111
before he had provided for 80
before he had received any 623
before he had received her 106
before he had received his 727
before he had received one 50
before he had received that 48
before he had received them 47
before he had received this 197
before he had regained his 278
before he had remarked that 93
before he had rendered his 56
before he had reported that 41
before he had resigned his 53
before he had resolved how 57
before he had withdrawn his 57
before he has achieved his 95
before he has acquired any 129
before he has acquired his 42
before he has adjusted his 120
before he has advanced far 51
