backfire when used with men 55
bacterial cell wall and are 58
bandanna tied over his head 44
bargains were made with them 50
battened down fore and aft 176
beautiful blue eyes and her 42
beautiful blue eyes and long 42
beautiful even when she was 91
beautiful even when they are 55
beautiful girl like you doing 89
beautiful ideas worth dying for 236
beautiful lady whom they had 59
beautiful only when they are 108
beautiful tree from being cut 59
beautiful young girl and her 85
beautiful young girl does not 53
beautiful young girl who had 377
beautiful young girl who has 61
beautiful young girl who sat 68
beautiful young girl who was 391
beautiful young girl with long 124
beautiful young lady and her 68
beautiful young lady met one 78
beautiful young lady who had 200
beautiful young lady who has 66
beautiful young lady who was 231
beautiful young lady with long 46
beautiful young wife and her 54
beautiful young wife and his 72
beautiful young wife and two 57
beautiful young wife was his 43
beautiful young wife who had 43
beautiful young wife who was 55
beautifying their town with new 65
behaviors even when they are 44
behaviors from more than one 42
believed among other things that 135
believed five years ago that 50
believed nothing else but that 41
believed nothing else than that 126
believed nothing less than that 134
believed only what she saw 59
believed only what they saw 57
believed some years ago that 122
believed there were few men 109
believed there were few who 40
believed were most fit and 59
benefits even when they are 69
benefits from more than one 788
benefits from those who are 62
benefits only those who are 201
benefits only those who can 42
benefits only when they are 48
benefits over more than one 58
bequeathed from lips that are 124
bestowed upon adam and eve 44
bestowed upon angling has not 49
bestowed upon those who are 480
bestowed upon those who can 40
bestowed upon those who had 360
biologist will tell you that 185
blanches your lips and eats 137
blustering over there and did 96
boarders yell when they hear 139
boldface type when they are 260
bonfires were made for joy 58
borrowed from more than one 159
borrowed from those who had 174
borrowed much more than they 49
botanist will tell you that 48
branches from more than one 67
branches have been cut off 956
branches when these can not 44
breeches fall down and his 46
brochure will show you how 110
brotherly love among all men 40
buffaloes have been lying and 45
builders will tell you that 93
burghers were tied two and 92
business away from him and 58
business away from them and 50
business came into its own 57
business card from her bag 43
business from more than one 55
business from those who are 43
business many years ago and 50
business must have its own 115
business some years ago and 50
business will have its own 166
business will tell you that 398
buttered baking dish and set 46
