bad people 227 bear later 126
bed stood 53 being eight 100
being seven 48 being above 108
being apart 53 being above 127
being apart 46 being seven 55
being people 74 being space 57
being parts 42 being people 44
being homes 61 being grass 70
being trees 41 being older 66
being people 49 being found 45
being power 216 being parts 53
being times 49 being units 64
being alive 59 being chaff 51
being lines 40 being people 45
being under 65 being cells 43
being homes 456 being water 77
being water 135 being close 83
big below 50 big miles 73
big table 42 big moved 44
big taken 46 big under 99
both round 101 both strong 44
both claim 51 both shown 46
both found 56 both found 62
both chest 207 both happy 46
both saved 42 both lives 40
both equal 92 both found 171
both shown 46 both sadly 42
both action 57 both found 42
both fully 95 both given 83
both willing 51 both lives 409
both about 47 both aware 212
both appear 52 both alive 61
both ruled 46 both found 133
both necks 52 both found 83
both happy 66 both saved 42
boy saved 60 boy saved 57
boy about 43 boy badly 85
bring state 86 bring lives 58
bring house 52 bring print 613
bring lives 114 bring store 56
bring father 47 bring above 99
but after 52 but later 109
but after 75 but later 57
but later 40 but after 61
but later 80 but about 56
but about 51 but months 57
but months 110 but weeks 63
but spent 196 but spent 49
but minor 41 but cases 77
but cases 79 but minor 46
but known 255 but place 40
but about 59 but which 101
but about 87 but amiss 152
but which 46 but built 40
but false 48 but taken 99
but worse 90 but about 114
but either 76 but still 47
but hearts 121 but sword 57
but place 44 but enter 44
but known 49 but large 41
but touch 53 but after 48
but wealthy 69 but known 53
but taken 82 but worse 201
but later 96 but found 92
but force 96 but sight 80
but money 51 but dress 99
but again 76 but smooth 93
but added 283 but built 46
but found 195 but known 56
but taken 53 but place 130
but place 288 but taken 104
but parts 45 but known 194
but about 46 but quiet 68
but roots 312 but which 60
but forms 54 but about 63
but shall 102 but beaten 49
but allow 63 but above 51
but taken 348 but taken 47
but shape 654 but words 77
but large 43 but people 44
but times 90 but often 58
but alive 730 but under 93
but within 45 but people 98
but hands 41 but easily 54
but forms 55 but fingers 45
but months 56 but small 113
but miles 48 but close 43
but place 144 but heaven 43
but added 47 but found 316
but given 154 but known 44
but shown 198 but since 187
but taken 108 but roots 58
but taken 56 but could 208
but needs 175 but could 65
but known 71 but allow 56
but serve 67 but ceased 92
but still 45 but point 43
but after 234 but after 67
but weeks 60 but after 90
but after 124 but house 56
but added 43 but given 171
but saved 45 but again 58
but bound 41 but fatal 84
but found 46 but given 71
but happy 119 but liable 51
but piled 73 but proud 108
but quite 190 but still 120
but taken 91 but twice 54
but willing 137 but wiser 41
but worse 56 but rather 71
but anything 51 but longer 42
