be a bad mark against 61
be a big help because 96
be a big star someday 94
be a big step forward 2782
be a big step towards 371
be a bit late because 48
be a bit late tonight 137
be a bit more careful 1782
be a bit more cautious 551
be a bit more certain 50
be a bit more complex 716
be a bit more creative 337
be a bit more demanding 57
be a bit more extreme 84
be a bit more familiar 51
be a bit more focused 45
be a bit more forgiving 73
be a bit more general 161
be a bit more gracious 61
be a bit more helpful 137
be a bit more lenient 173
be a bit more liberal 149
be a bit more limited 109
be a bit more painful 41
be a bit more patient 691
be a bit more pleasant 56
be a bit more precise 1262
be a bit more private 53
be a bit more rational 46
be a bit more relaxed 590
be a bit more reliable 43
be a bit more sociable 41
be a bit more tactful 60
be a bit more trouble 58
be a bit time consuming 67
be a day when everything 51
be a dry spot forward 71
be a far from perfect 61
be a far more arduous 52
be a far more certain 47
be a far more complex 734
be a far more demanding 151
be a far more elusive 41
be a far more fertile 47
be a far more general 71
be a far more glorious 85
be a far more meaningful 112
be a far more natural 50
be a far more peaceful 60
be a far more perfect 429
be a far more pleasant 122
be a far more popular 64
be a far more precious 50
be a far more promising 83
be a far more radical 93
be a far more rational 103
be a far more reliable 222
be a far more rewarding 53
be a far more salient 87
be a few days shorter 47
be a few ideal touches 58
be a few more minutes 966
be a few more moments 49
be a few more seconds 43
be a fit pacing palfrey 44
be a gap left between 78
be a god unto abraham 48
be a god unto himself 73
be a jot more unhappy 89
be a key link between 132
be a key step towards 48
be a lag time between 144
be a law unto herself 582
be a law unto himself 3920
be a law unto oneself 324
be a long hard journey 52
be a long slow process 204
be a long step forward 434
be a long step towards 394
be a long term capital 74
be a long term problem 81
be a long term process 191
be a long term project 138
be a long term solution 117
be a long time because 55
be a long time between 457
be a long time forgiving 67
be a long time returning 54
be a long wait between 91
be a lot less confusing 44
be a lot less nervous 50
be a lot less painful 189
be a lot less trouble 253
be a lot less worried 43
be a lot more careful 1034
be a lot more cautious 171
be a lot more certain 78
be a lot more complex 361
be a lot more creative 110
be a lot more crowded 43
be a lot more demanding 127
be a lot more excited 150
be a lot more focused 47
be a lot more forgiving 46
be a lot more helpful 240
be a lot more meaningful 67
be a lot more natural 42
be a lot more nervous 81
be a lot more painful 122
be a lot more patient 133
be a lot more peaceful 127
be a lot more pleasant 362
be a lot more popular 136
be a lot more precise 66
be a lot more radical 49
be a lot more relaxed 435
be a lot more reliable 54
be a lot more research 41
be a lot more rewarding 80
be a lot more trouble 306
be a lot more worried 324
be a man just because 54
be a man like anybody 74
be a man like himself 69
be a new bond between 84
be a new link between 40
be a new step forward 54
be a new step towards 47
be a new trial because 83
be a not very distant 47
be a real good fortune 53
be a real link between 72
be a real peace between 57
be a real step forward 313
be a real step towards 69
be a sin when violence 91
be a thin line between 268
be a two step process 153
be a weak link between 49
be a yet more general 44
by a bar code scanner 158
by a car bomb outside 56
by a car bomb planted 107
by a death more painful 106
by a dog were dropped 51
by a dry cell battery 82
by a far less skilful 49
by a far more complex 357
by a far more dreadful 41
by a far more general 71
by a far more intense 43
by a far more limited 44
by a far more radical 84
by a far more thorough 44
by a few aged persons 59
by a few bold spirits 63
by a few bold strokes 482
by a few bold touches 156
by a few case studies 75
by a few daring spirits 82
by a few days because 71
by a few deft strokes 302
by a few deft touches 307
by a few flat bottoms 45
by a few great artists 60
by a few great thinkers 51
by a few heavy showers 43
by a few kind friends 53
by a few leading members 61
by a few leading spirits 70
by a few more minutes 80
by a few more seconds 52
by a few other friends 136
by a few other members 151
by a few other persons 57
by a few other sources 43
by a few other species 42
by a few other studies 56
by a few other workers 43
by a few other writers 84
by a few rich farmers 53
by a few such salient 49
by a few tall candles 53
by a few very general 77
by a few young fellows 61
by a hot body depends 74
by a law even superior 329
by a long land carriage 41
by a long life devoted 46
by a long open gallery 67
by a long rope hitched 82
by a long scar extending 99
by a long slow process 66
by a man from chicago 62
by a man from outside 127
by a man like himself 96
by a man over seventy 63
by a man three hundred 43
by a man upon himself 121
by a new road perhaps 85
by a new york central 69
by a new york company 796
by a new york concern 66
by a new york decision 40
by a new york dentist 48
by a new york engineer 45
by a new york federal 206
by a new york gallery 119
by a new york printer 59
by a new york society 49
by a new york statute 188
by a new york supreme 82
by a new york tribune 82
by a not less lawless 91
by a not very unusual 49
by a one unit increase 65
by a red army officer 99
by a red army soldier 108
by a tax upon foreign 70
by a tax upon imports 43
by a team from columbia 40
by a team from harvard 66
by a too eager pursuit 70
by a two step process 375
by a web site visitor 48
by a zeal more sincere 47
by b for safe custody 51
