bacteria growing on a solid 64
balance sheet as a basis 67
balance sheet as a fixed 272
balance sheet as a whole 438
balance sheet at a given 45
balance sheet at a point 62
balance sheet at a value 148
balance sheet is a listing 182
balance sheet of a given 40
balance sheet of a group 46
balance sheet of a holding 165
balance sheet of a joint 62
balance sheet of a large 190
balance sheet of a nation 47
balance sheet of a small 133
balance sheet of a trading 54
balance wheel in a watch 375
balance wheel of a clock 86
balance wheel of a watch 1429
bandied about in a jovial 52
banquet ended in a fight 74
bashful light on a plain 68
bassoon close to a plant 91
bastard child by a negro 140
beauteous sarah is a maniac 109
because birds of a feather 69
because china is a large 74
because labor is a major 45
because people as a whole 110
because taken as a whole 82
because tending to a breach 70
because water is a polar 45
because women as a class 140
because women as a group 231
becomes aware of a breach 297
becomes aware of a broad 65
becomes aware of a change 246
becomes aware of a faint 49
becomes aware of a feeling 90
becomes aware of a group 44
becomes aware of a growing 59
becomes aware of a sense 106
becomes aware of a strong 43
becomes aware of a whole 70
becomes aware of a woman 44
becomes aware of a world 292
becomes fixed as a habit 49
becomes known as a fetus 144
becomes light as a feather 44
becomes lined by a layer 40
becomes which is a linear 53
bedtime story to a child 469
beginning stage of a group 60
behavior based on a sense 117
behavior taken as a whole 102
belonged still to a world 231
benefit comes at a price 55
benefit males as a class 145
benefit which at a later 50
benefit women as a group 110
between abuse as a child 41
between atoms in a metal 151
between atoms in a solid 534
between cells in a table 148
between firms in a given 75
between nodes in a graph 58
between parts of a cloud 61
between parts of a given 45
between parts of a whole 678
between passing in a trunk 55
between people in a given 166
between people in a group 179
between people in a social 90
between people of a given 60
between piles in a group 44
between shaving in a sinking 45
between which is a broad 45
between which is a large 116
between which is a layer 119
between which is a median 109
between which is a small 154
between which is a space 76
between women as a group 97
between women is a noble 41
betwixt which is a small 54
bicycle wheel on a stool 74
billiard balls on a table 562
birthday party at a local 58
birthday party or a wedding 80
bivalve larvae in a tidal 74
bizarre flash of a notion 51
bleached bones of a human 119
bleached bones of a story 123
bleached skull of a horse 62
bleached skull of a steer 68
blessed voice of a woman 53
blocked shots in a season 51
blurred image of a point 85
boarded floor to a white 51
borrowing money at a fixed 87
borrowing money at a lower 86
borrowing money on a large 59
borrowing power of a state 200
borrows money on a short 40
bounded below by a plane 96
briefly given in a later 44
bronzed hosts of a nation 66
brothers makes us a people 212
brought about at a later 140
brought about at a lower 41
brought about by a breach 174
brought about by a brief 150
brought about by a broad 44
brought about by a cause 806
brought about by a chain 388
brought about by a change 12328
brought about by a changing 276
brought about by a child 50
brought about by a clash 146
brought about by a class 192
brought about by a close 137
brought about by a court 47
brought about by a curse 47
brought about by a false 212
brought about by a feeling 299
brought about by a final 91
brought about by a first 53
brought about by a fixed 104
brought about by a flood 48
brought about by a force 282
brought about by a fresh 100
brought about by a fusion 161
brought about by a given 918
brought about by a group 816
brought about by a growing 568
brought about by a growth 263
brought about by a happy 258
brought about by a human 294
brought about by a joint 141
brought about by a large 1364
brought about by a later 134
brought about by a layer 101
brought about by a leader 86
brought about by a league 52
brought about by a legal 44
brought about by a lesion 151
brought about by a local 490
brought about by a lower 204
brought about by a major 420
brought about by a meeting 118
brought about by a method 183
brought about by a mixed 44
brought about by a moral 136
brought about by a party 216
brought about by a period 271
brought about by a piece 173
brought about by a power 421
brought about by a price 122
brought about by a quite 84
brought about by a rapid 870
brought about by a rather 188
brought about by a rigid 98
brought about by a sense 468
brought about by a sharp 406
brought about by a shift 1186
brought about by a shock 161
brought about by a short 326
brought about by a slowing 92
brought about by a small 1663
brought about by a social 331
brought about by a sound 52
brought about by a split 56
brought about by a state 344
brought about by a steady 199
brought about by a storm 41
brought about by a strong 846
brought about by a study 224
brought about by a surge 86
brought about by a tight 93
brought about by a total 313
brought about by a train 53
brought about by a treaty 192
brought about by a trick 156
brought about by a truly 119
brought about by a varying 40
brought about by a virus 42
brought about by a vision 40
brought about by a visit 120
brought about by a water 47
brought about by a whole 253
brought about by a witch 87
brought about by a woman 597
brought about by a world 198
brought about in a child 42
brought about in a given 93
brought about in a group 49
brought about in a hurry 52
brought about in a large 206
brought about in a period 63
brought about in a rather 91
brought about in a short 312
brought about in a small 68
brought about in a state 77
brought about on a basis 46
brought about on a large 65
brought about to a large 474
brought again to a focus 41
brought andre to a stand 67
brought caesar in a small 81
brought nearer to a level 43
brought nearer to a state 49
brought nearly to a close 208
brought nearly to a level 69
brought nearly to a stand 109
brought quite to a stand 297
brought round in a curve 44
brought thither by a cruel 41
brought water in a gourd 53
bubbles blown by a child 63
buoyant force of a fluid 40
butcher would do a sheep 44
