babble it into the ears 56
babies as fast as they 50
babies as much as they 60
babies as soon as they 350
babies as well as for 104
babies as young as one 208
babies as young as six 212
babies as young as two 164
babies to grow up and 66
babies to make up for 49
backed by five or six 41
backed by four of his 46
backed by gold or any 117
backed by many of his 43
backed by most of his 44
backed by some of his 67
backed by those of his 99
backed the tape up and 59
backup in case the new 45
badges of rank on his 98
balked at having to pay 45
ballot in case no one 46
ballot the name of any 164
banish it from the earth 344
banish the threat of war 41
banker on whom it was 84
banker to whom he had 86
banker to whom he has 50
banned on pain of death 87
banned the sale of all 260
banned the sale of any 89
banned the sale of his 40
banner as soon as they 74
banner in time of war 83
banner of joan of arc 291
barely an hour or two 69
barely an inch or two 163
barely as tall as she 61
barely be able to get 120
barely be able to hear 113
barely be able to pay 42
barely be able to see 288
barely be seen as they 41
barely be seen at all 115
barely in time to get 173
barely in time to hear 48
barely in time to see 489
barely the size of his 55
barely the width of his 45
barely the width of two 54
barely to view in our 79
barges of coal in tow 47
barons by whom he was 120
barons to take an oath 56
barons to whom he was 73
barred the city of new 81
barred the door of her 113
barred the door of his 99
barred the door on him 40
barred the door so that 99
barred the door to all 44
barred the door to any 65
barred the door to her 41
barred the door to him 48
barred the door to his 79
barred the road to any 43
barrel of beer on tap 43
barrel of beer or ale 268
barrel of corn to any 45
barrel to come up with 66
barren of poets at this 58
barter an hour or two 89
barter as well as for 101
bashed me over the head 82
bashed the back of his 40
basket as soon as they 58
basket as soon as you 72
basket he held in his 56
basket of bread on her 65
basket of bread on his 130
basket of eggs in her 128
basket of eggs in his 72
basket of eggs in one 61
basket of eggs on her 481
basket of eggs on his 123
basket of fish on her 129
basket of fish on his 111
basket of food in one 44
basket of food on her 95
basket of food to her 166
basket of sand on his 47
batter it down in ten 210
batter it down in two 398
battle as fast as they 62
battle as good as won 67
battle as soon as they 663
battle as well as any 85
battle as well as for 405
battle as well as her 99
battle as well as his 301
battle as well as its 65
battle as well as our 47
battle as well as that 86
battle as well as they 60
battle be when it may 66
battle he rose to his 97
battle he said to his 46
battle in time of war 263
battle in what is now 79
battle is lost or won 402
battle no blot on his 170
battle of ideas is not 44
battle of iraq is one 130
battle of life he was 43
battle of life is being 42
battle of life is not 183
battle of life is won 71
battle of life on his 179
battle of life or death 425
battle of trying to get 57
battle of wits to see 41
battle to bury the dead 166
battle to gain the end 78
battle to keep up with 346
battle to live or die 266
battle to save the old 41
battle to stay on top 103
battle we wage is not 201
battling to keep up with 58
beached the boat at our 91
beaches of what is now 42
became as clear as day 524
became as clear to him 74
became as cold as ice 239
became as dark as that 41
became as eager as her 44
became as fond of her 56
became as fond of him 87
became as fond of his 55
became as good as any 57
became as good as new 66
became as great as his 48
became as great as that 328
became as hard as his 43
became as heavy as lead 344
became as nothing to him 87
became as pale as death 1765
became as pale as his 42
became as poor as his 98
became as rich as any 43
became as soft as wax 45
became as soon as she 73
became as wild as one 42
became as wise as any 81
became at home in this 70
became at last an easy 55
became at length so easy 374
became at length the lot 58
became at once an easy 41
became at once at his 46
became at once the head 63
became at once the law 47
became at once the man 42
became in fact if not 82
became in fact the head 58
became in many of its 43
became in time the head 54
became king upon the death 103
became king when he was 387
became my duty to act 51
became my duty to lay 100
became my duty to put 63
became my duty to see 42
became my turn to read 50
became of most of them 47
became so angry at her 81
became so angry at his 147
became so angry at this 131
became so bold in his 44
became so clear to all 48
became so clear to her 63
became so clear to him 93
became so eager to see 49
became so fond of her 309
became so fond of him 607
became so fond of his 266
became so fond of that 91
became so fond of them 115
became so fond of this 208
became so good at this 96
became so great at one 65
became so great at this 48
became so great in this 60
became so great it was 64
became so hard to get 42
became so lost in his 64
became so loud in his 80
became so thick it was 51
became so tied up with 41
became so used to being 75
became so used to her 59
became so used to him 52
became so used to his 119
became so used to that 101
became so used to them 77
became so used to this 195
became so weary of his 75
became so when it was 41
became the ally of her 42
became the ally of his 50
became the angel of death 41
became the bane of her 41
became the bane of his 197
became the bane of our 46
became the base of all 64
became the base of his 160
became the base of our 40
became the best of all 140
became the butt of all 294
became the butt of her 47
became the butt of his 318
became the city of his 71
became the city of new 187
became the city of san 99
became the core of all 70
became the core of her 148
became the core of his 747
became the core of its 79
became the core of one 96
became the core of our 143
became the core of this 135
became the crux of his 56
became the dread of all 104
became the dream of his 139
became the dupe of her 47
