baby will probably begin to 47
back from washington where he 68
back here tomorrow morning at 104
back into operation after the 60
back into original chaos if 59
back upon internal marks of 54
bank note currency ought to 41
bank some distance above the 95
bank some distance below the 130
bars bent suddenly under my 89
bars show standard error of 145
base their decisions about the 224
bearing many internal marks of 77
bearing such colorful names as 52
been acting strangely since the 91
been asking questions about me 264
been asking questions about my 53
been asking questions about the 550
been asking questions about us 41
been duly acquired under the 68
been duly licensed under the 68
been duly summoned fails to 66
been even remotely aware of 41
been great disputes about the 76
been great progress since the 52
been hard strained since we 60
been held annually since the 93
been held otherwise where the 62
been kept fourteen months in 43
been kept informed about the 298
been kept strictly within the 73
been left entirely alone in 55
been left severely alone by 104
been left unchanged since the 48
been less attention given to 114
been less explicit about the 48
been less frequent since the 95
been made directly after the 69
been made forcibly aware of 62
been made integral parts of 45
been made possible since the 60
been made possible thanks to 1145
been made possible under the 120
been made possible within the 41
been made recently about the 89
been made recently after the 59
been made somewhat easier by 155
been made specific either by 152
been making frequent trips to 148
been making progress since the 63
been many accounts given of 41
been many disputes about the 98
been many occasions since the 47
been many questions about the 66
been many recorded cases of 52
been many reported cases of 177
been more attention given to 142
been more commonly found in 56
been more commonly known as 198
been more cordially hated in 51
been more definite about the 40
been more directly aimed at 51
been more directly under the 47
been more emphatic about the 63
been more explicit about it 46
been more explicit about the 388
been more forthcoming about the 85
been more frequent since the 117
been more interest shown in 46
been more positive about the 87
been more realistic about the 93
been more recently given by 53
been more recently shown by 68
been more recently taken up 58
been more severely tried on 45
been more specific about the 270
been more usefully spent in 54
been most afflicting bores to 40
been most commonly found in 217
been most explicit about the 59
been most severely tried by 40
been moving westward since the 42
been much argument about the 514
been much attention given to 335
been much confusion about the 560
been much elevated above the 44
been much enlarged since the 100
been much exception taken to 44
been much extended since the 45
been much improved since it 52
been much improved since the 554
been much improved under the 74
been much improved within the 225
been much increased since the 227
been much increased within the 48
been much interest shown in 75
been much mistaken about the 48
been much modified since the 68
been much progress since the 64
been much troubled about it 56
been much troubled about the 43
been nothing surprising about it 58
been only eighteen months in 45
been only isolated cases of 46
been only partially aware of 65
been only slightly above the 61
been only slightly below the 41
been reading articles about the 54
been said directly about the 67
been said publicly about the 50
been said recently about the 405
been sent northward under the 73
been some argument about the 204
been some attention given to 182
been some concerns about the 108
been some confusion about the 1413
been some disputes about the 45
been some interest shown in 49
been some isolated cases of 75
been some misgivings about the 45
been some progress since the 97
been some questions about the 96
been some reported cases of 105
been taking positive steps to 42
been their business either to 97
been three distinct types of 68
been three reported cases of 67
been told numerous times by 43
been used numerous times in 89
been used numerous times to 41
been very critical about the 84
been very definite about the 45
been very discreet about it 45
been very doubtful about the 120
been very explicit about the 178
been very forthcoming about the 41
been very frequent since the 61
been very negative about the 43
been very numerous since the 65
been very positive about the 136
been very reticent about the 51
been very specific about the 308
been well disposed while at 58
been well informed about the 741
been well received within the 105
been your deadliest enemy in 62
begs many questions about the 226
bend their stubborn pride to 48
bend your sharpest deeds of 41
best care possible under the 50
bile duct epithelial cells in 178
blew made mournful music the 80
blue eyes remained fixed on 151
boat from positions taken on 42
body bore uncommon marks of 55
body from absolute place to 164
bold type indicate where the 203
book isbn contents notes on 131
book lest innocent blood be 66
book will probably never be 66
born into families where the 173
break down barriers within the 73
bringing good pictures within the 75
brings into constant action the 48
brings into distinct shape the 61
