bar and a temperature of 697
bath has a temperature of 96
bath with a temperature of 198
bed with a temperature of 829
beg for a continuance of 62
being but a consequence of 136
being but a continuation of 322
being but a modification of 187
being with a personality of 61
both are a consequence of 114
box for a performance of 70
boy won a scholarship to 42
but are a consequence of 522
but are a continuation of 106
but are a development of 41
but for a concurrence of 62
but for a continuance of 91
but for a continuation of 79
but for a conversation we 50
but has a relationship to 53
but has a sensitivity of 64
but has a temperature of 58
but not a commonplace in 46
but not a consequence of 114
but not a constituent of 40
but not a continuation of 74
but not a determinant of 81
but not a modification of 67
but not a participant in 220
but not a philosopher or 234
but not a replacement of 61
but not a requirement of 55
but not a subscription to 1519
but not a sufficiency of 53
but that a continuation of 57
but that a modification of 41
but that a temperature of 64
but then i recollected my 151
but was a consequence of 500
but was a continuation of 155
but was a contribution to 47
but was a development of 64
but was a presbyterian or 80
but was a shareholder in 56
but with a complication of 44
but with a continuance of 104
but with a continuation of 115
but with a countenance of 61
but with a countenance so 151
but with a development of 52
but with a distribution of 165
but with a modification in 43
but with a modification of 189
but with a possibility of 413
but with a probability of 315
but with a sensitivity of 40
but with a sensitivity to 173
but with a sufficiency of 61
but with a temperature of 142
but won a scholarship to 44
