backed up against the mountains 69
badges of slavery or servitude 235
baffle the attacks of distemper 44
baffling the flights of intellect 50
banned on grounds of obscenity 47
banner of jackson or cleveland 43
barley is allowed to germinate 70
barred by statute of limitation 151
basins or perhaps on different 60
basket or pannier is suspended 115
battle of belmont on yesterday 54
became an admirer of mussolini 50
became an adviser to president 137
became an article of extensive 50
became an article of political 77
became an occasion to celebrate 46
became an officer of artillery 95
became as familiar as household 71
became by degrees an unpleasant 70
became the arsenal of democracy 326
became the capital of california 89
became the capital of communist 43
became the capital of palestine 69
became the centers of industrial 45
became the centers of political 106
became the champion of democracy 109
became the college of physicians 47
became the congress of industrial 1020
became the council of ministers 102
became the dignity of humankind 44
became the language of diplomacy 242
became the language of political 46
became the objects of admiration 50
became the objects of criticism 56
became the objects of excessive 84
became the objects of universal 83
became the subject of complaint 166
became the subject of conflicting 122
became the subject of contention 165
became the subject of continual 52
became the subject of continued 42
became the subject of countless 264
became the subject of criticism 468
became the subject of discourse 522
became the subject of discussion 2610
became the subject of editorials 69
became the subject of elaborate 96
became the subject of extensive 665
became the subject of increasingly 110
became the subject of inquiries 41
became the subject of intensive 574
became the subject of litigation 683
became the subject of nationwide 42
became the subject of negotiation 198
became the subject of newspaper 228
became the subject of passionate 88
became the subject of political 404
became the subject of proceedings 57
became the subject of reflection 47
became the subject of regulation 53
became the subject of satirical 67
became the subject of scholarly 115
became the subject of sustained 152
became the subject of theological 56
became the subject of theoretical 40
became the subject of universal 267
became the subject of whispered 70
became the subject of widespread 650
became the subject of worldwide 43
became the targets of criticism 82
became the teachers in arithmetic 45
became the vehicle of expression 91
became the victims of political 54
become an article of commercial 54
become an article of extensive 144
become an article of necessity 49
become an article of political 48
become an article of universal 41
become an economy of suspended 153
become an element of political 54
become an insurer or guarantor 52
become as familiar as household 481
become as familiar to americans 49
become as perfect in voluntary 46
become so complex or difficult 51
become so familiar to americans 76
become so reduced by starvation 43
become the arsenal of democracy 364
become the centers of political 73
become the concern of posterity 169
become the congress of industrial 125
become the language of diplomacy 69
become the language of political 42
become the objects of admiration 51
become the objects of adventure 79
become the objects of commercial 175
become the objects of criticism 72
become the objects of knowledge 132
become the objects of perception 41
become the objects of political 70
become the objects of reflection 75
become the objects of universal 79
become the objects of veneration 48
become the parents of criminals 53
become the richest of countries 40
become the subject of additional 44
become the subject of complaint 138
become the subject of conflicting 118
become the subject of contention 100
become the subject of countless 93
become the subject of criticism 451
become the subject of discourse 113
become the subject of discussion 1532
become the subject of elaborate 61
become the subject of empirical 58
become the subject of extensive 514
become the subject of important 43
become the subject of incessant 45
become the subject of increasingly 115
become the subject of intensive 581
become the subject of interesting 42
become the subject of knowledge 74
become the subject of libidinal 57
become the subject of litigation 897
become the subject of negotiation 361
become the subject of newspaper 111
become the subject of ownership 78
become the subject of passionate 46
become the subject of perpetual 43
become the subject of political 792
become the subject of proceedings 57
become the subject of reflection 90
become the subject of regulation 69
become the subject of scholarly 268
become the subject of sustained 107
become the subject of theological 43
become the subject of theoretical 61
become the subject of universal 111
become the subject of widespread 359
become the support of vegetable 63
become the targets of criticism 70
become the targets of hostility 54
become the targets of political 44
become the vehicle of expression 57
become the vehicle of knowledge 76
become the vehicle of political 46
become the victims of aggression 231
become the victims of injustice 52
become the victims of oppression 46
become the victims of political 65
becoming the arsenal of democracy 43
becoming the language of parliament 40
becoming the subject of discussion 72
becoming the subject of political 58
becoming the subject of unnatural 55
before an abortion is performed 221
before an article is published 89
before an autopsy is performed 69
before by comparing the estimated 49
before he arrived at jerusalem 78
before he arrived at portsmouth 50
before he assumed the leadership 77
before he crossed the mountains 55
before he entered the apartment 56
before he entered the classroom 67
before he entered the courtroom 82
before he entered the dominican 44
before he entered the monastery 312
before he entered the political 159
before he entered the priesthood 239
before he entered the profession 55
before he mounted on horseback 50
before he resumed the offensive 40
before he yielded to temptation 43
before it arrives at perfection 75
before it assumes the character 40
before it becomes an actuality 45
before it becomes an effective 61
before it becomes an emergency 334
before it becomes an incurable 43
before it touches an infielder 44
before king charles at whitehall 49
before me exactly as perceived 51
before my election to parliament 57
before the abortion is performed 395
before the academy of political 1300
before the accused is arraigned 98
before the accused is committed 41
before the addition is performed 199
before the addition of potassium 82
before the addition of substrate 284
before the adoption is finalized 216
before the adoption of regulation 68
before the adoption of resolution 117
before the advance of civilized 48
before the advance of knowledge 176
before the advance of population 75
before the anxiety of influence 64
before the arrival of additional 117
before the arrival of alexander 245
before the arrival of americans 53
before the arrival of augustine 431
before the arrival of bonaparte 70
before the arrival of colonists 75
before the arrival of commodore 215
before the arrival of computers 72
before the arrival of emergency 45
before the arrival of garibaldi 70
before the arrival of leicester 56
before the arrival of longstreet 137
before the arrival of outsiders 49
before the arrival of president 260
before the arrival of television 209
before the article is published 89
before the attacks of september 357
before the attacks on september 43
before the attempt to establish 48
before the baptism of cornelius 44
before the bargain is concluded 80
before the beginning of christmas 50
before the beginning of emptiness 44
before the beginning of menstrual 49
before the beginning of michaelmas 86
before the beginning of operations 185
before the beginning of pregnancy 98
before the beginning of production 51
before the beginning of rehearsals 145
before the beginning of september 695
before the capture of jerusalem 608
before the capture of vicksburg 53
before the circuit is completed 195
before the college of cardinals 383
before the college of physicians 1770
before the company is dissolved 238
before the congress of industrial 43
before the coroner he explained 47
before the council at alexandria 57
before the council at annapolis 210
before the council at constance 70
