babes were torn from them 65
badly want some good man 42
balls were flying thick and 46
balls were shot into one 55
bands have been used for 87
bands were making their way 77
banks also have their own 54
banks from owning more than 73
banks have been used for 59
banks were very high and 57
barge will break from her 109
barring only those beings who 44
based upon good faith and 74
based upon hard work and 62
based upon much more than 74
based upon nothing else than 85
based upon nothing less than 40
based upon nothing more than 808
based upon nothing other than 62
based upon some clear and 78
based upon their need for 51
based upon their size and 81
based upon their view that 97
based upon their wealth and 68
based upon their work with 46
based upon these data are 47
based upon wide reading and 58
bases have been laid for 57
bases have been used for 292
basis sets were used for 55
bearings have been used for 46
beaten back into their own 161
beaten into mere gold leaf 53
beauty fast fading from its 82
beauty sunk into vice and 82
bedding were sent over for 76
began coming into their own 42
began moving away from her 63
began moving away from him 69
began moving away from his 41
began moving away from its 97
began moving into their new 40
began only five years ago 50
began over five years ago 120
began over four years ago 41
began over three years ago 67
began paul sank into one 149
began some five years ago 155
began some four years ago 43
began some three years ago 122
began there have been two 137
began there were more than 60
began there were only two 62
began waving their arms and 65
began wearing blue jeans with 58
begin dining from high day 42
begin their work upon him 67
begun bend bent bent bet 226
begun bend bent bent bid 40
begun over three years ago 41
begun some five years ago 44
begun their work when they 47
begun upon those poor and 64
below have been used for 150
below were seen leaping out 54
below will also help you 52
below will give some idea 232
bending knee will call thee 59
bending your left knee and 63
beneath their feet gave way 40
beneath their feet their own 55
beneath their feet when they 68
beneath their feet will not 62
beneath your feet when you 48
biased even some good men 55
bills have been paid and 212
bills were paid there was 43
bills were paid when they 46
binding even upon those who 57
binding only upon those who 582
binding upon those only who 48
birds feed their young with 60
birds flying over your head 51
birds from flying over our 144
birds have been bred for 41
birds have been kept for 43
birds have been seen and 51
birds have been used for 40
birds have only three toes 43
birds once more flying and 115
birds were flying back and 40
birds were once more hung 52
birds were very tame and 65
bitch away from dogs that 41
black band upon their arm 48
black bread made from rye 87
black eyes boring into her 121
black eyes boring into him 48
black eyes flew from one 47
black eyes full upon him 68
black eyes were clear and 56
black eyes were cold and 55
black eyes were deep and 44
black eyes were hard and 48
black eyes were wide and 71
black eyes were wide with 50
black eyes wont make one 60
black girl flat upon her 47
black hair away from her 897
black hair away from his 399
black hair back from her 526
black hair back from his 522
black hair back over her 156
black hair down over her 56
black hair down over his 46
black hair fell down her 180
black hair fell into his 83
black hair fell onto his 44
black hair fell over her 500
black hair fell over his 779
black hair fell over one 71
black hair fell upon her 58
black hair hanging down her 618
black hair hanging down his 106
black hair hanging over her 195
black hair hanging over his 316
black hair hangs over his 69
black hair held back with 55
black hair tied back with 222
black lace veil over her 102
black line runs from each 92
black veil down over her 46
blame fell upon those who 44
blame must fall upon you 66
blame must rest upon that 158
blame will fall upon you 51
blank eyes seeing nothing but 70
blank look came into his 59
blank look came over his 97
bless your soul when you 68
blond hair away from her 869
blond hair away from his 246
blond hair back from her 640
blond hair back from his 362
blond hair back over her 184
blond hair fell into his 67
blond hair fell over her 189
blond hair fell over his 352
blond hair fell over one 47
blond hair fell past her 43
blond hair hanging down her 125
blond hair hanging over her 49
blond hair hanging over his 134
blond hair held back with 55
blond hair tied back with 114
blood came back into her 55
blood came back into his 76
blood fast ebbing from his 83
blood flow back into her 42
blood flow during rest and 247
blood from their arms and 92
blood have been shed for 88
blood have been used for 117
blood runs more pure than 50
blood rush back into her 40
blood test will tell you 67
blood warm oozing from her 74
blown back flat over his 47
blown back upon their own 51
blown back upon those who 53
blown down many years ago 127
blown down some years ago 59
blown from rome upon them 84
board must make sure that 75
boast were their bows and 84
boats dare sail upon her 139
boats have been used for 51
boats were also used for 59
boats were made ready and 41
boats were made ready for 73
boats were making their way 132
boats were plying back and 44
boats were seen making for 49
boats were sent back for 215
bonds have been paid off 225
bonds have been sold and 98
bonds have been used for 55
bonds were worth less than 62
bones have been flung out 41
bones have been more than 41
bones were also used for 51
bones were here when they 90
books have been kept for 43
books have been lost and 97
books have been made for 42
books have been made with 67
books have been sent out 49
books have been sold and 95
books have been used for 113
books have come from his 62
books have done more than 123
books have made their way 48
books have sold more than 972
books have sold over one 65
books have sold over two 87
books sent post paid and 45
books were kept open for 55
books were nothing more than 47
books were very rare and 99
books will come when you 46
books will ever teach him 41
books will find their way 56
books will hurt will not 146
books will make their own 45
books worth reading once are 44
boost from your shoes can 91
boots were soon worn out 44
borne upon nothing less than 55
bosom beats once more for 48
bound back upon those who 126
bound into book form and 41
bound over their heads and 94
bowed down their heads and 253
bowed down their heads with 74
bowed their heads when they 137
boxes have been used for 80
brain come among these men 46
brain went into high gear 57
brand came into view and 46
brass tube four feet long 44
brave buff coat upon his 42
breaking away from home and 108
breaking away from their old 137
breaking away from their own 89
breaking away from those who 51
breaking away from what had 55
breaking away from what they 49
breaking away from what was 53
breaking forth into loud and 53
breaking into your home and 42
breaks down over time and 49
breaks down when dealing with 57
breaks down when there are 462
breaks into your home and 174
breathe life back into her 158
breathe life back into him 146
breathe life back into his 113
breathe life back into them 74
breathe life back into this 57
breathe some life into his 41
breathe some life into them 62
breathe some life into this 102
breathing down from over her 46
breathing down your neck all 165
breathing down your neck and 444
breathing down your neck for 173
breathing life back into her 84
breathing life back into him 107
breed true from seed and 44
broad grin came over his 48
broke away from home and 88
broke away from rome and 87
broke away from their old 115
broke away from their own 101
broke away from those who 103
broke away from what was 70
broke down into sobs and 54
broke down into tears and 206
broke down once more and 47
broke down when there was 51
broke forth into sobs and 178
broke forth into tears and 81
broke forth over camp and 42
broke from their hold and 41
broke into fire here and 47
broke into loud sobs and 213
broke into open view with 164
broke into tears when her 42
broke into tears when she 210
broke into tears when they 94
broke into their home and 122
broke into your home and 120
broke into your ways and 63
broke once more into his 70
broke over their boat and 103
broke over their heads and 64
broke their fast upon him 54
brood over what other men 48
brown eyes boring into her 45
brown eyes full upon him 66
brown eyes grew wide with 61
brown eyes were clear and 230
brown eyes were dark and 72
brown eyes were dark with 137
brown eyes were deep and 69
brown eyes were deep set 49
brown eyes were dull and 41
brown eyes were hard and 69
brown eyes were huge and 67
brown eyes were keen and 60
brown eyes were kind and 58
brown eyes were open and 79
brown eyes were ringed with 50
brown eyes were soft and 184
brown eyes were soft with 96
brown eyes were warm and 256
brown eyes were warm with 68
brown eyes were wide and 338
brown eyes were wide with 439
brown eyes wide open and 79
brown grin like what you 45
brown hair away from her 654
brown hair away from his 218
brown hair back from her 566
brown hair back from his 311
brown hair back over her 88
brown hair fell into his 82
brown hair fell over her 200
brown hair fell over his 335
brown hair fell over one 46
brown hair hanging down her 192
brown hair hanging over her 54
brown hair hanging over his 94
brown hair tied back with 146
brows came down over his 71
brows drew down over his 54
brows were bent over his 51
brows were knit like one 64
brush your teeth when you 152
built only five years ago 52
built only four years ago 93
built only three years ago 97
built over many years and 86
built their huts along its 42
built their nest upon this 92
bulls have been used for 51
burning till noon next day 46
burnt down many years ago 148
burnt down some time ago 109
burnt down some years ago 379
burnt down three years ago 44
burst forth into life and 67
burst forth into loud and 66
burst forth into sobs and 92
burst forth into tears and 137
burst from their eyes and 52
burst into angry tears and 93
burst into loud sobs and 305
burst into tears more than 52
burst into tears over her 105
burst into tears over his 62
burst into tears saying that 50
burst into tears there and 42
burst into tears upon his 59
burst into tears when her 467
burst into tears when his 383
burst into tears when she 4192
burst into tears when they 1412
burst into tears when you 102
burst into their room and 60
burst into your room and 55
burst once more into song 66
burst over their heads and 101
burst over their heads with 165
busts ever seen upon this 43
buyer must also show that 41
buyer must make sure that 50
