backing up your hard disk 547
backs of some were seen 54
backs of their heads were 221
backs of those least able 65
bacon or salt pork over 44
baked an angel food cake 63
balls in your left hand 55
balls of fire were seen 90
balls of your feet when 56
balls of your feet will 45
bands of very fair hair 70
bands on their left arms 140
banks in india have been 178
banks of sand have been 53
banks of some other lake 58
banks to have been free 53
banks to make good their 43
banks to move away from 48
banks to roll over their 121
barking of dogs came from 48
baron to levy aids from 46
based as much upon their 50
based in good part upon 90
based in great part upon 251
based in part upon data 91
based in part upon some 82
based in part upon such 151
based in part upon their 569
based in part upon these 89
based in part upon those 51
based in part upon what 323
based in part upon work 238
based in salt lake city 1259
based in west palm beach 106
based on cost data from 65
based on data coming from 106
based on data from five 143
based on data from four 240
based on data from just 75
based on data from many 298
based on data from more 694
based on data from nine 74
based on data from north 44
based on data from only 1288
based on data from other 968
based on data from over 193
based on data from past 99
based on data from refs 57
based on data from single 157
based on data from some 105
based on data from such 113
based on data from their 121
based on data from these 272
based on data from those 72
based on data from three 499
based on data from very 85
based on data only from 48
based on data sets from 95
based on free cash flow 49
based on holy writ were 98
based on much less data 45
based on much more data 61
based on other data sets 93
based on race have been 53
based on some other kind 69
based on such data have 62
based on such data must 68
based on such data will 88
based on test data from 149
based on their birth date 40
based on their body size 85
based on their cell wall 53
based on their free will 97
based on their having been 181
based on their many years 166
based on there having been 46
based on these data have 138
based on these data must 93
based on these data sets 114
based on these data were 130
based on these data will 146
based on these have been 48
based on these ideas have 134
based on these ideas were 67
based on these same data 85
based on these three great 45
based on these three sets 47
based on three data sets 90
based on three main areas 70
based on three main ideas 139
based on very wide reading 52
based on what have been 120
based on what must have 80
based on what will best 124
based on what will make 44
based on what will work 52
based on wide reading will 74
based on work done during 87
based on work done over 96
based on your birth date 57
based on your body type 76
based on your heart rate 43
based on your skin type 71
bases of peace laid down 46
basin of great salt lake 227
basis as those from other 60
basis in their free time 41
basis of data from four 42
basis of data from many 74
basis of data from more 42
basis of data from only 139
basis of data from other 162
basis of data from these 101
basis of data from three 154
basis of data like these 42
basis of such last reading 99
basis of their cell wall 42
basis of their free will 48
basis of their having been 295
basis of their host range 83
