bad advantage 49 bad sufferers 66
bear necessary 59 bear character 125
bear excellent 41 bear gallantry 187
bear innocence 109 bear wonderful 93
bear existence 66 bear statement 164
being ministers 46 being ordinance 75
being successor 58 being sovereign 156
being affliction 45 being artillery 44
being disciples 53 being successor 59
being production 61 being arguments 65
being innocence 131 being sincerity 56
being deceitful 741 being spiritual 49
being necessary 49 being paragraph 49
being directions 166 being advantage 49
being enjoyment 81 being possession 77
being divisible 42 being possessed 61
being hypothesis 40 being different 40
being attribute 53 being countries 41
being appearance 56 being amusement 83
being corrupted 84 being offenders 53
being neighbors 42 being generation 67
being barbarous 46 being existence 94
being operations 42 being diligence 40
being integrity 40 being francisco 40
being literally 57 being directions 52
being civilized 48 being innocence 62
being directions 469 being dependent 47
being affidavit 134 being directions 53
being annoyance 64 being occupants 72
being concerned 55 being directions 77
big technique 98 both testimony 45
both different 63 both directions 50
bring possessor 62 bring accordingly 125
but successor 44 but principle 49
but represent 40 but exemplary 88
but assurance 183 but successor 40
but different 128 but important 43
but testament 155 but knowledge 151
but senseless 58 but cherishes 69
but statement 41 but resolution 48
but advisable 69 but departure 52
but sovereign 110 but exquisite 42
but directions 46 but difficult 272
but necessary 239 but testament 153
