bad counsel given to these 47
bad painter gives the cheap 55
bad spirits quite as well 93
bear certain facts in mind 80
bear evident marks of fire 105
bear evident marks of great 100
bear evident marks of having 1162
bear evident marks of their 388
bear evident signs of having 40
bear several facts in mind 83
being acutely aware of their 89
being acutely aware of what 68
being brought about by means 181
being brought about by other 133
being brought about by some 179
being brought about by such 42
being brought about by their 318
being brought about by those 42
being brought about in many 47
being brought about in time 42
being brought under the plow 94
being brought under the rule 97
being brought under the same 176
being brought under the sway 125
being brought under the yoke 127
being brought within the pale 305
being brought within the range 220
being brought within the reach 244
being brought within the same 50
being carried about the other 48
being carried within the city 60
being charged while the other 57
being chiefly built of wood 97
being chucked under the chin 83
being crushed under the feet 139
being crushed under the heavy 62
being crushed under the heel 129
being crushed under the iron 131
being crushed under the load 53
being crushed under the ruin 90
being crushed under the throng 67
being current within the realm 63
being enacted under the eyes 102
being exactly alike in face 93
being exactly aware of what 44
being exactly under the other 41
being exceeding witty as ever 101
being exposed again to such 45
being fifteen miles in length 75
being gathered about the fall 41
being gathered under the name 64
being grouped under the heading 116
being hatched within the body 78
being heartily tired of fine 51
being legally bound as such 72
being legally bound to give 165
being letters under the hand 52
being located within the city 45
being located within the same 44
being luckily found at home 60
being measured under the same 96
being morally right or wrong 97
being obliged either to live 47
being offered under the name 44
being ordered about by mice 193
being prudent about the good 44
being rebuilt after the fire 111
being rebuilt after the great 145
being renewed under the same 254
being repeated about the town 63
being repeated until no more 70
being rotated about an axis 194
being several miles in length 52
being several times as great 57
being several times the size 52
being sixteen times as heavy 40
being slipped under the door 149
being tickled under the chin 53
being titular ruler of some 43
being together under the same 40
being together while we wait 59
being totally aware of what 56
being traitor alike to their 72
being trodden under the feet 105
being trusted again in case 199
being twisted round the neck 69
being twitted about my hair 62
being whetted makes us cast 57
being wrapped round the body 64
being written about the same 90
bias against women as such 110
bias towards either of these 171
big profits could be made 65
both adverse parts do give 130
both contain about the same 76
both laughed until the tears 61
both letters nearly the same 48
both located within the same 40
both operate under the same 65
both operate within the same 94
both parents appear to have 40
both parents carry the gene 230
both parents carry the same 168
both parents guard the eggs 54
both parents guard the nest 49
both parents share the same 66
both parties acted in good 96
both parties agree on what 153
both parties agree to give 59
both parties agree to have 122
both parties agree to such 90
both parties agree to take 46
both parties agree to work 59
both parties appear to have 460
both parties began to look 43
both parties began to make 49
both parties began to think 80
both parties claim the sole 92
both parties claim to have 53
both parties could be heard 56
both parties count up their 55
both parties enjoy the same 59
both parties hoped to gain 85
both parties might be able 57
both parties might be heard 62
both parties might go home 133
both parties ought to have 75
both parties ought to wait 103
both parties seems to have 49
both parties share the same 278
both parties stand to gain 181
both parties stand to lose 64
both parties stood to gain 64
both parties stuck to their 49
both parties tried to make 40
both parties within the next 41
both parties would be able 92
both parties would be free 49
both parties would be more 95
both require about the same 62
both species appear to have 54
both started speaking at once 44
both started talking at once 414
both studied under the same 48
both systems share the same 49
both written about the same 93
boy guessed right the very 56
boy himself happy to work 90
bring everything within the range 49
bring himself under the same 44
bring himself within the range 42
bring himself within the reach 56
bring himself within the rule 103
bring himself within the same 76
bring justice within the reach 184
bring together people of like 50
bring together people the most 60
bring together under the name 56
bring together under the same 102
bring together under the term 69
bus stopped short of town 43
but advised rather to draw 55
but affording ample sea room 49
but against others as well 59
but although since the date 56
but balcony makes me sick 60
but blessings shall be upon 70
but certain cells or seats 46
but charles hoped to reach 50
but charles seems to have 64
but chiefly dwelt on what 77
but chowder seems to like 52
but claimed never to have 85
but daggers could be used 71
but desired first to show 47
but donkeys beneath the arch 87
but donovan began to speak 45
but douglas ought to hold 40
but efforts would be made 69
but everything seems to have 238
but everything seems to show 57
but everything tends to show 95
but faithful hearts in such 41
but fertile strip of land 67
but finally comes to rest 50
but highest honor to risk 43
but history seems to show 59
but history tells us nothing 45
but inclining rather to take 46
but including others as well 89
but intense period of time 47
but jackson vetoed the bill 91
but jehovah shall be unto 125
but johnson seems to have 70
but justice would be done 59
but legally under the care 45
but limited period of time 134
but natural appeal of hist 60
but naughty smile of mirth 197
but nowhere could he find 880
but nowhere could the young 78
but nowhere could we find 145
but occupying about the same 50
but ordered beauty of form 60
but payment shall be made 54
but perhaps never so much 40
but perhaps quite as good 68
but perhaps quite as many 45
but perhaps quite as much 85
but perhaps would be more 140
but princes hated by their 67
but quickly spread to other 111
but rapidly reaching the best 64
but rapidly spread to other 59
but reappears under the same 54
but remains about the same 94
but remains within the same 65
but reserve still to give 47
but returning again to their 43
but seemingly close at hand 44
but several others as well 449
but several times he said 46
but several times we heard 43
but several times we were 47
but shortly after he came 56
but shortly after he gave 72
but shortly after he left 82
but shortly after the birth 77
but shortly after the turn 98
but sincere piety of heart 54
but sixteen times as much 42
but slender hopes in those 56
but solution growth at high 58
but stopped short of asking 75
but stopped short of full 73
but stopped short of giving 79
but stopped short of making 153
but stopped short of naming 42
but stopped short of saying 191
but stopped short of taking 110
but stopped short on seeing 51
but strongly argue the great 42
but towards evening it grew 41
but towards evening the snow 95
but towards evening the wind 234
but towards jones he bore 74
but towards morning the wind 57
but towards which we must 115
but trouble since he came 53
but usually ended by taking 62
but usually takes the form 135
but usually within the range 91
but usually within the same 45
but written about the same 40
buy fifteen acres of land 46
