babe is fed with milk 157
baby as she had been 46
baby he and his wife 55
baby he did not know 41
baby he did not want 89
baby in her own arms 73
baby in her own home 108
baby in two and give 54
baby is doing and tell 44
baby is due any time 40
baby is not doing well 138
baby is not yet able 87
baby is not yet born 73
baby is not yet ready 72
baby so that she will 57
baby to his own poor 82
baby to try its tiny 67
back as she had been 197
back as she had come 112
back as she had done 267
back as she had left 99
back as she had seen 43
back as she sat down 129
back as she was leaving 215
back as they had been 912
back as they had come 934
back as they had done 203
back as they had gone 55
back as they had left 46
back as they ran away 92
back as you can reach 192
back at any one time 107
back at her and felt 66
back at her and gave 124
back at her and held 57
back at her and made 64
back at her and said 1091
back at her and says 46
back at her and told 75
back at her and took 63
back at her and went 71
back at her for leaving 43
back at her for what 97
back at her old home 159
back at her one last 77
back at her one more 41
back at her own desk 64
back at her own home 61
back at her own life 56
back at her own will 56
back at her with eyes 200
back at her with great 42
back at her with more 43
back at her with some 62
back at her with such 194
back at her with their 47
back at her with those 107
back at her with what 205
back at her with wide 154
back at him and felt 118
back at him and gave 178
back at him and held 57
back at him and kept 61
back at him and left 94
back at him and made 88
back at him and make 46
back at him and said 3480
back at him and says 150
back at him and their 67
back at him and there 40
back at him and told 151
back at him and took 85
back at him and went 86
back at him but said 77
back at him for having 71
back at him for making 44
back at him for some 123
back at him for what 157
back at him one last 62
back at him one more 57
back at him with cold 71
back at him with dark 69
back at him with eyes 374
back at him with great 61
back at him with open 54
back at him with some 160
back at him with such 198
back at him with tears 63
back at him with their 102
back at him with those 153
back at him with what 197
back at him with wide 287
back at his old desk 68
back at his old game 233
back at his old home 115
back at his old post 267
back at his old work 49
back at his own desk 151
back at his own home 174
back at his own life 160
back at his own past 126
back at his own work 62
back at his own youth 44
back at one leap over 70
back at them and said 183
back at them and tell 45
back at them for their 74
back at them for what 187
back at them with eyes 65
back at them with such 41
back at you for what 209
back at you with your 109
back he did not even 101
back he did not feel 123
back he did not have 195
back he did not know 378
back he did not look 128
back he did not want 128
back he was not there 151
back if she had been 117
back if that was what 42
back if they had been 101
back if you can help 53
back in all that time 103
back in and get some 59
back in and lay down 118
back in and sat down 1367
back in and see what 157
back in and sit down 295
back in and they were 49
back in any way from 53
back in bed and pull 43
back in bed and went 115
back in bed for three 114
back in her head like 60
back in her new york 51
back in her old home 337
back in her old life 151
back in her old room 179
back in her own body 101
back in her own coin 1627
back in her own flat 112
back in her own home 1157
back in her own land 110
back in her own life 64
back in her own mind 45
back in her own room 1598
back in her own time 430
back in her seat when 73
back in his car when 52
back in his head like 118
back in his head when 51
back in his new york 297
back in his old cell 88
back in his old form 149
back in his old home 604
back in his old life 95
back in his old post 88
back in his old role 195
back in his old room 178
back in his own boat 55
back in his own body 321
back in his own camp 46
back in his own canoe 43
back in his own city 148
back in his own coin 7325
back in his own face 157
back in his own good 112
back in his own hand 192
back in his own home 850
back in his own land 170
back in his own life 93
back in his own mind 194
back in his own name 43
back in his own room 1516
back in his own skin 44
back in his own time 712
back in his own town 59
back in his own yard 40
back in his seat like 81
back in his seat when 148
back in its own coin 262
back in its own time 97
back in may and june 238
back in old age upon 98
back in one day from 158
back in our old camp 69
back in our old home 118
back in our own coin 155
back in our own home 338
back in our own land 43
back in our own time 118
back in that day when 67
back in this way from 250
back in with both feet 57
back in with his wife 152
back it did not seem 91
back it does not seem 163
back it was all over 241
back it was too late 545
back my arm and threw 87
back my head and fell 89
back my head and howl 61
back of all his work 106
back of all this lies 71
back of all this there 358
back of head and back 58
back of head and nape 91
back of head and neck 1008
back of her bar door 40
back of her head came 65
back of her head down 88
back of her head felt 186
back of her head from 217
back of her head hard 47
back of her head hurt 87
back of her head into 278
back of her head just 79
back of her head kept 94
back of her head leaning 43
back of her head like 932
back of her head made 89
back of her head only 60
back of her head over 52
back of her head said 48
back of her head there 96
back of her head told 103
back of her head upon 81
back of her head were 316
back of her head when 466
back of her long neck 271
back of her long work 60
back of her own free 244
back of her own hand 487
back of her own mind 107
back of her own neck 257
back of her two young 76
back of her wet hand 49
back of him not only 44
back of him was made 96
back of his big hand 279
back of his big neck 87
back of his car when 120
back of his fat neck 142
back of his gun hand 72
back of his head away 92
back of his head blew 126
back of his head came 337
back of his head down 285
back of his head during 43
back of his head felt 377
back of his head from 1603
back of his head gone 45
back of his head hard 114
back of his head hurt 268
back of his head into 753
back of his head just 355
back of his head kept 74
back of his head like 1874
back of his head made 281
back of his head moving 44
back of his head once 127
back of his head only 99
back of his head onto 47
