babies out of incubators in 55
baffle all the penetration of 97
ballad may be considered as 42
ballot for the candidates of 219
bamboo for the cultivation of 40
banish them as prejudicial to 78
banker who is interested in 60
banner with the inscription in 42
barely see the silhouette of 48
barges for the conveyance of 69
barley leaf as determined by 51
barons and the commonalty of 168
barrel but the measurement is 58
barren for the wickedness of 195
basins and the continents as 40
basins may be considered as 86
basket with an assortment of 89
battle and the destruction of 187
battle and the disposition of 75
battle and the excitement of 60
battle for the acceptance of 202
battle for the acquisition of 49
battle for the approaches to 70
battle for the attainment of 42
battle for the betterment of 161
battle for the destruction of 489
battle for the elimination of 102
battle for the legitimacy of 40
battle for the presidency in 62
battle for the presidency of 77
battle for the principles of 143
battle for the reclamation of 80
battle for the recognition of 433
battle for the reconquest of 46
battle for the restoration of 649
battle for the unification of 56
battle for the vindication of 43
battle may be considered as 110
battle was the culmination of 101
battle was the destruction of 57
battle with the assistance of 66
battle with the authorities in 47
battle with the authorities to 86
battle with the communists in 47
battle with the department of 176
battle with the government in 56
battle with the government of 156
battle with the government to 125
battle with the insurgents in 77
battle with the prejudices of 223
battle with the supporters of 60
battle with the temptations of 142
battle with the university of 109
became dean of canterbury in 61
became dean of gloucester in 71
became head of government in 79
became men of importance in 46
became not the receptacle of 53
become fit to assimilate it 86
become not an instrument of 42
become that the government in 46
beetle can be controlled by 46
before all the congregation of 709
before all the information is 184
before and in preference to 176
before and it frightened me 48
before any thing comparable to 45
before for the exportation of 124
before god my conscience is 44
before going to university in 51
before had he understood the 45
before had the experience of 385
before had the government of 52
before has the importance of 62
before her the advantages of 133
before him in recognition of 61
before him the advantages of 90
before him the associations of 59
before him the complaints of 46
before him the depositions of 66
before him the difference in 67
before him the experience of 81
before him the grievances of 113
before him the importance of 185
before him the inequality of 63
before him the manuscript of 46
before him the principles on 42
before him the statements of 120
before she is introduced to 45
before that the government of 46
before that the principles of 82
before them in establishing an 54
before them in pretensions to 43
before them the advantages of 125
before them the experience of 224
before them the importance of 140
before them the principles of 101
before them the proposition of 46
before them the punishment of 122
before them the resolutions of 46
before them the sentiments of 45
before using the information in 149
before with the assistance of 145
before with the publication of 92
before you is determined by 83
before you the importance of 80
before you the principles of 44
before you the principles on 69
before you the sentiments of 101
begged for an explanation of 143
begged for the assistance of 148
begged for the restitution of 45
begged for the restoration of 134
begged her to reconsider the 56
begged him to condescend to 63
begged him to reconsider the 108
begins with an acceptance of 269
begins with an affirmation of 537
begins with an alternation of 47
begins with an apostrophe to 376
begins with an application of 118
begins with an application to 58
begins with an appreciation of 531
begins with an arrangement of 46
begins with an assessment of 2957
begins with an assortment of 48
begins with an elaboration of 225
begins with an elucidation of 69
begins with an enumeration of 431
begins with an examination of 8806
begins with an exclamation of 44
begins with an exhortation to 476
begins with an experience of 194
begins with an explanation by 42
begins with an explanation of 3275
begins with an explication of 192
begins with an exploration of 1602
begins with an indictment of 111
begins with an individual or 50
begins with an insistence on 56
begins with an instruction to 42
begins with an observation of 174
begins with an orientation to 98
begins with the abstraction of 61
begins with the acceptance of 642
begins with the acquisition of 767
begins with the activities of 127
begins with the adventures of 113
begins with the affirmation of 210
begins with the aggregation of 51
begins with the application of 794
begins with the appreciation of 47
begins with the arrangement of 96
begins with the ascendancy of 40
begins with the assessment of 378
begins with the assignment of 269
begins with the assumptions of 55
begins with the attachment of 297
begins with the attainment of 114
begins with the background of 78
begins with the banishment of 75
begins with the calculation of 541
begins with the categories of 73
begins with the celebration of 206
begins with the circulation of 49
begins with the combination of 140
begins with the commitment of 53
begins with the commitment to 64
begins with the comparison of 160
begins with the compilation of 106
begins with the composition of 102
begins with the computation of 313
begins with the confluence of 46
begins with the contraction of 179
begins with the cultivation of 163
begins with the declaration of 492
begins with the definitions of 277
begins with the degradation of 46
begins with the description of 2692
begins with the designation of 126
begins with the destruction of 660
begins with the detachment of 49
begins with the difficulty of 80
begins with the discipline of 48
begins with the dissociation of 53
begins with the dissolution of 211
begins with the distinction of 71
begins with the elaboration of 82
begins with the elimination of 242
begins with the elucidation of 62
begins with the employment of 66
begins with the enumeration of 117
begins with the equivalent of 73
begins with the establishing of 62
begins with the evaporation of 63
begins with the examination of 578
begins with the excitement of 40
begins with the exhortation to 96
begins with the expectation of 53
begins with the experience of 982
begins with the explanation of 183
begins with the exploration of 231
begins with the fabrication of 43
begins with the formulation of 1002
