bad been 104 bad from 126
bay four 163 beat self 50
being years 102 being flat 110
being time 42 being noah 45
being well 312 being feet 40
being feet 47 being days 44
big were 55 big been 42
big open 43 big open 41
big cars 40 big into 41
bit bled 457 both been 47
both been 103 both been 49
both been 57 both been 153
both been 68 both been 88
both have 52 boy fast 55
boy been 76 bring those 52
but kind 56 but room 68
but fire 44 but done 107
but seen 47 but done 41
but been 49 but come 68
but poll 110 but been 78
but tell 96 but been 67
but from 45 but from 46
but ever 69 but been 55
but none 86 but their 54
but been 90 but back 44
but back 92 but been 151
but their 134 but along 44
but into 41 but days 56
but beads 82 but their 42
but what 45 but been 145
but none 47 but gone 200
but weep 45 but been 74
but done 49 but been 106
but made 121 but been 92
but been 174 but have 40
but find 47 but tell 126
but been 90 but what 150
but will 54 but what 115
but what 159 but have 59
but know 167 but think 53
but been 51 but heard 87
but time 64 but their 71
but there 48 but been 218
but done 60 but been 55
but free 72 but been 44
but been 57 but away 42
but those 48 but come 60
but none 42 but seeing 49
but from 51 but line 45
but from 45 but from 161
but heads 45 but free 40
