babe of fourteen or fifteen 55
back as honestly as regulus 48
back by explicit or implied 57
back in washington on october 43
back is somewhat to advance 42
back the champions of liberty 109
back the frontier of control 50
back the progress of mankind 98
back the progress of science 129
back the saracens of grenada 41
back to complete the circuit 45
back to serenity by himself 41
back to washington as quickly 78
back to washington in january 88
back to washington in october 79
back to washington the following 173
back to washington to consult 45
back to washington to discuss 129
back to washington to explain 84
back to washington to prepare 72
back to washington to testify 112
bags of bowstrings to strangle 141
bail as provided by statute 50
bail or remanded in custody 107
band of interest is excised 53
band of soldiers of fortune 135
band of traitors in trampling 64
bank as endeavoring to operate 56
bank is entitled to receive 211
bank is entitled to recover 623
bank is essential to provide 98
bank is expected to provide 51
bank is required to deposit 119
bank is required to furnish 45
bank is required to provide 100
bank is required to publish 56
bank or ministry of finance 55
bank or otherwise to receive 131
bank to continue to operate 44
bank to maintain on deposit 111
bare as scarcely to exhibit 57
bare the skeleton of society 40
bars the recovery of damages 41
base is expanded to include 57
base is required to support 53
base of supplies to protect 51
base so critical an attempt 47
basing of decisions on purpose 146
beans as directed on package 55
bearing on education the courier 51
bearing the standard of freedom 56
bearing the trophies of victory 46
been an accident in history 78
been an accident of history 111
been an accident or suicide 49
been an admission of failure 182
been an admission of weakness 90
been an assertion of general 50
been an epidemic of cholera 60
been an epidemic of typhoid 58
been an evidence of boredom 42
been an evidence of weakness 42
been an exception in society 78
been an expansion of research 99
been an explosion in research 199
been an explosion of popular 41
been an explosion of research 1670
been an explosion of studies 135
been an exporter of capital 66
been an exporter of primary 48
been an imbecile so settled 49
been an importer of capital 51
been an instance in history 46
been an interval of several 107
been an obstacle to achieving 56
been an obstacle to national 56
been an opponent of slavery 61
been an ornament to society 156
been an outpouring of research 120
been as careless of present 73
been as celibate as harriet 91
been in business an average 52
been in business at bristol 321
been in condition to support 55
been in operation in america 67
been in operation in belgium 42
been in operation in britain 92
been in operation in certain 52
been in operation in denmark 51
been in operation in germany 120
been in operation in several 95
been in operation in victoria 42
been in operation the previous 42
been in operation to produce 136
been in progress in america 41
been in progress in germany 70
been in progress in several 68
been in readiness to receive 66
been in response to demands 64
been in washington the previous 49
been my business to inquire 62
been my intention to attempt 62
been my intention to confine 53
been my intention to discuss 55
been my intention to examine 40
been my intention to explore 48
been my intention to include 114
been my intention to present 202
been my intention to proceed 187
been my intention to produce 91
been my intention to provide 189
been my intention to publish 289
been my intention to smuggle 76
been my intention to suggest 163
been no attempts at general 60
been no attempts to develop 44
been no attempts to examine 45
been no evidence to suggest 349
been no evidence to support 345
been no intention to deceive 40
been no intention to impress 60
been no intention to include 41
been no shortage of capital 40
been no shortage of critics 121
been no shortage of efforts 49
been no shortage of material 47
been no shortage of opinions 46
been no shortage of research 137
been no shortage of studies 75
been no shortage of writers 46
been of interest in relation 41
been of interest in studies 52
been of interest to artists 54
been of interest to compare 60
been of interest to european 43
been of interest to examine 74
been of interest to linguists 82
been of interest to mankind 73
been of interest to research 43
been of interest to several 141
been of interest to western 40
been so ambitious of obtaining 526
been so depleted in numbers 110
been so fruitful in results 111
been so fruitful of results 142
been so fruitful of victory 43
been so generous an element 76
been so generous in providing 66
been so included in reliance 65
been so informed by persons 58
been so judicious as friction 48
been so sensible of himself 163
been so separate in america 45
been so shrouded in mystery 71
been so valuable an addition 45
been the abolition of poverty 108
been the abolition of slavery 174
been the attempts to explain 64
been the attitude of certain 43
been the backbone of america 77
been the backbone of british 181
been the backbone of chinese 44
been the business of certain 60
been the champions of liberty 78
been the children of parents 45
been the colleague of orestes 93
been the companion of princes 89
been the condition of affairs 162
