jade stole somewhere 56
jail after conviction 106
jail serving sentences 48
jail since september 46
jail under mysterious 50
jail until september 62
jail where criminals 43
jail where prisoners 145
jars which contained 711
jazz chord sequences 110
jazz clubs throughout 97
jazz music festivals 45
jazz style developed 43
jazz tenor saxophone 604
jeep track continues 51
jeep trail continues 45
jingling match certainly 45
jobs after childbirth 276
jobs after completion 152
jobs after graduation 2747
jobs after maternity 138
jobs carry different 47
jobs found themselves 256
jobs quite different 42
jobs since graduation 99
jobs still available 163
jobs under conditions 240
jobs under different 126
jobs under difficult 74
jobs where conditions 52
jobs where employees 176
jobs where employers 133
jobs where necessary 80
jobs where qualified 46
jobs where technical 53
jobs which attracted 42
jobs which currently 41
jobs which employers 54
jobs which generally 65
jobs which permitted 44
jobs which previously 212
jobs which represent 111
jobs which sometimes 50
jobs which typically 69
jobs while eliminating 62
jobs while maintaining 210
jobs whose occupants 94
jobs within companies 65
jobs within reasonable 71
jobs women performed 117
jobs would certainly 69
jobs would represent 63
join after graduation 77
join close relatives 106
join group practices 104
join local community 51
join short sentences 57
join social criticism 95
join social movements 895
join teaching profession 44
join teddy roosevelt 51
join unions affiliated 53
join unions primarily 48
joke about americans 91
joke about mussolini 94
joke about ourselves 55
joke about political 45
joke about president 179
joke about themselves 484
joke began circulating 52
joke whose punchline 103
joys where presently 44
joys which accompany 234
jump large distances 45
jump short distances 122
jump would certainly 138
junk bonds defaulted 60
junk bonds outstanding 149
junk bonds typically 43
jury after arguments 45
jury again convicted 73
jury again disagreed 69
jury award excessive 40
jury could certainly 160
jury could determine 1100
jury could disregard 92
jury could interpret 47
jury could logically 79
jury could pronounce 45
jury could rationally 764
jury could reasonably 8610
jury could recommend 45
jury finds defendant 50
jury first empaneled 74
jury first impaneled 146
jury found accordingly 237
jury found appellant 496
jury found defendant 2107
jury found expressly 46
jury found petitioner 901
jury found plaintiff 430
jury found themselves 91
jury later acquitted 155
jury later convicted 78
jury might ascertain 53
jury might determine 374
jury might disregard 46
