had an iq lower than 49
had as the basis for 66
had at my house that 97
had at the hotel for 41
had at the start was 63
had by the treaty with 48
had he to marry this 49
had he to offer her 328
had he to offer that 41
had he to repeat his 49
had he to touch her 75
had he to track her 145
had if the action had 81
had if the child had 65
had if the order had 43
had in an action for 90
had in my favor was 60
had in my first year 165
had in my hands all 64
had in my hands and 128
had in my hands for 83
had in my hands was 131
had in my house for 71
had in my purse and 43
had in no small way 83
had in the civil war 648
had in the court and 76
had in the eighth and 43
had in the fancy was 40
had in the field and 128
had in the field had 68
had in the field was 163
had in the field with 45
had in the fight for 60
had in the first act 61
had in the first and 183
had in the first few 310
had in the first one 64
had in the first six 97
had in the first ten 68
had in the first two 850
had in the first war 80
had in the first year 546
had in the front seat 40
had in the greek and 90
had in the house and 858
had in the house but 67
had in the house for 273
had in the house that 358
had in the house was 530
had in the house with 300
had in the hurry and 57
had in the korean war 174
had in the morning and 143
had in the morning with 75
had in the night and 41
had in the night cut 42
had in the parking lot 147
had in the place was 41
had in the search for 51
had in the sense that 173
had in the short run 96
had in the social and 50
had in the store and 65
had in the usual way 83
had in the vases and 52
had in the whole day 68
had in the whole war 73
had in the whole year 158
had in the woods and 70
had in the woods with 55
had in the works for 57
had in the world and 938
had in the world but 154
had in the world for 793
had in the world had 318
had in the world now 114
had in the world she 46
had in the world ten 82
had in the world that 484
had in the world they 43
had in the world war 90
had in the world was 2725
had in the world with 136
had it he could not 49
had it he would not 85
had it in black and 172
had it in glass for 87
had it in store for 67
had it in writing that 208
had it it would not 64
had it so badly that 123
had it so often that 48
had it to begin with 425
had it to start with 183
had me to lunch with 45
had of my father and 43
had of my father was 77
had of no force nor 61
had of the bible and 40
had of the canon law 96
had of the danger was 40
had of the enemy was 61
had of the event was 44
had of the merit and 57
had of the place and 49
had of the place was 61
had of the power and 92
had of the reason why 47
had of the train and 173
had of the woman who 57
had of the world and 62
had on an apron and 94
had on my first day 122
had on my hands was 104
had on my thinking and 46
had on the dress she 49
had on the first and 53
had on the first day 2662
had on the first one 64
had on the first two 72
had on the fourth day 77
had on the growth and 108
had on the hearts and 107
had on the lives and 147
had on the minds and 176
had on the moral and 65
had on the nation and 45
had on the night she 127
had on the night that 83
had on the night they 123
had on the people and 174
had on the people was 75
had on the people who 340
had on the phone with 114
had on the place and 43
had on the river that 139
had on the shape and 84
had on the social and 220
had on the table and 143
had on the table for 59
had on the table that 109
had on the table was 49
had on the thinking and 60
had on the whole had 79
had on the whole not 170
had on the world and 64
had or he would not 48
had or the lunch that 42
had the thing about you 45
had the thing under his 52
had to be about her 159
had to be about him 53
had to be about his 393
had to be about one 205
had to be about six 237
had to be about ten 141
had to be about that 85
had to be about two 162
had to be above all 202
had to be acted out 404
had to be added and 406
had to be added each 46
had to be added for 650
had to be added that 351
had to be added was 100
had to be added with 62
had to be again and 107
had to be agile and 54
had to be aired and 108
had to be aired for 81
had to be aired out 153
had to be alert all 89
had to be alert and 647
had to be alert for 601
had to be alive and 164
had to be alive for 42
had to be alone and 182
had to be alone for 453
had to be alone with 787
had to be anything but 99
had to be apart for 71
had to be armed and 275
had to be armed for 85
had to be armed with 951
had to be asked and 543
had to be asked for 1076
had to be asked how 64
had to be asked not 68
had to be asked was 129
had to be awake and 134
had to be awake for 41
had to be aware and 53
