had also branched out into 114
had also debarred them from 69
had also declared that there 40
had also declared war upon 40
had also departed this life 122
had also informed them when 54
had also mentioned that there 42
had also murdered his aunt 43
had also observed that many 57
had also observed that there 50
had also observed that when 44
had also observed this daring 40
had also returned and were 42
had been abducted and held 127
had been abducted and sold 60
had been abducted and were 42
had been absorbed and were 42
had been absorbed for many 45
had been absorbed for some 99
had been abundant and cheap 175
had been accepted and even 51
had been accepted and paid 263
had been accepted and there 119
had been accepted and used 75
had been accepted and were 136
had been accepted for many 175
had been accepted for more 72
had been accepted for over 215
had been accepted for some 131
had been accepted for their 69
had been accepted for what 102
had been accepted for work 50
had been accepted for years 124
had been accepted not only 95
had been accepted that there 76
had been accepted with great 49
had been accepted with some 51
had been accepted with such 54
had been achieved and their 48
had been achieved and there 96
had been achieved and were 44
had been achieved and what 562
had been achieved and when 49
had been achieved had been 110
had been achieved not only 105
had been achieved with great 95
had been achieved with only 55
had been achieved with some 40
had been achieved with such 132
had been achieved with very 55
had been acquired and held 74
had been acquired and used 46
had been acquired and were 104
had been acquired for cash 59
had been acquired two years 66
had been acquired with such 49
had been addressing each other 60
had been adequate for their 43
had been adjusted with much 84
had been admitted for other 43
had been admitted for some 103
had been admitted two days 52
had been admitted two years 40
had been advanced for their 135
had been advocating all along 147
had been advocating for many 166
had been advocating for more 304
had been advocating for nine 50
had been advocating for over 70
had been advocating for some 365
had been advocating for years 662
had been affected for many 40
had been affected for some 150
had been affected not only 67
had been agitated for many 138
had been agitated for more 108
had been agitated for some 205
had been agitated for years 60
had been agitated with those 67
had been airborne for only 41
had been airborne for over 109
had been allotted for their 172
had been allotted them upon 51
had been ambushed and shot 401
had been anointed with holy 109
had been anywhere but just 45
had been apparent all along 92
had been apparent for many 180
had been apparent for some 1289
had been apparent for years 140
had been apparent that there 44
had been apprised that gold 79
had been approved and sent 43
had been approved and were 190
had been approved for sale 229
had been approved for their 53
had been approved not only 64
had been arrested all over 45
had been arrested and cast 42
had been arrested and even 59
had been arrested and flung 45
had been arrested and held 1812
had been arrested and kept 191
had been arrested and made 86
had been arrested and many 120
had been arrested and more 47
had been arrested and only 43
had been arrested and sent 1858
had been arrested and shot 900
had been arrested and some 125
had been arrested and their 211
had been arrested and there 217
had been arrested and were 1429
had been arrested and what 133
had been arrested but were 44
had been arrested for anti 218
had been arrested for beating 124
had been arrested for buying 49
had been arrested for dealing 97
had been arrested for debt 704
had been arrested for drug 559
had been arrested for giving 50
had been arrested for having 488
had been arrested for high 125
had been arrested for leading 75
had been arrested for making 235
had been arrested for other 100
had been arrested for rape 152
had been arrested for raping 58
had been arrested for rioting 92
had been arrested for some 472
had been arrested for spying 180
had been arrested for such 80
had been arrested for taking 339
had been arrested for theft 392
had been arrested for their 503
had been arrested for trying 301
had been arrested for wearing 51
had been arrested for what 73
had been arrested had been 222
had been arrested that same 63
