hail a taxi and ask 52
hair a mess and her 80
hair a young man who 41
hair i ever did see 54
half a beef and two 109
half a cent for each 292
half a cent per ton 236
half a foot long and 521
half a gill per day 87
half a line nor all 327
half a mark for each 81
half a mark for his 49
half a mile and had 144
half a mile and not 81
half a mile and one 176
half a mile and that 52
half a mile and then 2281
half a mile and they 51
half a mile and two 121
half a mile and was 251
half a mile and with 41
half a mile and you 113
half a mile due east 172
half a mile each day 45
half a mile each way 889
half a mile east and 331
half a mile long and 9222
half a mile long that 89
half a mile long was 161
half a mile long with 370
half a mile off and 526
half a mile off may 71
half a mile off our 65
half a mile off she 53
half a mile off they 96
half a mile off was 217
half a mile out and 343
half a mile per day 253
half a mile per year 88
half a mile she was 48
half a mile that she 52
half a mile that way 105
half a mile they had 83
half a mile this way 52
half a mile too far 150
half a mile with him 57
half a mile with his 127
half a month for each 40
half a noon may sit 65
half a note too low 41
half a pack per day 453
half a page and then 46
half a page for each 88
half a page long and 79
half a pint for each 94
half a pint per day 199
half a pint per man 157
half a size too big 129
half a tone too low 61
half a turn and then 45
half a week for his 42
half a word with you 53
half a yard long and 345
half a yard per man 48
half a yard too long 43
half i have not had 43
hand a book with this 48
hand a flap near his 57
hand a lark sang fro 50
hand i ever did see 75
hand i have met with 41
hand i held was that 95
hand i hold his death 70
hand i know not how 62
hand i know that you 40
hand i must say that 248
hand i tell you that 71
hangs a tale that may 43
hard a blow with his 40
hard a part that was 88
hard a task for any 66
hard a task for him 63
hard a task for you 42
hard i work and how 80
hast a name that thou 3973
have a baby and all 74
have a baby and are 101
have a baby and can 97
have a baby and did 61
have a baby and get 118
have a baby and had 108
have a baby and has 64
have a baby and her 101
have a baby and how 81
have a baby and not 202
have a baby and now 48
have a baby and she 450
have a baby and that 1108
have a baby and then 369
have a baby and they 175
have a baby and this 53
have a baby and was 121
have a baby and who 57
have a baby and you 320
have a baby any day 311
have a baby boy and 99
have a baby boy who 53
have a baby but she 75
have a baby does not 123
have a baby for her 98
have a baby for him 132
have a baby for them 73
have a baby for two 53
have a baby for you 209
have a baby now and 44
have a baby one day 244
have a baby she does 49
have a baby she was 43
have a baby that she 95
have a baby that was 107
have a baby that you 167
have a baby they did 103
have a baby was not 50
have a baby who does 55
have a baby who has 47
have a baby who was 46
have a baby with her 427
have a baby with him 309
have a baby with his 53
have a baby with that 45
have a baby with them 52
have a baby with this 62
have a baby with you 350
have a baby you can 70
have a back way out 45
have a bald head and 45
have a ball with that 73
have a ball with this 111
have a band with you 40
have a base for our 77
have a beard and long 57
have a beef with him 43
have a beef with you 56
have a beer and get 65
have a beer and then 70
have a beer now and 107
have a beer with her 72
have a beer with him 576
have a beer with his 132
have a beer with them 238
have a beer with you 223
have a bent that way 62
have a bird and not 41
have a bite and sup 86
have a bite and then 56
have a bite with him 58
have a bite with them 53
have a bite with you 49
have a boat for you 45
have a boat that can 56
have a boat you can 54
have a body and are 40
have a body and that 322
have a body and you 63
have a body that can 220
have a body that does 49
have a body that has 75
have a body that was 94
have a bond that can 53
have a bond with him 52
have a book for each 49
have a book for this 53
have a book for you 357
have a book that can 44
have a book that has 141
have a book that they 41
have a book that was 110
have a book that you 139
have a book with all 53
have a book with him 80
have a book with you 100
have a book you can 54
have a boss who does 48
have a boss who has 46
have a boss who was 48
have a bout with her 48
have a bout with him 137
have a bout with thee 336
have a bout with them 96
have a bout with you 212
have a break and then 40
have a break now and 60
have a break with them 63
have a busy day and 76
have a cake for you 49
have a call for you 494
have a call that way 60
have a card for each 246
have a card for you 92
have a card that can 45
have a care for all 171
have a care for both 42
have a care for her 364
have a care for him 126
have a care for his 507
have a care for its 77
have a care for one 101
have a care for our 100
have a care for that 58
have a care for them 125
have a care for this 41
have a care for you 97
have a care how she 43
have a care how they 528
have a care how you 1036
have a care that all 57
have a care that his 44
have a care that our 44
have a care that she 77
have a care that they 279
have a care that this 70
have a care that thou 276
have a care that you 686
have a care you are 46
have a case and that 130
have a case for being 45
have a case for you 190
have a case that can 72
have a case that has 45
have a case that you 41
have a chat and get 43
have a chat and hear 73
