hard time convincing people that 229
have also provided funding for 51
have also provided funds for 86
have also recently found that 204
have also recently shown that 392
have been accepted after all 106
have been achieved rather than 48
have been achieved since then 78
have been achieved under any 51
have been achieved which are 83
have been acquired rather than 42
have been acquired since that 99
have been acquired since then 56
have been acquired under any 71
have been acquired under this 63
have been actively looking for 133
have been actively working for 85
have been actively working with 78
have been actually built and 62
have been actually rated and 88
have been actually taken and 108
have been actually tried out 100
have been adequate reason for 43
have been admitted under this 93
have been admitted within its 54
have been advanced about how 84
have been advanced about its 46
have been advanced about them 71
have been advanced about this 44
have been advanced since then 45
have been advanced which are 140
have been advanced which may 52
have been advanced which was 47
have been agitated about his 50
have been answered again and 104
have been anxiously looking for 377
have been anxiously looking out 106
have been anxiously waiting for 505
have been apparent rather than 64
have been approved under this 117
have been arrested under this 80
have been assessed under this 82
have been attacked again and 134
have been battered nearly out 50
have been captured alive and 55
have been captured rather than 47
have been careless about his 49
have been collecting facts for 75
have been collecting money for 69
have been combined under one 171
have been compiled later than 85
have been composed about him 50
have been composed about this 122
have been composed after his 129
have been composed after that 130
have been composed after this 55
have been composed later than 1259
have been composed under its 77
have been composed while she 74
have been confined about ten 48
have been confined within its 55
have been confused about his 58
have been confused about how 85
have been confused about this 103
have been confused under one 40
have been confused under this 60
have been conscious where his 66
have been consumed rather than 43
have been cremated again and 43
have been critical rather than 64
have been cultural rather than 83
have been declared brain dead 205
have been declared under this 55
have been declared unfit for 259
have been degraded below him 182
have been deported under any 49
have been deprived since this 51
have been describing could not 42
have been deserted about ten 51
have been designed either for 53
have been designed rather for 40
have been designed which are 369
have been designed which can 231
have been designed which use 167
have been detailed above and 40
have been detained longer than 121
have been detained under this 64
have been detained while one 53
have been detected which are 168
have been developing plans for 44
have been discussing above are 41
have been discussing plans for 75
have been discussing until now 231
have been discussing would not 96
have been doubtful about his 40
have been doubtful about this 43
have been doubtful until now 58
have been economic rather than 141
have been educated within its 135
have been effected since his 73
have been effected since that 87
have been effected since then 64
have been effected under his 40
have been eighteen months ago 87
have been employed rather than 78
have been employed since that 257
have been employed since then 51
have been employed where they 42
have been employed which are 160
have been enhanced rather than 155
have been entirely beaten out 110
have been entirely fixed and 77
have been entirely happy but 117
have been entirely happy with 246
have been entirely under his 113
have been entirely wiped out 539
have been entirely within his 67
have been entitled under any 74
have been entitled under this 212
have been episodic rather than 40
have been examined after death 151
have been examined again and 63
have been examined under this 51
have been examined which are 47
have been examined within this 47
have been examples where one 131
have been excluded since they 156
have been executed about this 58
have been executed after his 79
have been executed after that 46
have been executed later than 90
have been executed under his 128
have been expanded rather than 51
have been expected after all 87
have been expected after his 116
have been expected after its 47
have been expected after this 76
have been expected given his 57
have been expected given its 89
have been expected given that 185
have been expected rather than 61
have been expected since they 48
have been expected under all 82
have been expected under any 49
have been explicit about this 52
have been extended until they 98
have been financial rather than 49
have been finished after his 51
have been followed since then 46
have been foreseen would lead 76
have been formerly urged with 40
have been frequent calls for 165
have been hindered rather than 122
have been hundreds older than 53
have been imbedded where they 52
have been implicit rather than 86
have been imported rather than 40
have been improved rather than 60
have been improved since that 46
have been improved since then 165
have been improved until they 89
have been included rather than 75
have been included since they 148
have been included under any 157
have been included under each 84
have been included under one 203
have been included under that 204
have been included under this 866
have been included under two 41
have been included where they 256
have been included which are 512
have been included which may 77
have been included within its 113
have been included within that 43
have been included within this 153
have been increased calls for 40
have been increased every year 50
have been increased fifty per 45
have been increased rather than 417
have been increased since that 47
have been increased since then 71
have been increased until they 46
have been incurred under any 72
have been incurred under this 86
have been indirect rather than 96
have been inferred rather than 48
have been informed about and 48
have been informed about his 45
have been informed about them 85
have been informed about this 236
have been informed about you 76
have been informed since that 286
have been informed today that 41
have been initiated since our 53
have been initiated under this 56
have been initiated which are 78
have been injurious rather than 42
have been inquired about and 148
have been inserted where they 146
have been inserted which are 62
have been intended either for 192
have been intended rather for 104
have been interred within its 56
have been invented about him 55
have been invented about this 58
have been invented again and 61
have been invented since his 59
have been invented since then 58
have been invented which are 182
have been invented which can 108
have been isolated rather than 69
have been isolated which are 601
have been isolated which can 127
have been isolated which may 57
have been launched since then 72
have been literary rather than 64
have been markedly lower than 66
have been marketed which are 45
have been mentioned above and 486
have been mentioned above are 344
have been mentioned above but 87
have been mentioned above can 45
have been mentioned above for 62
have been mentioned above with 60
have been mentioned again and 62
have been mentioned rather than 74
have been mentioned under that 57
have been mentioned under this 85
have been mentioned which are 196
have been mentioned which may 50
have been military rather than 52
have been mistaken about her 154
have been mistaken about him 130
have been mistaken about his 245
have been mistaken about how 42
have been mistaken about its 114
have been mistaken about that 485
have been mistaken about them 67
have been mistaken about this 236
have been mistaken about who 73
have been mistaken about you 83
have been mistaken after all 161
have been modified again and 49
have been modified first for 63
have been modified rather than 52
have been modified since then 85
have been modified since they 259
have been negative rather than 183
have been notified under this 47
have been numerous books and 185
have been numerous calls for 283
have been numerous people who 49
have been nurtured under this 49
have been obscured rather than 71
have been observed after death 75
have been observed after long 103
have been observed again and 83
have been observed every year 103
have been observed since its 56
have been observed since that 93
have been observed since then 115
