hair and shoulders to run 71
hair and whispered in her 94
hair and whispered to her 56
hair lay plastered in long 68
hair lay plastered to her 61
hair lay plastered to his 71
hair was flattened on one 69
hair was flattened to his 53
hair was plastered on his 73
hair was plastered to her 1355
hair was plastered to his 1933
hair with admiration on his 41
half for shrinkage in his 64
half her cornucopia in this 44
hall and addressed me all 41
hall and discourse to his 72
hand and continued on his 76
hand and correction of god 60
hand and explained to him 51
hand and presented me with 67
hand and pretended to read 92
hand and proceeded to set 139
hand and quickness of eye 169
hand and signature of that 40
hand and steadiness of eye 73
hand and stretched it out 141
hand and struggled to her 56
hand and struggled to his 52
hand and whispered in her 156
hand and whispered in his 174
hand and whispered to her 198
hand and whispered to him 154
hand had tightened on his 56
hand lying passively on his 56
hand not necessary to her 52
hand that conferred on him 63
hand that hindustan is for 213
hard and difficult to cut 300
hard and expensive to get 66
hard and faithfully to get 41
hard and honorably to bring 45
hard and hopefully to see 49
hard and niggardly in all 110
hard and resistant to wear 192
hard for americans to see 43
hard for newcomers to get 53
hard for outsiders to get 43
hard for outsiders to see 50
hard for predators to see 86
harm and detriment of both 43
hast not forgotten thy art 55
hast thou forgotten the day 53
have all benefited by this 69
have all commented on this 41
have all concurred to lead 115
have all conspired to bring 55
have all traversed in our 45
have any advantage at all 77
have any advantage in this 61
have any advantage of new 138
have any allegiance in them 112
have any appearance of being 76
have any assurance of being 50
have any awareness at all 77
have any awareness of his 50
have any awareness of how 58
have any awareness of this 72
have any certainty at all 129
have any certainty of our 98
have any character at all 658
have any coherence at all 48
have any compassion at all 120
have any complaint at all 46
have any complaint to bring 111
have any conception at all 169
have any conception of god 71
have any conception of him 190
have any conception of his 76
have any conception of how 499
have any conception of its 261
have any conception of that 68
have any conception of them 50
have any conception of this 120
have any connection at all 502
have any connection to her 42
have any connection to that 43
have any connection to this 81
have any customers at all 50
have any discretion at all 155
have any discussion at all 64
have any existence at all 1679
have any existence or not 67
have any expertise in this 72
have any expression at all 175
have any foundation at all 239
have any foundation or not 48
have any gratitude in you 56
have any guarantee of this 84
have any happiness at all 62
have any hesitation at all 97
have any hesitation in doing 41
have any incentive to pay 58
have any incentive to use 56
have any indication of how 65
have any influence at all 4042
have any influence in his 113
have any influence in its 42
have any influence in our 43
have any influence in that 91
have any influence in this 245
have any influence of that 40
have any influence on any 87
have any influence on each 104
have any influence on her 244
have any influence on him 303
have any influence on his 522
have any influence on how 127
have any influence on its 301
have any influence on one 128
have any influence on our 551
have any influence on that 120
have any influence on them 289
have any influence on this 353
have any influence on you 244
have any insurance at all 71
have any integrity at all 181
have any intellect at all 40
have any intentions at all 50
have any intentions of doing 53
have any intentions of going 45
have any interests at all 118
have any interests in any 48
have any knowledge at all 2600
have any knowledge in this 79
have any knowledge is that 333
have any knowledge of and 50
have any knowledge of any 721
have any knowledge of each 69
have any knowledge of god 502
have any knowledge of her 191
have any knowledge of him 301
have any knowledge of his 485
have any knowledge of how 449
have any knowledge of its 456
have any knowledge of law 41
have any knowledge of our 540
have any knowledge of that 775
have any knowledge of them 1195
have any knowledge of things 193
have any knowledge of this 983
have any knowledge of was 60
have any knowledge of who 83
have any knowledge or any 55
have any knowledge or idea 58
have any magnitude at all 63
have any objections to being 71
have any objections to her 63
have any objections to his 100
have any objections to our 103
have any objections to that 628
have any objections to them 44
have any objections to this 334
have any objections to you 57
have any obligation at all 48
have any obligation to pay 239
have any obligation to that 74
have any perception at all 160
have any posterity at all 88
have any pretension to being 43
have any protection at all 131
have any reference at all 115
have any reference to any 83
have any reference to god 53
have any reference to him 54
have any reference to his 239
have any reference to our 72
have any reference to that 64
have any reference to them 41
have any reference to this 146
have any relatives at all 56
have any relatives in this 104
have any relevance at all 570
have any relevance in this 89
have any relevance to any 43
have any relevance to her 45
have any relevance to his 111
have any relevance to our 210
have any relevance to real 40
have any relevance to them 45
have any relevance to this 155
have any relevancy at all 57
have any reputation at all 211
have any reputation in this 41
have any sensations at all 40
have any stability at all 48
have any standards at all 105
have any structure at all 131
have any substance at all 279
have any substance to them 55
have any suspicions at all 65
have any uneasiness on that 64
have bin subverted in them 46
have both endeavored to get 56
have both glorified it and 490
have both knowledge of and 53
have both responded to and 71
have death presented to him 47
have dug themselves in with 70
have each furnished me with 56
have few parallels in our 41
have for possession in art 45
have got permission to use 40
have got possession of all 155
have got possession of any 155
have got possession of her 96
have got possession of him 43
have got possession of his 82
have got possession of our 219
have got possession of that 119
have got possession of them 161
have got possession of this 93
have got possession of you 41
have got recovered in his 40
have had available to him 194
have had available to them 457
have had committed to them 180
have had compassion on him 53
have had compassion on them 87
have had compassion on you 149
have had conferred on them 129
have had englishmen in this 45
have had everybody in san 60
have had existence in his 151
have had explained to him 40
have had explained to them 148
have had influence in this 52
have had influence to bring 65
have had instances of this 69
have had instilled in them 103
have had knowledge of all 124
have had knowledge of and 56
have had knowledge of any 64
have had knowledge of her 44
have had knowledge of his 116
have had knowledge of its 76
have had knowledge of that 110
have had knowledge of them 156
have had knowledge of this 309
have had possession of all 63
have had possession of them 83
have had possession of this 98
have had presented to him 47
have had presented to them 305
have had presented to you 58
have had reference to any 50
have had reference to his 215
have had reference to one 45
have had reference to that 121
have had reference to this 181
have had specimens of this 40
have had submitted to them 59
have had suggested to him 49
have had suggested to them 49
have her permission to use 52
have her suspicions at this 53
have him condemned to death 126
have him delivered to him 56
have him sentenced to death 102
have his allowance to them 56
have his permission or not 67
have his permission to say 55
have his permission to use 88
have his possession of his 65
have its foundation in god 97
have its foundation in our 59
have its foundation in this 50
have its influence on all 45
have its influence on his 63
have its influence on our 61
have led wordsworth to this 113
have let ourselves be led 47
have let ourselves in for 105
have let themselves be led 194
have let themselves in for 276
have long abandoned the idea 123
have long advocated the use 249
have long cherished the idea 231
have long confessed it with 70
have long convinced me that 135
have long flattered us with 44
have long histories of being 87
have long histories of use 92
have long practiced the art 61
have long prevailed in this 69
have long supported the idea 49
have men convinced by long 56
have new knowledge of that 53
have not abandoned the idea 427
have not abandoned the old 163
have not abandoned the use 88
have not abolished the death 947
have not addressed at all 71
have not addressed in any 44
have not addressed in our 42
have not addressed in this 271
have not addressed is how 50
have not addressed so far 96
have not addressed the real 55
have not announced it yet 312
have not associated it with 48
have not attempted in any 120
have not attempted in this 987
have not attempted to add 154
have not attempted to bring 468
have not attempted to deal 1357
have not attempted to fit 97
have not attempted to fix 73
have not attempted to get 143
have not attempted to lay 165
have not attempted to map 44
have not attempted to put 278
have not attempted to read 112
have not attempted to say 219
have not attempted to see 137
have not attempted to set 413
have not attempted to use 549
have not benefited at all 210
have not benefited in any 47
have not commented on this 120
have not committed an act 87
have not committed the act 54
have not committed the sin 133
have not committed to any 47
have not completed it yet 61
have not completed the age 190
have not completed the job 75
have not concurred in this 40
have not conferred on men 129
have not confirmed it yet 107
have not conformed to any 44
have not conformed to this 134
have not connected it with 53
have not conquered in war 101
have not consented to any 76
have not consented to his 52
have not consented to its 53
have not consented to pay 75
have not consented to them 162
have not consented to this 83
have not continued as they 92
have not continued so long 51
have not continued to use 50
have not convinced me that 1676
have not convinced me yet 143
have not convinced us that 202
have not delivered it yet 49
have not descended so low 47
have not descended to him 57
have not descended to our 45
have not described in this 62
have not described to you 84
have not destroyed the old 49
have not developed as far 65
have not developed as they 108
have not developed as yet 118
have not developed at all 224
