hair and eyebrows were jet 50
hair and trickled down his 60
hair and wrinkled brow with 42
hair had loosened from its 44
hair had recently been cut 102
hair hung straight down her 167
hair hung wantonly over her 65
hair that bristled from one 40
hair that cascaded down her 474
hair that cascaded over her 185
hair that sprouted from his 102
hair was fastened back with 63
hair was loosened from its 51
hair was shoulder length and 404
hair was slightly damp and 42
hair was slightly tinged with 114
hair with garlands pied and 52
half are occupied from year 100
half its calories from fat 104
half its original length and 198
half its original size and 429
half that distance from east 109
half that distance from its 58
half that distance north and 45
hall with norwegian anna and 61
hand and cheerful heart than 60
hand and whatever else you 48
hand had fastened upon her 44
hand had snatched from him 42
hand her trencher when she 47
hand nor exhausting from its 67
hand too suddenly from off 42
hand was strangely cold and 53
hand was withdrawn from her 50
hand was withdrawn from his 97
hard and dangerous work and 76
hard and dangerous work for 55
hard and dangerous work that 40
harm and economic harm and 43
harm has resulted from this 46
hast not forsaken those who 92
hast not received from god 57
hast thou confined into this 85
hats and garments dyed with 119
have all suffered from this 109
have and exercise full and 109
have any appetite left for 52
have any authority over any 55
have any authority over her 81
have any authority over him 213
have any authority over them 351
have any authority over you 93
have any children from his 52
have any children living with 65
have any children other than 42
have any definite meaning for 41
have any education know that 44
have any evidence other than 47
have any immediate need for 70
have any interest other than 68
have any physical meaning and 53
have any positive clear idea 69
have any problems dealing with 60
have any problems like that 223
have any problems other than 51
have any problems when you 83
have any questions when you 63
have any recourse other than 41
have any scruples upon this 40
have any specific plan for 43
have both resulted from and 40
have due provision made for 41
have each employee fill out 48
have each followed their own 54
have each produced more than 52
have each received more than 51
have each scarcely more than 47
have few symptoms other than 46
have for bathsheba just now 51
have for husbands three men 46
have got yourself into that 50
have got yourself into this 134
have had absolute faith that 71
have had bestowed upon them 305
have had problems dealing with 76
have had recourse more than 277
have had slightly more than 42
have had somewhat more than 51
have her daughter quit her 41
have his daughter stay with 95
have his education among them 58
have his homework done and 53
have his nostrils slit and 41
have its original from two 42
have long believed there was 46
have long suffered from this 51
have long survived their day 46
have not achieved more than 66
have not achieved their aim 41
have not achieved what they 199
have not achieved what you 100
have not actually dealt with 40
have not actually done any 75
have not actually done this 67
have not actually made any 85
