he abstained from eating meat 49
he abstained from her bed 55
he abstained from meat and 46
he accordingly took his seat 53
he addressed more than one 49
he addressed those who had 75
he appointed none but his 56
he attempted nothing with this 67
he carefully felt his way 90
he carefully laid out his 85
he carefully made his way 478
he carefully took off his 54
he cautiously felt his way 106
he cautiously made his way 508
he certainly knew his way 115
he certainly knew that his 112
he certainly lost his head 47
he certainly went too far 97
he certainly will not get 202
he certainly will not let 54
he collapsed into his seat 64
he collapsed onto his bed 94
he collected during his long 51
he collected more than two 45
he commanded having met with 245
he commanded those that had 64
he commanded those who had 57
he completed work for his 59
he completes other men and 48
he concluded from his own 44
he concluded from them that 40
he concluded from this that 1152
he concluded peace with them 116
he concluded there was not 78
he concludes from this that 1520
he condemned those who had 43
he conducted till his death 59
he conferred along with that 55
he conferred upon his own 46
he conferred upon his son 45
he confessed over him all 109
he confirmed what she had 51
he considers best for his 55
he considers only his own 81
he considers well that all 45
he consulted only his own 259
he consulted told him that 235
he continued during all his 52
he continued giving his dying 150
he continued living with his 56
he continued there for two 47
he continued till his death 6598
he continued upon his way 71
he continued waving his hat 42
he continued when she did 99
he continued when they had 45
he conversed more with his 93
he converses only with men 88
he covenants also for his 78
he denounced those who had 113
he descended from his car 41
he descended from his seat 83
he descended into his own 46
he descended upon one man 40
he described what they had 40
he describes adam and eve 145
he describes from his own 52
he describes those who are 77
he detracted from his own 91
he disappears into his own 59
he disappears into thin air 101
he discovers more wit than 82
he dismissed those who had 64
he displayed great zeal and 72
he displayed great zeal for 59
he displayed pike and cap 123
he displayed what art can 40
he doubtless felt that his 74
he doubtless knew that his 44
he doubtless knew them for 54
he doubtless said and did 56
he evidently felt that his 174
he evidently felt that this 68
he evidently means that they 54
he evidently meant was that 128
he exclaimed when she had 48
he exercised over all who 213
he exercised over his men 67
he exercised over his own 166
he exercised over them was 71
he exercised upon his age 45
he exercised when rob was 63
he exercises over all his 40
he exercises over his own 69
he explained what they had 61
he explained what was going 143
he expressed great joy and 42
he expressed great joy that 55
he expressed hope that his 49
he expressed only his own 48
he expressed some fear that 41
he expressed were his own 53
he expressly says that his 64
he expressly says that they 74
he expressly says that this 81
he expressly told her that 75
he extracted from his own 48
he generally puts both his 65
he generally took them out 137
he generally took with him 61
he generally used for his 41
he gradually felt his way 52
he gradually lost his fear 54
he gradually made his way 509
he gradually threw off his 40
he hurriedly made his way 252
he impressed those who met 44
he impressed upon her that 47
he impressed upon him that 111
he impressed upon his son 119
he impressed upon them that 213
he inflicted upon his own 43
he inherited along with his 42
he inherited from both his 60
he inherited from her his 49
he inherited from his own 138
he instantly felt that she 57
he instantly took off his 53
he invariably felt that his 56
he invariably gets out this 46
he invariably made his way 56
he invariably took off his 40
he invariably took with him 64
he languished till his death 47
he leisurely made his way 48
he naturally asks him how 55
he naturally felt that his 41
he neglected nothing but his 45
he officiated till his death 44
he overthrows those who are 49
he painfully made his way 127
he perceived what was going 71
he performed more than two 86
he permitted those who had 40
he possessed more than any 60
he possessed more than his 71
he possessed more than one 77
he possessed nothing but his 131
he possessed over his own 61
he possessed told him that 100
he possessed were his own 158
he possesses more than one 51
he possesses nothing but his 57
he possesses nothing that can 110
he possesses over them are 42
he preferred making his bow 44
he preferred those who had 45
he presently knew they had 42
he presently made his way 65
he presently sent for him 44
he presently sent for his 125
he presently took out his 54
he presently went off with 40
he presently went out with 58
he preserved till his death 64
he privately told him and 51
he proceeded like one who 49
he proceeded upon his way 42
he published along with his 80
he published more than one 134
he published more than ten 54
he published more than two 76
he published over his own 69
he reasonably hope for both 57
he recovered from his fit 102
he recovered from his long 68
he recovered from his nap 55
he recovered from his own 46
he reflected upon all that 52
he reflected upon his own 240
he reflected upon this gay 45
he refrained from doing that 51
he refrained from doing this 99
he refrained from using his 128
he regretted most was that 69
he regretted much his not 129
he rekindled their zeal for 61
he remembers from his own 77
he repeatedly says that his 42
he repeatedly told her that 94
he respected like his own 40
he respected more than any 88
he separated from her and 110
he separated from him and 40
he separated from his two 45
he separated from them and 80
he solicited only his own 54
he sometimes came out with 188
he sometimes cast his eye 54
he sometimes ends with them 47
he sometimes felt that his 95
he sometimes lost his way 74
he sometimes took off his 54
he sometimes took with him 68
he sometimes went out with 59
he sometimes went too far 266
he staggered from his bed 57
he stretched forth both his 54
he stretched forth his arm 1101
he stretched forth his long 50
he stretched more than one 67
he stretches forth his arm 51
he surpassed even his own 42
he surpassed there his own 45
he suspected what she was 52
he suspected what was going 88
he sustained till his death 46
he triumphed over all his 221
he triumphed over death and 52
he triumphed over kings and 78
he triumphed over them all 96
he undertook upon his own 54
he whispered into her ears 64
