hairpin turns before the captain 91
handles appear around the control 97
handles appear around the graphic 93
handles appear around the outside 52
handles appear around the picture 81
happens often enough to justify 42
happens often enough to warrant 72
harmful algal blooms in coastal 42
harmful algal blooms on aquatic 51
hastily seeks merely the concept 58
hastily thrown across the streets 76
headland which formed the extreme 111
herself quite unable to express 57
highest blood levels of vitamin 142
himself could defend the passage 72
himself could neither be seduced 70
himself either unable or unwilling 46
himself happy studying the history 46
himself quite unable to account 51
himself quite unable to perform 57
himself quite unable to prevent 42
himself quite unable to sustain 48
himself stood behind the counter 51
himself strong enough to advance 160
himself strong enough to attempt 309
himself strong enough to conquer 55
himself strong enough to contend 73
himself strong enough to declare 100
himself strong enough to deliver 47
himself strong enough to destroy 47
himself strong enough to dispute 70
himself strong enough to proceed 125
himself strong enough to propose 52
himself strong enough to protect 41
himself strong enough to venture 210
himself walking through the streets 58
himself would supply the omission 53
history shall follow the example 70
history shows periods of freedom 139
history would indeed be profane 61
hundred fifty pounds of tobacco 42
hundred miles across the country 591
hundred miles across the pacific 136
hundred miles across the prairie 185
hundred miles before it empties 48
hundred miles beyond the extreme 114
hundred miles beyond the farthest 181
hundred miles extent to fortify 69
hundred miles farther on brought 105
hundred miles merely to agitate 207
hundred miles through the country 116
hundred miles through the forests 105
hundred miles through the interior 133
hundred miles through the jerseys 70
hundred people across the country 47
hundred steps closer to justice 41
hundred times larger in diameter 135
hundred yards before it stopped 58
hundred yards before we arrived 40
hundred yards behind the advance 96
hundred yards behind the rearmost 60
hundred yards beyond the village 579
hundred yards without the passage 44
hurried words served to explain 263
