had an addition built onto 49
had an average chain length 49
had an average class size 48
had an average daily gain 98
had an average grain size 160
had an average growth rate 482
had an awfully jolly time 91
had an awfully rough time 57
had an awfully tough time 45
had an exceeding musty odor 53
had an express order from 47
had an honored place among 59
had an illness which left 160
had an illness which made 89
had an immense power over 41
had an officer twice come 51
had an official visit from 94
had an uncanny power over 62
had at several times been 98
had by degrees drawn back 43
had by degrees grown into 49
had by degrees grown more 42
had in ancient times been 474
had in ancient times done 74
had in anywise taken leave 41
had in certain cases been 68
had in previous times been 68
had in several cases been 77
had in several cases held 46
had it exactly right when 106
had no catholic enemy when 41
had no coercive power over 89
had no comfort until these 45
had no concern about their 56
had no concern about what 200
had no control either over 43
had no example since irving 43
had no friends apart from 41
had no illusion about their 93
had no illusion about what 61
had no letters either from 42
had no natural claim upon 64
had no official backing from 45
had no problem finding work 64
had no problem getting along 110
had no problem getting into 173
had no question about what 59
had no regrets about giving 53
had no regrets about having 227
had no regrets about leaving 395
had no regrets about making 43
had no regrets about their 132
had no regrets about what 186
had no scruple about acting 122
had no scruple about giving 49
had no scruple about making 105
had no scruple about taking 97
had no support either from 77
had no thoughts about such 43
had no trouble filling their 44
had no trouble finding good 58
had no trouble finding jobs 142
had no trouble finding other 75
had no trouble finding their 171
had no trouble finding what 58
had no trouble finding work 798
had no trouble fitting into 108
had no trouble getting along 230
had no trouble getting away 132
had no trouble getting back 217
had no trouble getting down 129
had no trouble getting here 100
had no trouble getting into 554
had no trouble getting jobs 90
had no trouble getting over 92
had no trouble getting past 206
had no trouble getting their 111
had no trouble getting there 40
had no trouble getting what 41
had no trouble getting work 214
had no trouble keeping busy 48
had no trouble keeping pace 129
had no trouble keeping their 41
had no trouble knowing what 44
had no trouble selling their 63
had no vantage point from 45
had no worries about food 70
had no worries about their 96
had no worries about what 55
had on purpose taken away 41
had so exactly found your 54
had so quickly grown into 102
had so strongly urged upon 52
had so willingly drawn their 89
had the biggest brown eyes 61
had the british fleet been 53
had the command every other 51
had the country under their 44
had the fairest offer made 42
had the fastest growth rate 246
had the following story from 64
had the following words been 47
had the general voice been 88
had the greatest claim upon 60
had the greatest growth rate 48
had the greatest power during 45
had the greatest power over 173
had the halters taken from 112
had the highest crime rate 413
had the highest error rate 46
had the highest growth rate 1057
had the highest rates among 43
had the highest savings rate 52
had the marriage never been 66
had the mistake taken root 295
had the national honor been 93
had the picture taken down 93
had the previous evening been 45
had the previous night been 47
had the previous night when 56
had the promise never been 108
had the slowest growth rate 117
had the stronger claim upon 40
had the subject under their 47
had the supreme court been 81
had the supreme power over 67
had the vaguest notion what 89
had the windows thrown open 59
had to beguile about four 81
had to collect money from 137
had to collect taxes from 50
had to collect water from 83
had to conquer every inch 51
had to contend arose from 48
had to contest every inch 65
had to descend again into 56
had to operate under such 41
had to operate within these 49
had to proceed under other 52
had to provide large sums 50
had to solicit funds from 47
had to urinate again less 485
had to withdraw money from 54
had to withdraw under heavy 42
has an ancient though well 94
has an assured place among 58
has an average chain length 88
has an average class size 104
has an average daily cash 44
has an average daily flow 94
has an average grain size 261
has an average growth rate 134
has an average tidal range 43
has an average total cost 101
has an average water depth 65
has an awkward claim upon 55
has an earliest start time 53
has an elastic force like 52
has an eminent place there 47
has an especial claim upon 40
has an honored place among 65
has an hundred times sunk 76
has an immense power over 142
has an outdoor heated pool 83
has an oxidizing power like 40
has an unusual amino acid 224
has at certain times been 99
has at several times been 46
has in certain cases been 391
has in general terms been 64
has in princes often been 127
has in several cases been 609
has it exactly right when 49
has no coercive power over 89
has no coercive power save 59
has no concern about those 54
has no concern holds good 50
has no content apart from 82
has no counsel until some 79
has no essence apart from 44
has no function apart from 82
has no history apart from 66
has no precise legal meaning 169
has no purpose apart from 46
has no regrets about having 95
has no regrets about leaving 83
has no solvent action upon 51
has no vantage point from 43
has of summoning aloft into 51
has on occasion given rise 78
has the dullest human soul 48
has the fastest growth rate 205
has the features which make 108
has the following amino acid 108
has the following basic form 84
has the following title page 109
has the following total cost 80
has the fullest power over 55
has the greatest claim upon 74
has the greatest power over 221
has the greatest value when 86
has the highest blood flow 51
has the highest claim upon 49
has the highest count rate 71
has the highest crime rate 443
has the highest growth rate 691
has the highest power gain 52
has the highest right over 92
