hail of lead and steel 60
hair he had was white 65
hair in both her hands 45
hair in both his hands 184
hair in men and women 56
hair in net and braid 41
hair in one long braid 469
hair in one long plait 113
hair is cut off close 127
hair is dry and falls 57
hair is hot and giddy 75
hair is long and black 876
hair is long and blond 127
hair is long and brown 64
hair is long and bushy 85
hair is long and curling 53
hair is long and curly 490
hair is long and falls 51
hair is long and flowing 191
hair is long and loose 125
hair is long and rough 51
hair is long and silky 119
hair is long and white 89
hair is not cut until 54
hair is not yet white 68
hair is red and curly 44
hair is thin and white 77
hair of her head could 42
hair of her head shall 233
hair of him was found 65
hair of his head began 406
hair of his head black 151
hair of his head could 141
hair of his head shall 700
hair of his head stand 77
hair of his head stood 241
hair of his head until 57
hair of his head where 123
hair of his head which 52
hair of his head while 61
hair of his head white 81
hair of his head would 217
hair of men and women 186
hair of our head falls 86
hair of our head shall 114
hair on her head stood 46
hair on his head began 71
hair on his head crisp 166
hair on his head moved 42
hair on his head stand 99
hair on his head stood 304
hair on his head which 92
hair on his head would 72
hair or fur being longer 47
hair so long she could 89
hair so that she could 255
hair so that she might 60
hair so that she would 116
hair so that they could 71
hair the way she wants 84
hair up his ass about 67
hair up with both hands 127
hair up with her fingers 44
hair up with his fingers 54
half an eye may easily 46
half as long and twice 212
half as old and smoky 61
half at his own fancy 63
half if they are large 99
half my age and twice 99
half my day was spent 55
half of all his goods 274
half of all his lands 110
half of all new cases 442
half of all new firms 92
half of all new hires 62
half of all new homes 120
half of all new housing 234
half of all old people 73
half of all that might 45
half of all they owned 91
half of both our crops 129
half of each age group 304
half of each and every 136
half of each day working 51
half of each eye cross 249
half of him they could 125
half of him was still 49
half of his head blown 188
half of his head missing 52
half of his long reign 469
half of his own money 123
half of his own mother 150
half of his own party 152
half of his own share 63
half of its oil needs 60
half of its par value 85
half of its peak level 72
half of its peak value 665
half of its real value 408
half of may and first 50
half of men and women 572
half of that for which 138
half of that sum which 40
half of that sum would 186
half of that was spent 117
half of them are about 60
half of them are above 61
half of them are below 80
half of them are black 127
half of them are dutch 41
half of them are either 157
half of them are empty 116
half of them are found 468
half of them are girls 166
half of them are hungry 122
half of them are known 116
half of them are never 48
half of them are owned 49
half of them are quite 40
half of them are really 72
half of them are still 939
half of them are taken 120
half of them are thrown 46
half of them are under 658
half of them are white 51
half of them are within 52
half of them are women 894
half of them are working 220
half of them being under 174
half of them being white 83
half of them being women 133
half of them die within 47
half of them had either 86
half of them had fewer 44
half of them had found 121
half of them had lived 158
half of them had moved 106
half of them had never 754
half of them had spent 56
half of them had taken 234
half of them was liable 44
half of them with tents 46
half of this age group 390
half of this long period 261
half of this sum could 47
half of this sum would 446
half of this was hunting 291
half of this was spent 286
half of this was taken 52
half of this year alone 213
half so that they could 49
half the day and night 184
half the day was spent 251
half the man his father 559
half the men and nearly 78
half the men and women 729
half the men had never 40
half the pie and drank 45
half the sky hung right 47
half the sky was glowing 83
half the sum and sixty 51
half the sum for which 295
half the sum that would 42
half the things that sheathe 79
half the year was spent 61
half the zeal with which 125
half to him that shall 751
half to him who shall 599
half to him who speaks 42
hall of her own house 42
hall of his own house 191
hall so that she could 76
hall so that they could 120
hall so that they would 45
hall to see him mount 123
halt so that they could 107
hams in that low space 48
hand as she was about 249
hand as she was opening 68
hand as she was passing 43
hand as with his right 572
hand by day and night 136
hand by men and women 42
hand do his due share 40
hand he was not holding 64
hand if you are right 627
hand if you but tried 50
hand if you got really 537
hand in all his works 111
hand in any and every 128
hand in both her hands 87
hand in both his hands 244
hand in both his large 52
