habits might well have entitled 53
habits which have been acquired 179
habits which wealth made possible 47
hardly could have been expected 156
hardly could have been foreseen 49
hardly could have been otherwise 106
hardly could have done otherwise 42
hardly would have been possible 68
hatred would have been banished 42
higher rates have been observed 43
higher rates have been recorded 47
higher rates have been reported 210
holder would have been entitled 158
honors which have been bestowed 109
horror would have soon subsided 46
horses round those poor cottages 115
horses which have been imported 62
horses would have been required 41
houses where there were children 54
houses which have been occupied 96
houses which have been restored 54
humans apart from other creatures 53
humans apart from other primates 66
