half exhausted the second of 80
hand bountiful to bestow as 63
hand continued to stroke the 62
hand indicates the number of 47
hand knowledge of events in 99
hand sustained the cruise or 54
harm whatsoever in person or 62
hast confirmed to thyself thy 189
hast corrupted thy wisdom by 1538
hast destroyed the chosen of 85
hast fulfilled thy duties as 58
hast preserved us through the 97
hast purchased to thyself an 400
have abandoned as futile the 149
have abandoned my career at 57
have abandoned the belief in 136
have abandoned the charge of 67
have abandoned the church of 47
have abandoned the course of 41
have abandoned the custom of 76
have abandoned the effort to 263
have abandoned the ground of 102
have abandoned the policy of 317
have abandoned the system of 119
have abandoned the thought of 106
have abolished the custom of 90
have abolished the office of 119
have abolished the rights of 48
have abolished the system of 172
have abundance of nature in 40
have addressed in detail the 40
have addressed my letter to 53
have addressed the billet in 74
have addressed the design of 42
have addressed the effect of 427
have addressed the extent to 91
have addressed the impact of 578
have addressed the issues in 66
have addressed the issues of 690
have addressed the letter to 90
have addressed the matter of 130
have addressed the nature of 230
have addressed the rights of 50
have addressed the status of 50
have advocated on behalf of 80
have advocated the claims of 102
have advocated the creation of 346
have advocated the policy of 109
have advocated the reform of 49
have advocated the rights of 104
have afflicted the nations of 43
have afflicted the troops of 76
have alleviated the plight of 48
have announced the advent of 41
have announced the creation of 73
have announced the decease of 59
have announced the result of 54
have announced the return of 64
have arrogated to itself the 59
have assembled to listen to 78
have astounded or shaken an 70
have attempted an answer to 78
have attempted in regard to 62
have attempted to access the 45
have attempted to adhere as 89
have attempted to adhere to 246
have attempted to adjust the 179
have attempted to adjust to 134
have attempted to affect the 42
have attempted to answer by 41
have attempted to answer in 255
have attempted to answer is 66
have attempted to answer it 203
have attempted to answer the 1859
have attempted to appease the 47
have attempted to arrange in 193
have attempted to arrange the 365
have attempted to arrest an 253
have attempted to arrest the 137
have attempted to arrive at 633
have attempted to assert the 62
have attempted to assess in 40
have attempted to assess the 3773
have attempted to assign the 118
have attempted to assign to 90
have attempted to assist in 64
have attempted to assist the 144
have attempted to assume the 69
have attempted to attach to 50
have attempted to attack the 163
