hair becomes tangled in these 42
half century before the birth 61
half century before the great 127
half circuit around the rock 71
half hitches around the neck 65
half journey before we were 82
hand clasped around the left 63
hand dropped abrupt as iron 67
hand somehow before he went 54
hand soothingly through my hair 41
hand wrapped around the back 94
hand wrapped around the base 55
hand wrapped around the butt 80
hand wrapped around the grip 44
hand wrapped around the neck 42
hard pressed indeed to find 126
have ability enough to make 66
have abjured appeals to their 42
have accrued before the date 74
have adopted english as their 277
have adopted french as their 46
have adverse effect on their 54
have affixed thereto the seals 795
have alleged something in stay 119
have allowed myself to call 82
have allowed myself to come 42
have allowed myself to fall 169
have allowed myself to feel 136
have allowed myself to give 109
have allowed myself to have 77
have allowed myself to hope 52
have allowed myself to love 45
have allowed myself to make 215
have allowed myself to speak 163
have allowed myself to take 65
have allowed myself to talk 41
have allowed myself to think 167
have allowed plenty of time 101
have appeared almost to have 40
have appeared before my eyes 65
have appeared before the eyes 56
have appeared likely to make 49
have appeared through the years 184
have appeared widely in such 55
have appeared without the help 64
have arrived almost as soon 104
have arrived safely at home 45
have arrived safely at their 53
have assured myself on these 115
have availed itself of their 55
have availed little to have 49
have availed myself of many 105
have availed myself of much 139
have availed myself of some 200
have availed myself of such 216
have availed myself of their 168
have availed myself of these 177
have availed myself of those 40
have availed myself of your 508
have ballast enough to trim 43
have braided around the name 60
have briefly stated the case 44
have briefly stated the leading 47
have brought before the eyes 63
have brought misery on what 47
have brought myself to feel 57
have brought myself to give 85
have brought myself to great 53
have brought myself to have 83
have brought myself to leave 82
have brought myself to look 65
have brought myself to make 72
have brought myself to speak 94
have brought myself to such 80
have brought myself to tell 69
have brought myself to think 124
have brought nations on their 54
have brought relief to many 242
have brought someone to meet 41
have brought something to nothing 61
have brought supply of wood 54
have capital prefer to leave 109
have carried through the most 90
have carried through the years 51
have certain points in their 43
have certain points of view 48
have certain rights as well 60
have certain rights by their 43
have certain rights in their 129
have certain rights to what 65
have charity enough to think 52
have chiefly called it into 46
have chiefly shaped my life 54
have courage enough to break 88
have courage enough to come 159
have courage enough to face 211
have courage enough to find 57
have courage enough to fire 87
have courage enough to give 58
have courage enough to look 98
have courage enough to make 295
have courage enough to speak 56
have courage enough to take 136
have courage enough to tell 114
have courage enough to think 67
have decided before we came 50
have decided should be done 44
have delayed replying to your 350
have derived through no other 69
have devoted myself to your 112
have differing notions of what 67
have differing points of view 718
have diverse points of view 50
have donkeys instead of cars 57
have doubted whether he ever 98
have doubted whether he were 76
have doubted whether it ever 114
have doubted whether it were 135
have doubted whether to call 51
have dragged through the mire 78
have drifted across the ocean 46
have elapsed before the meaning 40
have elapsed without my having 50
have emerged through the years 90
have endured through the ages 187
have endured through the years 145
have enjoyed almost as much 42
have enjoyed myself as much 41
have enjoyed myself so much 748
have enjoyed thereby at least 57
have enjoyed through the years 85
have entered through the back 147
have entered through the door 371
have entered through the gate 43
have equally failed in life 40
have escaped through the door 51
have escaped through the other 247
have escaped without my seeing 44
have escaped without the least 69
have everything needed to make 84
have evinced itself in more 75
have evolved beyond the need 93
have evolved through the ages 251
have evolved through the same 42
have evolved through the years 643
have excited almost as much 89
have exerted itself at their 59
have existed before he came 43
have existed before the birth 88
have existed before the body 108
have existed before the coming 91
have existed before the date 42
have existed before the days 70
have existed before the fall 98
have existed before the lord 57
have existed before the rise 67
have existed before the time 598
have existed before we were 280
have existed through the ages 201
have existed through the years 56
have existed without the help 90
have existed without the other 296
have existed without the work 41
have expired before the date 47
have expired before the time 133
