he and diane could spend 53
he and many others could 50
he and many others would 320
he and other white house 53
he and some others began 98
he and some others would 73
he and their mother would 48
he and your mother would 46
he can know anything about 158
he can learn anything about 63
he can make black white 47
he can make people laugh 91
he can more easily avoid 46
he can only again offer 202
he can only write about 87
he can pour nearly anything 129
he can stay under water 110
he can take legal action 49
he can talk about anything 96
he can work under cover 45
he did know anything about 55
he did nothing which could 226
he did nothing which might 43
he did some dance steps 77
he did some quick thinking 150
he did some quite sweet 147
he does know anything about 53
he doth your gifts apply 49
he eats three sheep every 40
he for ever flies within 140
he goes home every night 50
he got very upset about 42
he had also taken pains 41
he had also taken steps 40
he had been about anything 48
he had been about eight 69
he had been about thirty 49
he had been above thirty 49
he had been alive today 187
he had been alive would 58
he had been alone since 69
he had been arguing about 95
he had been asked about 734
he had been asked where 77
he had been asked which 50
he had been awake since 131
he had been awake thinking 109
he had been aware since 78
he had been badly beaten 1241
he had been badly burnt 95
he had been beaten about 58
he had been beaten again 72
he had been beaten badly 56
he had been beaten black 42
he had been beaten until 52
he had been beaten while 59
he had been beset every 48
he had been blind since 142
he had been casting about 243
he had been chafing under 61
he had been chasing after 56
he had been chief clerk 69
he had been close since 45
he had been crazy about 117
he had been dimly aware 146
he had been drawing nearer 41
he had been drawing since 44
he had been drawn aside 92
he had been drawn thither 196
he had been dreading since 51
he had been dreading would 67
he had been dreaming about 1454
he had been dreaming again 66
he had been dreaming since 75
he had been driving about 62
he had been driving since 53
he had been driving under 42
he had been driving while 212
he had been drunk every 403
he had been eight months 230
he had been eight times 64
he had been every evening 77
he had been every night 67
he had been every where 40
he had been fasting since 93
he had been feeling about 185
he had been feeling rather 49
he had been feeling since 155
he had been feeling sorry 45
he had been feeling tired 51
he had been feeling uneasy 52
he had been fifty miles 78
he had been finding fault 99
he had been fired after 93
he had been first taken 59
he had been first tried 48
he had been found alive 44
he had been found dancing 87
he had been found drunk 60
he had been found unfit 71
he had been found wanting 408
he had been found worthy 402
he had been frank about 49
he had been fully alive 45
he had been fully awake 114
he had been fully aware 617
he had been getting money 69
he had been getting rather 133
he had been getting until 45
he had been getting worse 86
he had been given about 282
he had been given after 93
he had been given ample 134
he had been given anything 56
he had been given cause 45
he had been given every 221
he had been given extra 42
he had been given first 111
he had been given grace 43
he had been given money 168
he had been given power 159
he had been given reason 118
he had been given seven 49
he had been given short 46
he had been given since 71
he had been given while 80
he had been given would 89
he had been growing aware 75
he had been growing weaker 68
he had been holding court 80
he had been holding since 169
he had been holding under 145
he had been holding unread 46
he had been holding while 45
he had been hopping about 65
he had been keeping since 132
he had been keeping track 89
