he all along takes for 65
he and bell hated each 50
he and edna would sit 77
he and five others had 127
he and four others had 144
he and many others are 149
he and many others did 100
he and many others had 798
he and many others saw 154
he and many others who 127
he and many others with 41
he and mary would not 43
he and most others had 42
he and other people are 74
he and other people had 72
he and other white men 63
he and some others are 64
he and some others did 77
he and some others had 672
he and some others who 75
he and their mother had 167
he and those about him 406
he and those under him 75
he and those under his 90
he and those working with 50
he and three others had 320
he and your father are 59
he and your father had 57
he and your mother are 106
he and your mother had 104
he any more right than 87
he any other title than 42
he being well aware that 50
he bring down shame and 56
he but have drawn his 351
he but have known how 74
he but have known that 51
he can also argue that 89
he can also change his 54
he can also claim that 122
he can also point out 65
he can also prove that 152
he can also write with 45
he can best carry out 90
he can best guard them 51
he can best serve god 93
he can best serve his 344
he can best spend his 100
he can even begin his 72
he can find anything that 50
he can find fault with 90
he can find people who 43
he can find place for 55
he can find scope for 52
he can find words for 57
he can just never get 56
he can know others and 42
he can learn about his 80
he can learn about them 42
he can look about him 94
he can look after her 76
he can look after his 217
he can look after them 75
he can look after with 42
he can look after you 86
he can look while being 48
he can make anything out 217
he can make known his 149
he can make money and 78
he can make money for 54
he can make money out 142
he can make money with 83
he can make others see 43
he can make plans for 65
he can make sense out 109
he can make shift with 48
he can more easily and 133
he can more easily get 67
he can more easily see 51
he can move about and 69
he can move about with 53
he can move easily and 70
he can only argue that 103
he can only carry out 117
he can only carve one 67
he can only change for 105
he can only change his 48
he can only claim that 41
he can only guess how 46
he can only guess that 40
he can only infer that 99
he can only offer his 75
he can only paint one 41
he can only point out 77
he can only prove for 62
he can only prove his 42
he can only raise his 62
he can only repeat his 58
he can only repeat that 129
he can only reply that 452
he can only reply with 56
he can only shake his 61
he can only shrug his 50
he can only stand and 55
he can only state that 134
he can only trust that 47
he can play games with 67
he can rise above his 170
he can rise above them 72
he can save money and 54
he can seek mercy and 78
he can show cause for 80
he can show cause why 61
he can show either that 155
he can stay alive and 42
he can take apart and 48
he can take under his 42
he can talk about all 41
he can talk about his 439
he can talk about them 189
he can talk about things 40
he can talk about with 44
he can teach others how 41
he can tell where his 53
he can tell which one 52
he can tell which way 43
he can think about and 60
he can think about are 57
he can think about his 113
he can think about them 57
he can throw aside his 40
he can turn round and 97
he can walk about and 41
