he adopted any means which 102
he allowed that there might 64
he allowed too much water 73
he appeared two days later 40
he arrived that same night 46
he arrived two days after 95
he arrived two days later 199
he assumed that other people 62
he assumed that there would 229
he assumes that other people 112
he assured them their meeting 66
he behaved with less seeming 94
he behaved with such manly 46
he believe that there would 51
he belonged and from which 63
he blotted out some parts 112
he brought her back after 52
he brought her back again 56
he brought her face close 88
he brought her home after 46
he brought her home again 61
he brought him back again 47
he brought him back though 64
he brought his body under 90
he brought his face close 1072
he brought his lips close 249
he brought his mouth close 180
he brought his young bride 217
he brought his young queen 41
he brought out from under 51
he brought them back again 97
he brought them down again 41
he brought them last evening 43
he brought this great cause 92
he brushed her hair aside 86
he brushed her hand aside 62
he carried his beads loose 63
he carried out these plans 84
he checked his cell phone 81
he claimed had been given 166
he claimed had been taken 85
he claimed her lips again 72
he claimed her mouth again 130
he claimed that nothing could 63
he claimed that there could 58
he claimed that there would 67
he clamped his lips tight 91
he clasped his arms about 121
he clasped his arms round 346
he climbed out from under 86
he commits his evil deeds 63
he control that dream world 46
he counted them from right 52
he coursed his wife round 46
he covered her mouth again 90
he covered his face again 60
he cracked his whip again 56
he crawled out from beneath 87
he crawled out from under 760
he crushed her lips beneath 61
he crushed her mouth beneath 75
he curried with great lords 42
he dandles his baby about 46
he decided for some reason 87
he decided that even though 54
he decided that nothing could 65
he decided that nothing would 69
he decided that there could 94
he decided that there might 82
he decided that there would 199
he decreed that there would 49
he depends and from which 110
he derives all their kinds 40
he desired that there might 79
he desires for good cause 46
he devoted far more space 47
he devotes far more space 70
he dismiss all these people 58
he divided his time about 95
he divided them into small 45
he doubted not there would 70
he doubted that there could 44
he doubted that there would 175
he dragged one foot after 72
he drained this last glass 46
he drifted off into sleep 388
he dropped his eyes again 87
he dropped his hand again 52
he drowned all those people 56
he entered and laid waste 102
he entered that great house 65
he entered with great ardor 51
he escaped two years later 51
he escaped with nothing worse 92
he escaped with only minor 171
he expired that same evening 73
he expired that same morning 43
he expired with these words 43
he fancied that mine would 54
he fancied that nothing would 70
he fancied that there might 53
he fancied that there would 41
he fancies they will stand 131
he figured that there would 53
he flipped his cell phone 51
he flirted with other women 95
he follows him over every 62
he follows that view which 44
he follows them half round 80
he foresaw that nothing could 89
he foresaw that some would 40
he foresaw that there might 41
he foresaw that there would 212
he forgets how much money 47
he gathered his feet under 58
he gathered his legs under 95
he gathered his robe about 52
he gathered his wits about 89
he gobbled and grew quite 41
he grabbed her hand again 76
he grabbed his cell phone 193
he granted them their lives 46
he groaned and wept aloud 79
he guessed that there might 47
he guessed that there would 83
he handled with great skill 157
he handles with great skill 51
he harbors too much about 45
he himself and many others 142
he himself can least easily 60
he himself had been about 71
he himself had been alive 43
he himself had been asked 175
he himself had been aware 73
he himself had been badly 79
